"survey","percentage","number"
"AI",2.8,251
"BITS",6.3,126
"EBS",0.6,170
"EVHOE",0.4,229
"FR-CGFS",2.7,113
"GMEX",3.1,809
"GOA",1.7,360
"GSL-N",0,NA
"GSL-S",1.5,134
"DFO-HS",13.8,167
"IE-IGFS",1,195
"NEUS",1.1,561
"NIGFS",58.3,96
"Nor-BTS",0.9,108
"NS-IBTS",2,245
"PT-IBTS",4.2,191
"DFO-QCS",10.6,199
"ROCKALL",6.3,79
"SCS",0,NA
"SP-ARSA",6.3,159
"SP-NORTH",13.2,197
"SP-PORC",0,NA
"SWC-IBTS",0,NA
"DFO-SOG",42.9,84
"SEUS",0.4,251
"WCANN",2,458
"DFO-WCHG",15.8,177
"WCTRI",11.6,303
"DFO-WCVI",16.7,180
