"","taxa","family","genus","lme","rank","survey","source","type.length","level_inferred","b","a"
"1","Eutrigla gurnardus","Triglidae","Eutrigla",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.22724997997284,0.00480000005336478
"2","Callionymus lyra","Callionymidae","Callionymus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"3","Solea solea","Soleidae","Solea",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.07042000293732,0.007413399964571
"4","Gadus morhua","Gadidae","Gadus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"5","Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.2039999961853,0.00439999997615814
"6","Limanda limanda","Pleuronectidae","Limanda",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.10099997520447,0.00776200005784631
"7","Merlangius merlangus","Gadidae","Merlangius",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"8","Pleuronectes platessa","Pleuronectidae","Pleuronectes",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
"9","Scomber scombrus","Scombridae","Scomber",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"10","Trisopterus minutus","Gadidae","Trisopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"11","Clupea harengus","Clupeidae","Clupea",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"12","Sprattus sprattus","Clupeidae","Sprattus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"13","Microstomus kitt","Pleuronectidae","Microstomus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"14","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"15","Trisopterus esmarkii","Gadidae","Trisopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.00680000009015203
"16","Melanogrammus aeglefinus","Gadidae","Melanogrammus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.1416086839593,0.00596956520989213
"17","Trisopterus luscus","Gadidae","Trisopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"18","Cyclopterus lumpus","Cyclopteridae","Cyclopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.71299997965495,0.330566665778557
"19","Amblyraja radiata","Rajidae","Amblyraja",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"20","Squalus acanthias","Squalidae","Squalus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"21","Anarhichas lupus","Anarhichadidae","Anarhichas",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.15966669718424,0.00510000018402934
"22","Pollachius virens","Gadidae","Pollachius",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"23","Pollachius pollachius","Gadidae","Pollachius",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"24","Sebastes","Sebastidae","Sebastes",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.13700008392334,0.0115000000223517
"25","Molva molva","Lotidae","Molva",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"26","Agonus cataphractus","Agonidae","Agonus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"27","Raja clavata","Rajidae","Raja",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"28","Scophthalmus maximus","Scophthalmidae","Scophthalmus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"29","Enchelyopus cimbrius","Lotidae","Enchelyopus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.10599994659424,0.00350000010803342
"30","Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.23500001430511,0.00275000010151416
"31","Lophiidae","Lophiidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",2.91839995384216,0.0282200000248849
"32","Argentina","Argentinidae","Argentina",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"33","Platichthys flesus","Pleuronectidae","Platichthys",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.90055555767483,0.0160574443741805
"34","Dipturus","Rajidae","Dipturus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"35","Leucoraja naevus","Rajidae","Leucoraja",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"36","Lumpenus lampretaeformis","Stichaeidae","Lumpenus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.26884996891022,0.011350000044331
"37","Merluccius merluccius","Merlucciidae","Merluccius",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.06889998912811,0.00578580009751022
"38","Triglops murrayi","Cottidae","Triglops",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3,0.00880332756787539
"39","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"40","Micromesistius poutassou","Gadidae","Micromesistius",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.31183330217997,0.00267333331673096
"41","Rajidae","Rajidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.18007409131085,0.00863259279867634
"42","Trachurus trachurus","Carangidae","Trachurus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"43","Callionymidae","Callionymidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",2.57766668001811,0.0322553334136804
"44","Lophius piscatorius","Lophiidae","Lophius",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.92016661167145,0.0226983334093044
"45","Cottidae","Cottidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.11655002832413,0.0137250000843778
"46","Gobiidae","Gobiidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"47","Ammodytidae","Ammodytidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"48","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"49","Scophthalmus rhombus","Scophthalmidae","Scophthalmus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.01591670513153,0.0153250001603737
"50","Alosa","Clupeidae","Alosa",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"51","Raja brachyura","Rajidae","Raja",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.18250000476837,0.00351499998942018
"52","Buglossidium luteum","Soleidae","Buglossidium",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"53","Raja montagui","Rajidae","Raja",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.27050006389618,0.00235500000417233
"54","Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.90499997138977,0.016100000590086
"55","Microchirus variegatus","Soleidae","Microchirus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"56","Callionymus","Callionymidae","Callionymus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",2.57807144096919,0.0336242858320475
"57","Sparidae","Sparidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.05444049835205,0.0145104132758161
"58","Bothidae","Bothidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"59","Chelidonichthys cuculus","Triglidae","Chelidonichthys",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"60","Zeugopterus regius","Scophthalmidae","Zeugopterus",22,"Species","NS-IBTS","fb","TL","gen-FAO",3.14599990844727,0.0138999996706843
"61","Arnoglossus laterna","Bothidae","Arnoglossus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"62","Engraulis encrasicolus","Engraulidae","Engraulis",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"63","Sebastes viviparus","Sebastidae","Sebastes",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.13700008392334,0.0115000000223517
"64","Ammodytes","Ammodytidae","Ammodytes",22,"Genus","NS-IBTS","fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"65","Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.1010000705719,0.020299999974668
"66","Anarhichadidae","Anarhichadidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.15966669718424,0.00510000018402934
"67","Gaidropsarus","Lotidae","Gaidropsarus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.10366670290629,0.00645000006382664
"68","Raja","Rajidae","Raja",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.19090910391374,0.00317500001454557
"69","Phycis blennoides","Phycidae","Phycis",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.22157141140529,0.00510999989429755
"70","Chimaera monstrosa","Chimaeridae","Chimaera",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.27049994468689,0.00387000006594462
"71","Gadiculus argenteus","Gadidae","Gadiculus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"72","Brosme brosme","Lotidae","Brosme",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.92197995185852,0.0273172088898718
"73","Pomatoschistus","Gobiidae","Pomatoschistus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
