"taxa","family","genus","lme","rank","survey"
"Eutrigla gurnardus","Triglidae","Eutrigla","22","Species","NS-IBTS"
"Callionymus lyra","Callionymidae","Callionymus","22","Species","NS-IBTS"
"Solea solea","Soleidae","Solea","22","Species","NS-IBTS"
"Gadus morhua","Gadidae","Gadus","22","Species","NS-IBTS"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","22","Species","NS-IBTS"
"Limanda limanda","Pleuronectidae","Limanda","22","Species","NS-IBTS"
"Merlangius merlangus","Gadidae","Merlangius","22","Species","NS-IBTS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","22","Species","NS-IBTS"
"Scomber scombrus","Scombridae","Scomber","22","Species","NS-IBTS"
"Trisopterus minutus","Gadidae","Trisopterus","22","Species","NS-IBTS"
"Clupea harengus","Clupeidae","Clupea","22","Species","NS-IBTS"
"Sprattus sprattus","Clupeidae","Sprattus","22","Species","NS-IBTS"
"Microstomus kitt","Pleuronectidae","Microstomus","22","Species","NS-IBTS"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","22","Species","NS-IBTS"
"Trisopterus esmarkii","Gadidae","Trisopterus","22","Species","NS-IBTS"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","22","Species","NS-IBTS"
"Trisopterus luscus","Gadidae","Trisopterus","22","Species","NS-IBTS"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","22","Species","NS-IBTS"
"Amblyraja radiata","Rajidae","Amblyraja","22","Species","NS-IBTS"
"Squalus acanthias","Squalidae","Squalus","22","Species","NS-IBTS"
"Anarhichas lupus","Anarhichadidae","Anarhichas","22","Species","NS-IBTS"
"Pollachius virens","Gadidae","Pollachius","22","Species","NS-IBTS"
"Pollachius pollachius","Gadidae","Pollachius","22","Species","NS-IBTS"
"Sebastes","Sebastidae","Sebastes","22","Genus","NS-IBTS"
"Molva molva","Lotidae","Molva","22","Species","NS-IBTS"
"Agonus cataphractus","Agonidae","Agonus","22","Species","NS-IBTS"
"Raja clavata","Rajidae","Raja","22","Species","NS-IBTS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","22","Species","NS-IBTS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","22","Species","NS-IBTS"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","22","Species","NS-IBTS"
"Lophiidae","Lophiidae",NA,"22","Family","NS-IBTS"
"Argentina","Argentinidae","Argentina","22","Genus","NS-IBTS"
"Platichthys flesus","Pleuronectidae","Platichthys","22","Species","NS-IBTS"
"Dipturus","Rajidae","Dipturus","22","Genus","NS-IBTS"
"Leucoraja naevus","Rajidae","Leucoraja","22","Species","NS-IBTS"
"Lumpenus lampretaeformis","Stichaeidae","Lumpenus","22","Species","NS-IBTS"
"Merluccius merluccius","Merlucciidae","Merluccius","22","Species","NS-IBTS"
"Triglops murrayi","Cottidae","Triglops","22","Species","NS-IBTS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","22","Species","NS-IBTS"
"Micromesistius poutassou","Gadidae","Micromesistius","22","Species","NS-IBTS"
"Rajidae","Rajidae",NA,"22","Family","NS-IBTS"
"Trachurus trachurus","Carangidae","Trachurus","22","Species","NS-IBTS"
"Callionymidae","Callionymidae",NA,"22","Family","NS-IBTS"
"Lophius piscatorius","Lophiidae","Lophius","22","Species","NS-IBTS"
"Cottidae","Cottidae",NA,"22","Family","NS-IBTS"
"Gobiidae","Gobiidae",NA,"22","Family","NS-IBTS"
"Ammodytidae","Ammodytidae",NA,"22","Family","NS-IBTS"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","22","Species","NS-IBTS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","22","Species","NS-IBTS"
"Alosa","Clupeidae","Alosa","22","Genus","NS-IBTS"
"Raja brachyura","Rajidae","Raja","22","Species","NS-IBTS"
"Buglossidium luteum","Soleidae","Buglossidium","22","Species","NS-IBTS"
"Raja montagui","Rajidae","Raja","22","Species","NS-IBTS"
"Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus","22","Species","NS-IBTS"
"Microchirus variegatus","Soleidae","Microchirus","22","Species","NS-IBTS"
"Callionymus","Callionymidae","Callionymus","22","Genus","NS-IBTS"
"Sparidae","Sparidae",NA,"22","Family","NS-IBTS"
"Bothidae","Bothidae",NA,"22","Family","NS-IBTS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","22","Species","NS-IBTS"
"Zeugopterus regius","Scophthalmidae","Zeugopterus","22","Species","NS-IBTS"
"Arnoglossus laterna","Bothidae","Arnoglossus","22","Species","NS-IBTS"
"Engraulis encrasicolus","Engraulidae","Engraulis","22","Species","NS-IBTS"
"Sebastes viviparus","Sebastidae","Sebastes","22","Species","NS-IBTS"
"Ammodytes","Ammodytidae","Ammodytes","22","Genus","NS-IBTS"
"Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus","22","Species","NS-IBTS"
"Anarhichadidae","Anarhichadidae",NA,"22","Family","NS-IBTS"
"Gaidropsarus","Lotidae","Gaidropsarus","22","Genus","NS-IBTS"
"Raja","Rajidae","Raja","22","Genus","NS-IBTS"
"Phycis blennoides","Phycidae","Phycis","22","Species","NS-IBTS"
"Chimaera monstrosa","Chimaeridae","Chimaera","22","Species","NS-IBTS"
"Gadiculus argenteus","Gadidae","Gadiculus","22","Species","NS-IBTS"
"Brosme brosme","Lotidae","Brosme","22","Species","NS-IBTS"
"Pomatoschistus","Gobiidae","Pomatoschistus","22","Genus","NS-IBTS"
"Aphia minuta","Gobiidae","Aphia","22","Species","NS-IBTS"
"Echiichthys vipera","Trachinidae","Echiichthys","22","Species","NS-IBTS"
"Liparis","Liparidae","Liparis","22","Genus","NS-IBTS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","22","Species","NS-IBTS"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","22","Species","NS-IBTS"
"Mustelus","Triakidae","Mustelus","22","Genus","NS-IBTS"
"Gasterosteidae","Gasterosteidae",NA,"22","Family","NS-IBTS"
"Lycodes vahlii","Zoarcidae","Lycodes","22","Species","NS-IBTS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","22","Species","NS-IBTS"
"Trachinus draco","Trachinidae","Trachinus","22","Species","NS-IBTS"
"Anarhichas","Anarhichadidae","Anarhichas","22","Genus","NS-IBTS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","22","Species","NS-IBTS"
"Gasterosteus aculeatus aculeatus","Gasterosteidae","Gasterosteus","22","Subspecies","NS-IBTS"
"Lycodes","Zoarcidae","Lycodes","22","Genus","NS-IBTS"
"Etmopterus spinax","Etmopteridae","Etmopterus","22","Species","NS-IBTS"
"Salmo trutta trutta","Salmonidae","Salmo","22","Subspecies","NS-IBTS"
"Syngnathus","Syngnathidae","Syngnathus","22","Genus","NS-IBTS"
"Stichaeidae","Stichaeidae",NA,"22","Family","NS-IBTS"
"Myxine glutinosa","Myxinidae","Myxine","22","Species","NS-IBTS"
"Anguilla anguilla","Anguillidae","Anguilla","22","Species","NS-IBTS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","22","Species","NS-IBTS"
"Conger conger","Congridae","Conger","22","Species","NS-IBTS"
"Helicolenus dactylopterus","Sebastidae","Helicolenus","22","Species","NS-IBTS"
"Leucoraja fullonica","Rajidae","Leucoraja","22","Species","NS-IBTS"
"Triglidae","Triglidae",NA,"22","Family","NS-IBTS"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","22","Species","NS-IBTS"
"Ciliata","Lotidae","Ciliata","22","Genus","NS-IBTS"
"Zoarces viviparus","Zoarcidae","Zoarces","22","Species","NS-IBTS"
"Syngnathidae","Syngnathidae",NA,"22","Family","NS-IBTS"
"Sardina pilchardus","Clupeidae","Sardina","22","Species","NS-IBTS"
"Lycenchelys sarsii","Zoarcidae","Lycenchelys","22","Species","NS-IBTS"
"Taurulus bubalis","Cottidae","Taurulus","22","Species","NS-IBTS"
"Anguillidae","Anguillidae",NA,"22","Family","NS-IBTS"
"Entelurus aequoreus","Syngnathidae","Entelurus","22","Species","NS-IBTS"
"Ammodytes marinus","Ammodytidae","Ammodytes","22","Species","NS-IBTS"
"Raja undulata","Rajidae","Raja","22","Species","NS-IBTS"
"Anarhichas minor","Anarhichadidae","Anarhichas","22","Species","NS-IBTS"
"Molva dypterygia","Lotidae","Molva","22","Species","NS-IBTS"
"Pholis gunnellus","Pholidae","Pholis","22","Species","NS-IBTS"
"Raniceps raninus","Gadidae","Raniceps","22","Species","NS-IBTS"
"Zeus faber","Zeidae","Zeus","22","Species","NS-IBTS"
