"worms_id","SpecCode","taxa","family","LenMeasType","n_obs"
105824,"2503","Chimaera monstrosa","Chimaeridae",3,22
105824,"2503","Chimaera monstrosa","Chimaeridae",NA,20976
105826,"9000","Hydrolagus mirabilis","Chimaeridae",NA,426
125471,NA,"Macrouridae","Macrouridae",NA,2
125507,NA,"Alepocephalidae","Alepocephalidae",NA,1
126472,"331","Macrourus berglax","Macrouridae",NA,122
126473,"4997","Nezumia aequalis","Macrouridae",NA,2288
126475,"3105","Nezumia sclerorhynchus","Macrouridae",NA,4
126481,"27730","Trachyrincus murrayi","Macrouridae",NA,5
126482,"4556","Trachyrincus scabrus","Macrouridae",NA,3699
126682,"230","Alepocephalus bairdii","Alepocephalidae",NA,30
126684,"5071","Alepocephalus rostratus","Alepocephalidae",NA,390
126714,"5064","Xenodermichthys copei","Alepocephalidae",NA,702
126748,"11461","Sagamichthys schnakenbecki","Platytroctidae",NA,2
126749,"5090","Searsia koefoedi","Platytroctidae",NA,1
158960,"332","Coryphaenoides rupestris","Macrouridae",NA,343
158961,"1720","Hymenocephalus italicus","Macrouridae",NA,130
183289,"3104","Nezumia bairdii","Macrouridae",NA,2
272392,"4989","Malacocephalus laevis","Macrouridae",NA,5719
280299,"8456","Coelorinchus labiatus","Macrouridae",NA,8
398381,"1726","Coelorinchus caelorhincus","Macrouridae",NA,13818
712407,"66212","Chimaera opalescens","Chimaeridae",NA,10
