,taxa,family,genus,rank,Type,source,level_inferred,b,a
61,Mustelus,Triakidae,Mustelus,Genus,TL,fb-21.04,gen,3.1518,0.00297
237,Malacocephalus laevis,Macrouridae,Malacocephalus,Species,TL,fb-21.04,spe,2.9715,0.341375
18,Cyclopterus lumpus,Cyclopteridae,Cyclopterus,Species,TL,fb-21.04,spe,2.7979,0.221
475,Electrona risso,Myctophidae,Electrona,Species,TL,fb-21.04,gen,1.96,0.204
87,Cyclopteridae,Cyclopteridae,NA,Family,TL,fb-21.04,fam,2.820685714,0.18596
257,Caranx rhonchus,Carangidae,Caranx,Species,TL,fb-21.04,spe,2.4255,0.0775
506,Antigonia capros,Caproidae,Antigonia,Species,TL,fb-21.04,spe,2.819166667,0.061075
57,Hippoglossus hippoglossus,Pleuronectidae,Hippoglossus,Species,TL,fb-21.04,spe,2.86624,0.059532
230,Lamna nasus,Lamnidae,Lamna,Species,TL,fb-21.04,spe,2.717666667,0.0586
273,Balistes capriscus,Balistidae,Balistes,Species,TL,fb-21.04,spe,2.795333333,0.0580925
398,Hoplostethus atlanticus,Trachichthyidae,Hoplostethus,Species,TL,fb-21.04,spe,2.8506,0.0549
319,Mola mola,Molidae,Mola,Species,TL,fb-21.04,spe,3.015,0.05245
363,Balistes,Balistidae,Balistes,Genus,TL,fb-21.04,gen,2.802980952,0.05151
64,Stichaeidae,Stichaeidae,NA,Family,TL,fb-21.04,fam,2.91644,0.050478
138,Leptoclinus maculatus,Stichaeidae,Leptoclinus,Species,TL,fb-21.04,fam,2.91644,0.050478
387,Dentex maroccanus,Sparidae,Dentex,Species,TL,fb-21.04,spe,2.966,0.043233333
264,Torpedo marmorata,Torpedinidae,Torpedo,Species,TL,fb-21.04,spe,2.795533333,0.041166667
202,Ophidion barbatum,Ophidiidae,Ophidion,Species,TL,fb-21.04,spe,2.632,0.03945
397,Sphoeroides pachygaster,Tetraodontidae,Sphoeroides,Species,TL,fb-21.04,spe,2.8645,0.0392
516,Pomadasys incisus,Haemulidae,Pomadasys,Species,TL,fb-21.04,spe,2.74136,0.03802
19,Amblyraja radiata,Rajidae,Amblyraja,Species,TL,fb-21.04,spe,2.90124,0.03662
139,Capros aper,Caproidae,Capros,Species,TL,fb-21.04,spe,2.746458333,0.035064167
154,Caproidae,Caproidae,NA,Family,TL,fb-21.04,fam,2.746458333,0.035064167
2,Callionymus lyra,Callionymidae,Callionymus,Species,TL,fb-21.04,spe,2.588764286,0.034102857
275,Tetronarce nobiliana,Torpedinidae,Tetronarce,Species,TL,fb-21.04,spe,2.8805,0.03289
517,Zenion hololepis,Zeniontidae,Zenion,Species,TL,fb-21.04,spe,2.6645,0.03216
167,Dasyatis pastinaca,Dasyatidae,Dasyatis,Species,TL,fb-21.04,spe,2.73214,0.03208
333,Naucrates ductor,Carangidae,Naucrates,Species,TL,fb-21.04,fam,2.867747385,0.030336369
420,Torpedo torpedo,Torpedinidae,Torpedo,Species,TL,fb-21.04,spe,2.8695,0.0297
495,Umbrina cirrosa,Sciaenidae,Umbrina,Species,TL,fb-21.04,spe,2.965333333,0.028933333
348,Macrouridae,Macrouridae,NA,Family,TL,fb-21.04,fam,3.081802778,0.028096944
335,Dasyatis tortonesei,Dasyatidae,Dasyatis,Species,TL,fb-21.04,gen,2.776783333,0.027918333
185,Mugil cephalus,Mugilidae,Mugil,Species,TL,fb-21.04,spe,2.870473455,0.027544
83,Brosme brosme,Lotidae,Brosme,Species,TL,fb-21.04,spe,2.92198,0.027318
62,Zeus faber,Zeidae,Zeus,Species,TL,fb-21.04,spe,2.885369565,0.027116087
65,Myctophidae,Myctophidae,NA,Family,TL,fb-21.04,fam,2.826756522,0.026357391
269,Notoscopelus kroyeri,Myctophidae,Notoscopelus,Species,TL,fb-21.04,fam,2.826756522,0.026357391
317,Ceratoscopelus maderensis,Myctophidae,Ceratoscopelus,Species,TL,fb-21.04,fam,2.826756522,0.026357391
329,Benthosema glaciale,Myctophidae,Benthosema,Species,TL,fb-21.04,fam,2.826756522,0.026357391
419,Hygophum benoiti,Myctophidae,Hygophum,Species,TL,fb-21.04,fam,2.826756522,0.026357391
