"taxa","family","genus","rank"
"Eutrigla gurnardus","Triglidae","Eutrigla","Species"
"Callionymus lyra","Callionymidae","Callionymus","Species"
"Solea solea","Soleidae","Solea","Species"
"Gadus morhua","Gadidae","Gadus","Species"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","Species"
"Limanda limanda","Pleuronectidae","Limanda","Species"
"Merlangius merlangus","Gadidae","Merlangius","Species"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","Species"
"Scomber scombrus","Scombridae","Scomber","Species"
"Trisopterus minutus","Gadidae","Trisopterus","Species"
"Clupea harengus","Clupeidae","Clupea","Species"
"Sprattus sprattus","Clupeidae","Sprattus","Species"
"Microstomus kitt","Pleuronectidae","Microstomus","Species"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","Species"
"Trisopterus esmarkii","Gadidae","Trisopterus","Species"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","Species"
"Trisopterus luscus","Gadidae","Trisopterus","Species"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","Species"
"Amblyraja radiata","Rajidae","Amblyraja","Species"
"Squalus acanthias","Squalidae","Squalus","Species"
"Anarhichas lupus","Anarhichadidae","Anarhichas","Species"
"Pollachius virens","Gadidae","Pollachius","Species"
"Pollachius pollachius","Gadidae","Pollachius","Species"
"Sebastes","Sebastidae","Sebastes","Genus"
"Buglossidium luteum","Soleidae","Buglossidium","Species"
"Platichthys flesus","Pleuronectidae","Platichthys","Species"
"Echiichthys vipera","Trachinidae","Echiichthys","Species"
"Agonus cataphractus","Agonidae","Agonus","Species"
"Raja clavata","Rajidae","Raja","Species"
"Triglidae","Triglidae",NA,"Family"
"Merluccius merluccius","Merlucciidae","Merluccius","Species"
"Molva molva","Lotidae","Molva","Species"
"Leucoraja naevus","Rajidae","Leucoraja","Species"
"Myxine glutinosa","Myxinidae","Myxine","Species"
"Argentina","Argentinidae","Argentina","Genus"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","Species"
"Dipturus","Rajidae","Dipturus","Genus"
"Lumpenus lampretaeformis","Stichaeidae","Lumpenus","Species"
"Gaidropsarus","Lotidae","Gaidropsarus","Genus"
"Lophiidae","Lophiidae",NA,"Family"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","Species"
"Micromesistius poutassou","Gadidae","Micromesistius","Species"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","Species"
"Triglops murrayi","Cottidae","Triglops","Species"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","Species"
"Callionymidae","Callionymidae",NA,"Family"
"Alosa","Alosidae","Alosa","Genus"
"Rajidae","Rajidae",NA,"Family"
"Lophius piscatorius","Lophiidae","Lophius","Species"
"Engraulis encrasicolus","Engraulidae","Engraulis","Species"
"Trachinus draco","Trachinidae","Trachinus","Species"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","Species"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","Species"
"Ammodytidae","Ammodytidae",NA,"Family"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","Species"
"Ammodytes","Ammodytidae","Ammodytes","Genus"
"Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus","Species"
"Raja montagui","Rajidae","Raja","Species"
"Sebastes viviparus","Sebastidae","Sebastes","Species"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","Species"
"Mustelus","Triakidae","Mustelus","Genus"
"Zeus faber","Zeidae","Zeus","Species"
"Pagellus erythrinus","Sparidae","Pagellus","Species"
"Stichaeidae","Stichaeidae",NA,"Family"
"Myctophidae","Myctophidae",NA,"Family"
"Gadiculus argenteus","Gadidae","Gadiculus","Species"
"Cottidae","Cottidae",NA,"Family"
"Galeus melastomus","Pentanchidae","Galeus","Species"
"Trachurus trachurus","Carangidae","Trachurus","Species"
"Gobiidae","Gobiidae",NA,"Family"
"Etmopterus spinax","Etmopteridae","Etmopterus","Species"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","Species"
"Raja brachyura","Rajidae","Raja","Species"
"Zeugopterus norvegicus","Scophthalmidae","Phrynorhombus","Species"
"Anarhichas minor","Anarhichadidae","Anarhichas","Species"
"Microchirus variegatus","Soleidae","Microchirus","Species"
"Callionymus","Callionymidae","Callionymus","Genus"
"Sparidae","Sparidae",NA,"Family"
"Sardina pilchardus","Alosidae","Sardina","Species"
"Bothidae","Bothidae",NA,"Family"
"Zeugopterus regius","Scophthalmidae","Zeugopterus","Species"
"Arnoglossus laterna","Bothidae","Arnoglossus","Species"
"Brosme brosme","Lotidae","Brosme","Species"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","Species"
"Anarhichadidae","Anarhichadidae",NA,"Family"
"Chimaera monstrosa","Chimaeridae","Chimaera","Species"
"Cyclopteridae","Cyclopteridae",NA,"Family"
"Raja","Rajidae","Raja","Genus"
"Ammodytes tobianus","Ammodytidae","Ammodytes","Species"
"Lycodes vahlii","Zoarcidae","Lycodes","Species"
"Phycis blennoides","Phycidae","Phycis","Species"
"Gasterosteidae","Gasterosteidae",NA,"Family"
"Taurulus bubalis","Cottidae","Taurulus","Species"
"Pomatoschistus","Gobiidae","Pomatoschistus","Genus"
"Aphia minuta","Gobiidae","Aphia","Species"
