"cell","year"
"164","1983"
"164","1986"
"164","1991"
"164","1994"
"164","1997"
"164","2000"
"164","2002"
"164","2004"
"164","2006"
"164","2010"
"164","2012"
"164","2014"
"164","2016"
"164","2018"
"19792","1983"
"19792","1986"
"19792","1991"
"19792","1994"
"19792","1997"
"19792","2000"
"19792","2002"
"19792","2004"
"19792","2006"
"19792","2010"
"19792","2012"
"19792","2014"
"19792","2016"
"19792","2018"
"19819","1983"
"19819","1986"
"19819","1991"
"19819","1994"
"19819","1997"
"19819","2000"
"19819","2002"
"19819","2004"
"19819","2006"
"19819","2010"
"19819","2012"
"19819","2014"
"19819","2016"
"19819","2018"
