haul_id;year;cell
001198203067-166.9455.00333;1982;19819
001198203038-164.5766755.00833;1982;164
001198203066-165.7455.00833;1982;19819
019198201059-166.3463355.01017;1982;19819
019198201058-165.15955.0105;1982;19819
019198201060-166.3468355.31267;1982;19819
001198203039-164.5955.32667;1982;137
001198203068-166.9716755.33;1982;19819
019198201030-163.9808355.33983;1982;137
001198203065-165.78555.34667;1982;19819
019198201057-165.165555.34833;1982;19819
001198203037-163.4166755.35;1982;137
019198201031-164.007555.646;1982;137
019198201061-166.3788355.64783;1982;19819
001198203040-164.5855.66;1982;137
001198203069-166.9683355.66333;1982;83
001198203100-168.19655.67867;1982;19765
001198203064-165.8016755.68167;1982;19819
001198203036-163.455.68333;1982;137
019198201056-165.1511755.686;1982;137
019198201029-162.8246755.70167;1982;137
019198201088-167.547555.72;1982;19765
019198201062-166.402555.98383;1982;83
001198203041-164.5916755.985;1982;137
162201701015-162.2610355.98863;2017;191
089200401033-162.245155.99041;2004;191
001198303014-162.25955.9915;1983;191
162201401029-162.3104555.99199;2014;191
089200201042-162.239955.99285;2002;191
088199501025-162.2503855.99323;1995;191
088199901017-162.269955.99402;1999;191
089199301014-162.238555.99583;1993;191
088199801026-162.2425355.99605;1998;191
088199401013-162.23755.99633;1994;191
094201801034-162.2305256.00005;2018;191
162201601002-162.3057556.00009;2016;191
037198601024-162.24556.0005;1986;191
019198201033-164.0081756.00133;1982;137
001198203018-162.2316756.00167;1982;191
089200001028-162.251656.00194;2000;191
037198501034-162.200556.0025;1985;191
089200801024-162.255156.00253;2008;191
037198801028-162.2201756.00267;1988;191
088200901027-162.254756.00307;2009;191
162201301025-162.2446556.00335;2013;191
088200501028-162.2534956.00365;2005;191
094201501027-162.2307156.00406;2015;191
162201901025-162.2617256.00455;2019;191
078199001028-162.2736756.005;1990;191
001198203035-163.3956.005;1982;137
088200601025-162.249656.00519;2006;191
001198203063-165.7916756.00667;1982;83
001198203070-167.02556.00667;1982;83
089199601024-162.2306756.0087;1996;191
088200301042-162.2286156.00891;2003;191
089199701024-162.238756.00912;1997;191
088200701041-162.225456.00937;2007;191
162201101029-162.2358256.01022;2011;191
162201201021-162.2285556.01157;2012;191
001198203099-168.23556.01167;1982;19765
001198402024-162.2593356.01183;1984;191
089201001025-162.2304756.01248;2010;191
019198201087-167.6163356.01283;1982;83
089200101026-162.2283956.01422;2001;191
037198901030-162.227556.01433;1989;191
037199201019-162.2323356.01533;1992;191
019198201055-165.1776756.0155;1982;137
019198201028-162.805556.02083;1982;137
019198201034-163.99856.3145;1982;137
019198201012-161.636556.31817;1982;165
001198203042-164.5816756.31833;1982;137
019198201063-166.414556.31917;1982;83
001198203019-162.20556.32333;1982;165
001198203071-167.0133356.32667;1982;83
019198201089-168.8813356.33667;1982;19738
001198203062-165.7983356.33833;1982;83
001198203034-163.3966756.34;1982;137
001198203017-161.0033356.34167;1982;165
019198201086-167.64856.34333;1982;83
001198203133-170.682556.34417;1982;19711
019198201054-165.1981756.34433;1982;83
001198203098-168.2633356.345;1982;19738
019198201121-170.06756.345;1982;19711
019198201027-162.79856.35433;1982;137
019198201064-166.4356.6455;1982;83
019198201090-168.894556.6515;1982;19738
001198203020-162.1866756.65333;1982;165
019198201013-161.5811756.65617;1982;165
001198203043-164.6116756.66;1982;110
001198203097-168.3166756.66;1982;19738
001198203102-169.501556.66033;1982;19738
019198201122-171.3311756.662;1982;19711
001198203089-167.0766756.66333;1982;83
019198201035-16456.665;1982;110
019198201006-160.3496756.67067;1982;165
019198201120-170.1336756.67217;1982;19711
001198203061-165.82556.67333;1982;83
001198203134-171.968556.674;1982;19711
001198203016-160.9916756.67833;1982;165
019198201141-172.630556.67933;1982;19711
001198203132-170.7396756.67983;1982;19711
019198201053-165.19656.6815;1982;83
001198203033-163.3856.68167;1982;110
019198201085-167.6648356.68167;1982;19738
001198203004-159.7656.685;1982;219
019198201026-162.78656.68867;1982;165
019198201091-169.3193356.82833;1982;19738
001198203104-169.9281756.842;1982;19738
001198203096-168.6488356.85233;1982;19738
019198201119-170.4486756.8525;1982;19711
019198201065-166.4613356.97717;1982;83
019198201092-168.9956756.98;1982;19738
019198201123-171.4083356.9805;1982;19711
019198201007-160.3346756.982;1982;165
019198201014-161.583556.98617;1982;165
019198201084-167.7148356.988;1982;19738
001198203044-164.60556.99;1982;110
