haul_id;year;cell
EVHOE 2014 4 FR 35HT GOV S0846 27;2014;4422
EVHOE 2014 4 FR 35HT GOV S0845 26;2014;4422
EVHOE 2014 4 FR 35HT GOV S0844 25;2014;4422
EVHOE 2014 4 FR 35HT GOV S0843 24;2014;4422
EVHOE 2014 4 FR 35HT GOV S0842 23;2014;4422
EVHOE 2015 4 FR 35HT GOV T0662 26;2015;4396
EVHOE 2015 4 FR 35HT GOV T0661 25;2015;4396
EVHOE 2015 4 FR 35HT GOV T0660 24;2015;4396
EVHOE 1999 4 FR 35HT GOV D0899 111;1999;4396
EVHOE 1999 4 FR 35HT GOV D0896 109;1999;4396
EVHOE 2015 4 FR 35HT GOV T0663 27;2015;4396
EVHOE 1999 4 FR 35HT GOV D0897 110;1999;4396
EVHOE 2015 4 FR 35HT GOV T0658 22;2015;4396
EVHOE 1999 4 FR 35HT GOV D0680 1;1999;4396
EVHOE 2015 4 FR 35HT GOV T0659 23;2015;4396
EVHOE 2015 4 FR 35HT GOV T0657 21;2015;4396
EVHOE 2015 4 FR 35HT GOV T0656 20;2015;4396
EVHOE 2015 4 FR 35HT GOV T0664 28;2015;4396
EVHOE 2015 4 FR 35HT GOV T0665 29;2015;4396
EVHOE 2015 4 FR 35HT GOV T0655 19;2015;4396
EVHOE 1999 4 FR 35HT GOV D0904 114;1999;4396
EVHOE 2015 4 FR 35HT GOV T0666 30;2015;4396
EVHOE 2015 4 FR 35HT GOV T0654 18;2015;4396
EVHOE 2015 4 FR 35HT GOV T0667 31;2015;4396
EVHOE 1999 4 FR 35HT GOV D0892 107;1999;4396
EVHOE 1999 4 FR 35HT GOV D0887 104;1999;4396
EVHOE 1999 4 FR 35HT GOV D0890 106;1999;4396
EVHOE 2015 4 FR 35HT GOV T0653 17;2015;4396
EVHOE 1999 4 FR 35HT GOV D0888 105;1999;4396
EVHOE 2015 4 FR 35HT GOV T0652 16;2015;4396
EVHOE 1999 4 FR 35HT GOV D0906 115;1999;4396
EVHOE 1999 4 FR 35HT GOV D0884 103;1999;4396
EVHOE 2010 4 FR 35HT GOV O0973 24;2010;4423
EVHOE 2016 4 FR 35HT GOV U0545 37;2016;4423
EVHOE 2007 4 FR 35HT GOV L0751 24;2007;4423
EVHOE 2011 4 FR 35HT GOV P1078 34;2011;4423
EVHOE 2019 4 FR 35HT GOV X0485 39;2019;4423
EVHOE 2020 4 FR 35HT GOV Y0336 48;2020;4423
EVHOE 2003 4 FR 35HT GOV H0435 40;2003;4423
EVHOE 1998 4 FR 35HT GOV C0305 13;1998;4423
EVHOE 2006 4 FR 35HT GOV K0686 18;2006;4423
EVHOE 2015 4 FR 35HT GOV T0651 15;2015;4396
EVHOE 2018 4 FR 35HT GOV W0553 22;2018;4423
EVHOE 2000 4 FR 35HT GOV E0652 50;2000;4423
EVHOE 1999 4 FR 35HT GOV D0882 102;1999;4396
EVHOE 1999 4 FR 35HT GOV D0911 117;1999;4396
EVHOE 1999 4 FR 35HT GOV D0912 118;1999;2728
EVHOE 2013 4 FR 35HT GOV R0363 21;2013;4423
EVHOE 1999 4 FR 35HT GOV D0908 116;1999;4423
EVHOE 2005 4 FR 35HT GOV J0481 22;2005;4423
EVHOE 2009 4 FR 35HT GOV N0768 19;2009;4423
EVHOE 2016 4 FR 35HT GOV U0546 38;2016;4423
EVHOE 2013 4 FR 35HT GOV R0364 22;2013;4423
EVHOE 2019 4 FR 35HT GOV X0486 40;2019;4423
EVHOE 1999 4 FR 35HT GOV D0914 119;1999;4423
EVHOE 2020 4 FR 35HT GOV Y0337 49;2020;4423
EVHOE 1997 4 FR 35HT GOV B1044 38;1997;4423
EVHOE 2015 4 FR 35HT GOV T0673 37;2015;2728
EVHOE 2015 4 FR 35HT GOV T0668 32;2015;4423
EVHOE 1997 4 FR 35HT GOV B1068 50;1997;2755
EVHOE 2011 4 FR 35HT GOV P1079 35;2011;4423
EVHOE 2008 4 FR 35HT GOV M0877 33;2008;4423
EVHOE 1998 4 FR 35HT GOV C0380 60;1998;2755
EVHOE 1999 4 FR 35HT GOV D0880 101;1999;2728
EVHOE 2010 4 FR 35HT GOV O0963 14;2010;2755
EVHOE 2005 4 FR 35HT GOV J0484 25;2005;2755
EVHOE 2003 4 FR 35HT GOV H0414 19;2003;2755
EVHOE 2012 4 FR 35HT GOV Q0841 6;2012;4423
EVHOE 2000 4 FR 35HT GOV E0616 32;2000;2755
EVHOE 2008 4 FR 35HT GOV M0884 40;2008;2755
EVHOE 2012 4 FR 35HT GOV Q0866 26;2012;2755
EVHOE 2009 4 FR 35HT GOV N0777 28;2009;2755
EVHOE 2005 4 FR 35HT GOV J0485 26;2005;2755
