"cell","year"
"2158","1988"
"2158","1989"
"2158","1990"
"2158","1991"
"2158","1992"
"2158","1993"
"2158","1994"
"2158","1995"
"2158","1996"
"2158","1997"
"2158","1998"
"2158","1999"
"2158","2000"
"2158","2001"
"2158","2002"
"2158","2003"
"2158","2004"
"2158","2005"
"2158","2006"
"2158","2007"
"2158","2008"
"2158","2009"
"2158","2010"
"2158","2011"
"2158","2012"
"2158","2013"
"2158","2014"
"2158","2015"
"2158","2016"
"2158","2017"
"2158","2018"
"2158","2019"
"2158","2020"
"2186","1988"
"2186","1989"
"2186","1990"
"2186","1991"
"2186","1992"
"2186","1993"
"2186","1994"
"2186","1995"
"2186","1996"
"2186","1997"
"2186","1998"
"2186","1999"
"2186","2000"
"2186","2001"
"2186","2002"
"2186","2003"
"2186","2004"
"2186","2005"
"2186","2006"
"2186","2007"
"2186","2008"
"2186","2009"
"2186","2010"
"2186","2011"
"2186","2012"
"2186","2013"
"2186","2014"
"2186","2015"
"2186","2016"
"2186","2017"
"2186","2018"
"2186","2019"
"2186","2020"
"10957","1988"
"10957","1989"
"10957","1990"
"10957","1991"
"10957","1992"
"10957","1993"
"10957","1994"
"10957","1995"
"10957","1996"
"10957","1997"
"10957","1998"
"10957","1999"
"10957","2000"
"10957","2001"
"10957","2002"
"10957","2003"
"10957","2004"
"10957","2005"
"10957","2006"
"10957","2007"
"10957","2008"
"10957","2009"
"10957","2010"
"10957","2011"
"10957","2012"
"10957","2013"
"10957","2014"
"10957","2015"
"10957","2016"
"10957","2017"
"10957","2018"
"10957","2019"
"10957","2020"
"10961","1988"
"10961","1989"
"10961","1990"
"10961","1991"
"10961","1992"
"10961","1993"
"10961","1994"
"10961","1995"
"10961","1996"
"10961","1997"
"10961","1998"
"10961","1999"
"10961","2000"
"10961","2001"
"10961","2002"
"10961","2003"
"10961","2004"
"10961","2005"
"10961","2006"
"10961","2007"
"10961","2008"
"10961","2009"
"10961","2010"
"10961","2011"
"10961","2012"
"10961","2013"
"10961","2014"
"10961","2015"
"10961","2016"
"10961","2017"
"10961","2018"
"10961","2019"
"10961","2020"
"10962","1988"
"10962","1989"
"10962","1990"
"10962","1991"
"10962","1992"
"10962","1993"
"10962","1994"
"10962","1995"
"10962","1996"
"10962","1997"
"10962","1998"
"10962","1999"
"10962","2000"
"10962","2001"
"10962","2002"
"10962","2003"
"10962","2004"
"10962","2005"
"10962","2006"
"10962","2007"
"10962","2008"
"10962","2009"
"10962","2010"
"10962","2011"
"10962","2012"
"10962","2013"
"10962","2014"
"10962","2015"
"10962","2016"
"10962","2017"
"10962","2018"
"10962","2019"
"10962","2020"
"10988","1988"
"10988","1989"
"10988","1990"
"10988","1991"
"10988","1992"
"10988","1993"
"10988","1994"
"10988","1995"
"10988","1996"
"10988","1997"
"10988","1998"
"10988","1999"
"10988","2000"
"10988","2001"
"10988","2002"
"10988","2003"
"10988","2004"
"10988","2005"
"10988","2006"
"10988","2007"
"10988","2008"
"10988","2009"
"10988","2010"
"10988","2011"
"10988","2012"
"10988","2013"
"10988","2014"
"10988","2015"
"10988","2016"
"10988","2017"
"10988","2018"
"10988","2019"
"10988","2020"
"11015","1988"
"11015","1989"
"11015","1990"
"11015","1991"
"11015","1992"
"11015","1993"
"11015","1994"
"11015","1995"
"11015","1996"
"11015","1997"
"11015","1998"
"11015","1999"
"11015","2000"
"11015","2001"
"11015","2002"
"11015","2003"
"11015","2004"
"11015","2005"
"11015","2006"
"11015","2007"
"11015","2008"
"11015","2009"
"11015","2010"
"11015","2011"
"11015","2012"
"11015","2013"
"11015","2014"
"11015","2015"
"11015","2016"
"11015","2017"
"11015","2018"
"11015","2019"
"11015","2020"
"11016","1988"
"11016","1989"
"11016","1990"
"11016","1991"
"11016","1992"
"11016","1993"
"11016","1994"
"11016","1995"
"11016","1996"
"11016","1997"
"11016","1998"
"11016","1999"
"11016","2000"
"11016","2001"
"11016","2002"
"11016","2003"
"11016","2004"
"11016","2005"
"11016","2006"
"11016","2007"
"11016","2008"
"11016","2009"
"11016","2010"
"11016","2011"
"11016","2012"
"11016","2013"
"11016","2014"
"11016","2015"
"11016","2016"
"11016","2017"
"11016","2018"
"11016","2019"
"11016","2020"
"11043","1988"
"11043","1989"
"11043","1990"
"11043","1991"
"11043","1992"
"11043","1993"
"11043","1994"
"11043","1995"
"11043","1996"
"11043","1997"
"11043","1998"
"11043","1999"
"11043","2000"
"11043","2001"
"11043","2002"
"11043","2003"
"11043","2004"
"11043","2005"
"11043","2006"
"11043","2007"
"11043","2008"
"11043","2009"
"11043","2010"
"11043","2011"
"11043","2012"
"11043","2013"
"11043","2014"
"11043","2015"
"11043","2016"
"11043","2017"
"11043","2018"
"11043","2019"
"11043","2020"
"11070","1988"
"11070","1989"
"11070","1990"
"11070","1991"
"11070","1992"
"11070","1993"
"11070","1994"
"11070","1995"
"11070","1996"
"11070","1997"
"11070","1998"
"11070","1999"
"11070","2000"
"11070","2001"
"11070","2002"
"11070","2003"
"11070","2004"
"11070","2005"
"11070","2006"
"11070","2007"
"11070","2008"
"11070","2009"
"11070","2010"
"11070","2011"
"11070","2012"
"11070","2013"
"11070","2014"
"11070","2015"
"11070","2016"
"11070","2017"
"11070","2018"
"11070","2019"
"11070","2020"
"11097","1988"
"11097","1989"
"11097","1990"
"11097","1991"
"11097","1992"
"11097","1993"
"11097","1994"
"11097","1995"
"11097","1996"
"11097","1997"
"11097","1998"
"11097","1999"
"11097","2000"
"11097","2001"
"11097","2002"
"11097","2003"
"11097","2004"
"11097","2005"
"11097","2006"
"11097","2007"
"11097","2008"
"11097","2009"
"11097","2010"
"11097","2011"
"11097","2012"
"11097","2013"
"11097","2014"
"11097","2015"
"11097","2016"
"11097","2017"
"11097","2018"
"11097","2019"
"11097","2020"
"11124","1988"
"11124","1989"
"11124","1990"
"11124","1991"
"11124","1992"
"11124","1993"
"11124","1994"
"11124","1995"
"11124","1996"
"11124","1997"
"11124","1998"
"11124","1999"
"11124","2000"
"11124","2001"
"11124","2002"
"11124","2003"
"11124","2004"
"11124","2005"
"11124","2006"
"11124","2007"
"11124","2008"
"11124","2009"
"11124","2010"
"11124","2011"
"11124","2012"
"11124","2013"
"11124","2014"
"11124","2015"
"11124","2016"
"11124","2017"
"11124","2018"
"11124","2019"
"11124","2020"
"11125","1988"
"11125","1989"
"11125","1990"
"11125","1991"
"11125","1992"
"11125","1993"
"11125","1994"
"11125","1995"
"11125","1996"
"11125","1997"
"11125","1998"
"11125","1999"
"11125","2000"
"11125","2001"
"11125","2002"
"11125","2003"
"11125","2004"
"11125","2005"
"11125","2006"
"11125","2007"
"11125","2008"
"11125","2009"
"11125","2010"
"11125","2011"
"11125","2012"
"11125","2013"
"11125","2014"
"11125","2015"
"11125","2016"
"11125","2017"
"11125","2018"
"11125","2019"
"11125","2020"
"11151","1988"
"11151","1989"
"11151","1990"
"11151","1991"
"11151","1992"
"11151","1993"
"11151","1994"
"11151","1995"
"11151","1996"
"11151","1997"
"11151","1998"
"11151","1999"
"11151","2000"
"11151","2001"
"11151","2002"
"11151","2003"
"11151","2004"
"11151","2005"
"11151","2006"
"11151","2007"
"11151","2008"
"11151","2009"
"11151","2010"
"11151","2011"
"11151","2012"
"11151","2013"
"11151","2014"
"11151","2015"
"11151","2016"
"11151","2017"
"11151","2018"
"11151","2019"
"11151","2020"
