haul_id;year;cell
017-1805-00041;2018;11151
017-1805-00040;2018;11151
017-1703-00039;2017;11124
017-1406-00125;2014;11151
004-320-00176;2016;11124
017-2305-00024;2023;11124
017-2104-00038;2021;11124
017-2406-00037;2024;11124
017-1805-00039;2018;11124
017-1805-00038;2018;11124
017-1406-00127;2014;11124
017-1505-00067;2015;11124
017-1305-00032;2013;11151
017-2406-00036;2024;11151
017-2305-00025;2023;11124
017-1505-00066;2015;11124
017-2002-00033;2020;11151
017-1505-00064;2015;11151
017-2406-00034;2024;11151
017-2305-00023;2023;11151
017-1703-00046;2017;11151
017-1805-00043;2018;11151
017-2104-00039;2021;11151
017-2406-00035;2024;11151
017-1904-00032;2019;11151
017-2002-00037;2020;11151
017-1305-00036;2013;11151
004-320-00190;2016;11151
017-2104-00037;2021;11124
017-2205-00062;2022;11151
017-1406-00128;2014;11124
017-2305-00020;2023;11151
017-1305-00031;2013;11124
017-2406-00022;2024;11151
017-2406-00038;2024;11124
017-2305-00022;2023;11151
017-2002-00031;2020;11124
017-2002-00038;2020;11151
017-2104-00041;2021;11151
017-1805-00045;2018;11151
017-1703-00038;2017;11124
017-2002-00030;2020;11124
017-1805-00042;2018;11151
017-1505-00065;2015;11151
017-1904-00038;2019;11151
004-320-00192;2016;11151
017-2002-00035;2020;11151
017-1406-00069;2014;11151
017-1505-00069;2015;11124
017-2205-00061;2022;11151
017-2002-00032;2020;11124
017-1703-00040;2017;11151
017-1406-00124;2014;11151
017-1505-00060;2015;11151
017-1406-00070;2014;11151
017-1505-00059;2015;11124
017-2406-00023;2024;11151
017-1805-00044;2018;11151
017-2305-00021;2023;11151
017-2104-00040;2021;11151
017-1904-00031;2019;11124
017-2205-00064;2022;11151
017-2002-00034;2020;11151
017-2104-00042;2021;11151
017-2002-00036;2020;11151
017-1406-00129;2014;11124
017-1904-00040;2019;11151
017-1505-00061;2015;11151
017-2205-00063;2022;11151
017-1904-00041;2019;11151
017-1904-00039;2019;11151
017-1703-00044;2017;11151
017-1703-00043;2017;11151
017-1703-00042;2017;11151
017-2305-00026;2023;11151
017-1703-00041;2017;11151
017-1703-00045;2017;11151
017-1904-00029;2019;11124
017-2406-00039;2024;11124
017-1904-00030;2019;11124
017-2205-00060;2022;11151
017-1406-00071;2014;11151
017-1904-00035;2019;11151
004-320-00189;2016;11151
017-1505-00063;2015;11151
017-1805-00037;2018;11151
017-2205-00057;2022;11151
004-320-00191;2016;11151
017-2305-00027;2023;11124
017-1406-00068;2014;11151
017-1904-00037;2019;11151
004-320-00193;2016;11151
017-1904-00033;2019;11151
017-1505-00070;2015;11151
017-1305-00033;2013;11151
017-1703-00037;2017;11124
017-1406-00067;2014;11151
017-2406-00032;2024;11151
017-2406-00033;2024;11151
017-2002-00040;2020;11151
017-1406-00075;2014;11151
017-2002-00039;2020;11151
017-1406-00123;2014;11151
017-2205-00059;2022;11151
017-2205-00066;2022;11151
017-1805-00036;2018;11151
017-2406-00020;2024;11151
017-1305-00037;2013;11151
017-2205-00065;2022;11151
017-2305-00033;2023;11151
017-1505-00097;2015;11151
017-1703-00047;2017;11151
017-2305-00018;2023;11151
017-2305-00017;2023;11151
017-2104-00043;2021;11151
017-1805-00047;2018;11151
017-1505-00098;2015;11151
017-1703-00035;2017;11151
017-1904-00036;2019;11151
017-2305-00019;2023;11151
017-1904-00042;2019;11151
017-1505-00062;2015;11151
017-1805-00046;2018;11151
017-2104-00044;2021;11151
017-1305-00034;2013;11151
017-1904-00034;2019;11151
017-1305-00035;2013;11151
017-1703-00048;2017;11151
017-2406-00024;2024;11151
017-1904-00028;2019;11124
017-1703-00036;2017;11124
017-1406-00132;2014;11124
017-1406-00073;2014;11151
017-2406-00031;2024;11151
017-1406-00130;2014;11124
017-1805-00034;2018;11151
017-1406-00133;2014;11124
017-1805-00035;2018;11151
017-1904-00026;2019;11124
017-2205-00067;2022;11151
017-2305-00031;2023;11151
017-2305-00032;2023;11151
017-2002-00041;2020;11151
017-2406-00042;2024;11124
017-2406-00040;2024;11124
017-2406-00025;2024;11151
017-1505-00099;2015;11151
017-1904-00025;2019;11124
017-2406-00041;2024;11124
017-2305-00028;2023;11124
017-1904-00027;2019;11124
017-1406-00131;2014;11124
017-1305-00041;2013;11151
017-2305-00016;2023;11151
017-1305-00040;2013;11151
017-2305-00029;2023;11097
017-1703-00050;2017;11151
017-1805-00029;2018;11151
004-301-00223;2012;11151
017-2205-00054;2022;11124
017-2104-00032;2021;11097
017-2305-00034;2023;11151
017-1703-00049;2017;11151
017-2002-00029;2020;11124
017-1805-00033;2018;11151
017-2205-00058;2022;11151
017-2305-00030;2023;11097
017-2104-00033;2021;11097
017-1505-00096;2015;11151
017-1805-00028;2018;11097
017-2104-00031;2021;11151
017-2104-00045;2021;11151
017-2305-00011;2023;11151
017-1805-00030;2018;11097
017-1805-00048;2018;11151
017-1703-00034;2017;11097
017-1305-00038;2013;11151
017-2305-00012;2023;11151
017-2406-00043;2024;11097
017-1305-00039;2013;11151
017-1805-00050;2018;11151
017-1904-00024;2019;11097
017-2205-00053;2022;11097
017-2406-00030;2024;11151
017-2205-00068;2022;11151
017-1305-00030;2013;11097
017-1505-00093;2015;11151
017-1305-00042;2013;11151
017-1505-00094;2015;11151
017-2104-00034;2021;11097
017-1703-00033;2017;11097
017-2002-00043;2020;11151
017-1505-00095;2015;11151
017-2205-00052;2022;11097
017-1805-00032;2018;11151
017-2406-00044;2024;11097
017-1805-00031;2018;11151
017-1703-00051;2017;11151
017-1505-00058;2015;11097
017-2104-00048;2021;11125
017-1904-00023;2019;11097
017-2104-00035;2021;11097
017-1805-00026;2018;11097
017-1505-00100;2015;11097
017-2406-00026;2024;11151
017-2104-00030;2021;11151
017-2305-00015;2023;11125
017-1805-00051;2018;11151
017-2205-00051;2022;11097
017-2305-00035;2023;11097
017-1505-00101;2015;11097
017-1703-00031;2017;11097
017-1406-00065;2014;11125
017-2305-00036;2023;11097
017-2205-00070;2022;11151
017-1305-00029;2013;11097
017-1406-00121;2014;11097
017-2305-00013;2023;11125
017-1406-00077;2014;11151
017-1505-00092;2015;11125
017-1406-00078;2014;11151
017-2305-00010;2023;11151
017-1805-00027;2018;11097
017-1305-00028;2013;11097
017-1703-00029;2017;11097
004-320-00179;2016;11097
017-1505-00084;2015;11151
017-2205-00050;2022;11097
004-301-00222;2012;11151
017-2305-00014;2023;11125
017-1406-00066;2014;11125
017-2406-00015;2024;11125
017-1505-00057;2015;11097
017-2104-00029;2021;11097
017-1406-00119;2014;11097
017-1904-00022;2019;11097
017-1703-00032;2017;11097
017-2205-00072;2022;11125
017-1406-00063;2014;11125
017-1505-00088;2015;11125
017-1904-00059;2019;11125
017-1406-00120;2014;11097
017-1703-00028;2017;11097
017-2406-00016;2024;11125
017-2305-00037;2023;11097
017-2104-00051;2021;11125
017-1805-00052;2018;11125
017-1505-00085;2015;11097
004-320-00180;2016;11097
017-1505-00091;2015;11125
017-2406-00029;2024;11097
017-1703-00030;2017;11097
017-1904-00060;2019;11125
017-1505-00086;2015;11125
017-1805-00053;2018;11125
017-1505-00102;2015;11097
017-2406-00045;2024;11097
017-1406-00117;2014;11097
017-2002-00027;2020;11097
017-1805-00025;2018;11097
017-1805-00054;2018;11125
017-1505-00087;2015;11125
017-2104-00026;2021;11097
017-2104-00052;2021;11125
017-1305-00043;2013;11097
017-1505-00056;2015;11097
017-2104-00050;2021;11125
017-1406-00079;2014;11125
017-2205-00073;2022;11125
017-2406-00047;2024;11097
004-320-00182;2016;11097
017-1406-00145;2014;11097
017-2406-00046;2024;11097
017-2305-00039;2023;11097
017-1505-00089;2015;11125
017-2305-00009;2023;11125
017-2205-00049;2022;11097
017-1505-00055;2015;11097
017-1406-00116;2014;11097
017-1805-00024;2018;11097
017-1505-00083;2015;11097
017-2104-00027;2021;11097
017-1505-00103;2015;11097
017-1305-00027;2013;11097
017-2305-00040;2023;11097
017-2205-00047;2022;11097
017-2305-00038;2023;11097
017-1703-00027;2017;11097
017-2205-00045;2022;11097
017-2104-00025;2021;11097
017-1904-00021;2019;11097
017-2104-00053;2021;11125
017-1406-00143;2014;11097
017-1805-00055;2018;11125
017-2002-00046;2020;11125
017-1406-00062;2014;11125
017-1505-00090;2015;11125
017-1406-00146;2014;11097
017-1703-00054;2017;11097
017-2002-00055;2020;11097
017-1406-00080;2014;11125
017-2002-00044;2020;11125
017-2002-00026;2020;11097
017-2104-00024;2021;11097
017-1904-00020;2019;11097
017-2002-00047;2020;11125
017-1805-00022;2018;11097
017-2406-00013;2024;11125
017-2104-00028;2021;11097
017-1805-00023;2018;11097
017-1703-00026;2017;11097
017-2205-00043;2022;11097
017-1406-00115;2014;11097
017-1406-00061;2014;11125
017-1406-00147;2014;11097
017-1904-00056;2019;11125
017-1505-00082;2015;11097
017-2002-00045;2020;11125
017-2205-00048;2022;11097
017-2205-00075;2022;11125
017-2205-00044;2022;11097
017-1305-00044;2013;11125
017-1406-00081;2014;11097
017-1505-00054;2015;11097
017-1406-00082;2014;11097
017-2104-00054;2021;11125
017-1406-00114;2014;11097
017-2104-00023;2021;11097
017-2305-00046;2023;11097
017-2002-00048;2020;11125
017-2002-00049;2020;11125
017-2406-00049;2024;11097
017-1805-00021;2018;11097
017-1805-00019;2018;11097
017-2305-00047;2023;11097
017-2002-00025;2020;11097
017-1805-00056;2018;11125
017-1406-00113;2014;11097
017-2406-00048;2024;11097
017-2406-00050;2024;11097
017-1505-00104;2015;11097
017-1703-00055;2017;11125
017-1805-00020;2018;11097
017-2104-00022;2021;11097
017-2205-00042;2022;11097
017-1904-00054;2019;11097
017-1406-00148;2014;11097
017-1805-00018;2018;11097
017-1904-00062;2019;11097
017-2002-00050;2020;11125
004-346-00013;2022;2181
017-2305-00007;2023;11125
017-2205-00076;2022;11125
017-2406-00012;2024;11125
004-163-44860;1986;10957
004-232-00021;1998;10957
004-301-00221;2012;11097
004-237-00005;1999;10957
017-2002-00024;2020;11097
004-320-00154;2016;11125
004-252-00008;2002;10957
004-197-53370;1991;10957
004-252-00009;2002;10957
004-273-00002;2006;10957
004-273-00001;2006;10957
004-243-00001;2000;10957
004-197-53368;1991;10957
017-1305-00025;2013;11097
004-320-00172;2016;11097
017-1703-00024;2017;11097
004-197-53369;1991;10957
