haul_id;year;cell
Gadus Atlantica -14-113-1992-01-29 -03:42:00;1992;2251
Gadus Atlantica -14-114-1992-01-29 -05:46:00;1992;2279
Gadus Atlantica -14-112-1992-01-29 -00:33:00;1992;2251
Gadus Atlantica -14-110-1992-01-28 -18:03:00;1992;2251
Gadus Atlantica -16-111-1994-01-26 -10:25:00;1994;2279
Gadus Atlantica -14-109-1992-01-28 -15:39:00;1992;2251
Gadus Atlantica -16-110-1994-01-26 -07:46:00;1994;2279
Gadus Atlantica -14-111-1992-01-28 -20:31:00;1992;2251
Gadus Atlantica -16-112-1994-01-26 -12:23:00;1994;2279
Gadus Atlantica -16-114-1994-01-26 -16:59:00;1994;2251
Gadus Atlantica -16-113-1994-01-26 -14:21:00;1994;2279
Gadus Atlantica -16-117-1994-01-27 -00:09:00;1994;2251
Gadus Atlantica -16-119-1994-01-27 -08:48:00;1994;2251
Gadus Atlantica -16-109-1994-01-26 -01:01:00;1994;2279
Gadus Atlantica -16-106-1994-01-25 -17:59:00;1994;2279
Gadus Atlantica -16-118-1994-01-27 -01:42:00;1994;2251
Gadus Atlantica -16-75-1994-01-22 -02:00:00;1994;2251
Gadus Atlantica -16-108-1994-01-25 -22:09:00;1994;2279
Gadus Atlantica -16-115-1994-01-26 -19:12:00;1994;2251
Gadus Atlantica -16-107-1994-01-25 -20:11:00;1994;2279
Gadus Atlantica -16-116-1994-01-26 -22:14:00;1994;2251
Tracy Marlene -9-26-1998-07-14 -02:00:00;1998;2251
Alfred Needler -13-1-2002-08-03 -02:08:00;2002;2251
Gadus Atlantica -14-108-1992-01-28 -12:30:00;1992;2251
Gadus Atlantica -14-97-1992-01-26 -23:06:00;1992;2251
NFLD Storm -12-5-1999-10-20 -14:12:00;1999;2251
Gadus Atlantica -16-76-1994-01-22 -04:09:00;1994;2251
Gadus Atlantica -7-1-1985-01-05 -13:20:00;1985;2251
Lady Christanna -8-18-1997-10-06 -09:35:00;1997;2251
NFLD Storm -13-23-2000-07-07 -12:56:00;2000;2251
Alfred Needler -4-1-1993-08-18 -02:24:00;1993;2251
Gadus Atlantica -6-1-1984-01-06 -17:57:00;1984;2251
Gadus Atlantica -5-168-1983-01-26 -01:16:00;1983;2224
Gadus Atlantica -16-125-1994-01-28 -12:41:00;1994;2251
Gadus Atlantica -5-2-1983-01-07 -18:35:00;1983;2224
Gadus Atlantica -3-6-1980-01-28 -01:18:00;1980;2224
Gadus Atlantica -6-3-1984-01-06 -22:15:00;1984;2224
Gadus Atlantica -6-2-1984-01-06 -20:16:00;1984;2224
Gadus Atlantica -12-1-1990-01-11 -12:15:00;1990;2224
Gadus Atlantica -8-181-1986-01-26 -13:01:00;1986;2224
Gadus Atlantica -7-3-1985-01-05 -23:32:00;1985;2224
Gadus Atlantica -5-3-1983-01-07 -21:57:00;1983;2224
Gadus Atlantica -7-2-1985-01-05 -15:28:00;1985;2224
Gadus Atlantica -12-2-1990-01-11 -14:17:00;1990;2224
Gadus Atlantica -4-146-1981-02-17 -00:06:00;1981;2224
Gadus Atlantica -8-180-1986-01-26 -11:12:00;1986;2224
Gadus Atlantica -6-175-1984-01-24 -07:43:00;1984;2224
Gadus Atlantica -8-1-1986-01-06 -15:18:00;1986;2224
Gadus Atlantica -4-7-1981-01-30 -06:50:00;1981;2224
Gadus Atlantica -12-139-1990-01-27 -10:55:00;1990;2224
Gadus Atlantica -6-172-1984-01-24 -02:18:00;1984;2224
Gadus Atlantica -3-5-1980-01-27 -20:47:00;1980;2224
Gadus Atlantica -12-13-1990-01-12 -13:23:00;1990;2224
Gadus Atlantica -4-8-1981-01-30 -09:05:00;1981;2224
Gadus Atlantica -4-145-1981-02-16 -22:45:00;1981;2224
Gadus Atlantica -8-6-1986-01-08 -11:32:00;1986;2224
Gadus Atlantica -6-14-1984-01-07 -00:05:00;1984;2224
Gadus Atlantica -8-178-1986-01-26 -08:20:00;1986;2224
Gadus Atlantica -12-12-1990-01-12 -11:21:00;1990;2224
Gadus Atlantica -8-179-1986-01-26 -09:56:00;1986;2224
Gadus Atlantica -5-4-1983-01-07 -23:50:00;1983;2224
Gadus Atlantica -8-165-1986-01-25 -09:10:00;1986;2224
