haul_id;year;cell
2008-8-28-11-55--63.2564166666667-45.8645;2008;1549
1984-8-29-18-15--63.1666666666667-45.8666666666667;1984;1549
1985-9-17-18-25--63.1666666666667-45.8666666666667;1985;1549
2002-9-4-12-19--63.2944166666667-45.8675;2002;1549
2011-9-13-4-40--63.223-45.8696666666667;2011;1549
1996-9-24-0-11--63.16775-45.8789166666667;1996;1549
1998-9-22-21-19--63.265-45.88;1998;1549
1986-9-12-22-30--63.1333333333333-45.8833333333333;1986;1549
1986-9-23-12-24--63.1333333333333-45.8833333333333;1986;1549
2010-9-8-5-41--63.3065-45.887;2010;1549
1997-9-25-14-28--63.17725-45.8873333333333;1997;1549
2012-9-5-4-16--63.2126666666667-45.8964166666667;2012;1549
2006-9-5-5-32--63.0894166666667-45.90225;2006;1549
2019-9-17-20-46--63.3759166666667-45.9141666666667;2019;1549
2007-9-5-1-42--63.45-45.9166666666667;2007;1549
2012-9-5-2-15--63.41525-45.9193333333333;2012;1549
2000-9-28-1-44--63.15625-45.9214166666667;2000;1549
2007-9-4-21-58--63.5225-45.923;2007;1549
2014-9-13-3-8--63.3549166666667-45.9284166666667;2014;1549
2002-9-4-14-18--63.127-45.92925;2002;1549
2005-9-7-4-46--63.124-45.9294166666667;2005;1549
2007-9-5-5-13--63.1433333333333-45.9309166666667;2007;1549
1979-9-14-6-15--63.0833333333333-45.9333333333333;1979;1549
1989-9-23-7-10--63.2-45.9333333333333;1989;1549
1990-9-19-17-11--63.3-45.9333333333333;1990;1549
1993-9-29-10-17--63.35-45.9333333333333;1993;1549
2004-9-7-17-38--63.33025-45.9338333333333;2004;1549
1997-9-25-20-28--63.0658333333333-45.9351666666667;1997;1549
2004-9-13-8-16--63.0388333333333-45.9374166666667;2004;1549
1999-9-29-18-25--63.5541666666667-45.938;1999;1549
2009-9-9-7-6--63.1840833333333-45.9381666666667;2009;1549
2015-9-21-4-39--63.0776666666667-45.9391666666667;2015;1549
2004-9-13-4-42--63.3153333333333-45.9395833333333;2004;1549
2010-9-8-2-55--63.5825833333333-45.94;2010;1549
2004-9-8-1-29--63.05-45.9414166666667;2004;1549
2010-9-8-8-29--63.10275-45.9433333333333;2010;1549
1999-9-29-12-23--63.1725-45.94375;1999;1549
