haul_id;year;cell
IE-IGFS 2015 4 IE 45CE GOV FG210 71;2015;2563
IE-IGFS 2012 4 IE 45CE GOV FG210 143;2012;2563
IE-IGFS 2017 4 IE 45CE GOV FG60 98;2017;2563
IE-IGFS 2005 4 IE 45CE GOV FG64 64;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG61 63;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG30 67;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG54 52;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG62 65;2005;2537
IE-IGFS 2019 4 IE 45CE GOV FG133 91;2019;2564
IE-IGFS 2010 4 IE 45CE GOV FG133 82;2010;2564
IE-IGFS 2008 4 IE 45CE GOV FG133 146;2008;2564
IE-IGFS 2005 4 IE 45CE GOV MB29 51;2005;2537
IE-IGFS 2006 4 IE 45CE GOV FG133 136;2006;2564
IE-IGFS 2009 4 IE 45CE GOV FG133 104;2009;2564
IE-IGFS 2016 4 IE 45CE GOV FG133 72;2016;2564
IE-IGFS 2011 4 IE 45CE GOV FG133 82;2011;2564
IE-IGFS 2020 4 IE 45CE GOV FG133 68;2020;2564
IE-IGFS 2017 4 IE 45CE GOV FG133 169;2017;2564
IE-IGFS 2012 4 IE 45CE GOV FG133 95;2012;2564
IE-IGFS 2013 4 IE 45CE GOV FG133 62;2013;2564
IE-IGFS 2015 4 IE 45CE GOV FG133 86;2015;2564
IE-IGFS 2014 4 IE 45CE GOV FG133 127;2014;2564
IE-IGFS 2005 4 IE 45CE GOV FG12 45;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG63 66;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG55 50;2005;2537
IE-IGFS 2005 4 IE 45CE GOV C306 44;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG14 46;2005;2510
IE-IGFS 2005 4 IE 45CE GOV MB30 36;2005;2510
IE-IGFS 2005 4 IE 45CE GOV CC307 37;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG53 47;2005;2510
IE-IGFS 2005 4 IE 45CE GOV 81 68;2005;2537
IE-IGFS 2005 4 IE 45CE GOV 82 69;2005;2537
IE-IGFS 2005 4 IE 45CE GOV 84 53;2005;2537
IE-IGFS 2005 4 IE 45CE GOV 85 49;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG57 54;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG6 70;2005;2537
IE-IGFS 2005 4 IE 45CE GOV FG65 71;2005;2537
IE-IGFS 2007 4 IE 45CE GOV FG124 165;2007;2509
IE-IGFS 2007 4 IE 45CE GOV FG124 101;2007;2509
IE-IGFS 2013 4 IE 45CE GOV FG196 128;2013;2509
IE-IGFS 2011 4 IE 45CE GOV FG196 101;2011;2509
IE-IGFS 2016 4 IE 45CE GOV FG196 90;2016;2509
IE-IGFS 2019 4 IE 45CE GOV FG196 79;2019;2509
IE-IGFS 2018 4 IE 45CE GOV FG196 101;2018;2509
IE-IGFS 2005 4 IE 45CE GOV FG59 62;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG36 48;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG66 72;2005;2537
IE-IGFS 2013 4 IE 45CE GOV FG159 129;2013;2509
IE-IGFS 2009 4 IE 45CE GOV FG159 110;2009;2509
IE-IGFS 2018 4 IE 45CE GOV FG159 100;2018;2509
IE-IGFS 2005 4 IE 45CE GOV 113 29;2005;2538
IE-IGFS 2005 4 IE 45CE GOV FG16 42;2005;2510
IE-IGFS 2009 4 IE 45CE GOV FG125 137;2009;2509
IE-IGFS 2011 4 IE 45CE GOV FG125 102;2011;2509
IE-IGFS 2006 4 IE 45CE GOV FG125 102;2006;2509
IE-IGFS 2008 4 IE 45CE GOV FG125 130;2008;2509
IE-IGFS 2010 4 IE 45CE GOV FG125 147;2010;2509
IE-IGFS 2007 4 IE 45CE GOV FG125 99;2007;2509
IE-IGFS 2005 4 IE 45CE GOV FG34 61;2005;2510
IE-IGFS 2005 4 IE 45CE GOV MB20 60;2005;2537
IE-IGFS 2005 4 IE 45CE GOV 83 59;2005;2482
IE-IGFS 2005 4 IE 45CE GOV C310 41;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG49 30;2005;2538
IE-IGFS 2005 4 IE 45CE GOV FG39N 33;2005;2538
IE-IGFS 2005 4 IE 45CE GOV 112 32;2005;2538
IE-IGFS 2013 4 IE 45CE GOV FG158 131;2013;2509
IE-IGFS 2005 4 IE 45CE GOV FG52 43;2005;2510
IE-IGFS 2011 4 IE 45CE GOV FG158 103;2011;2509
IE-IGFS 2017 4 IE 45CE GOV FG158 67;2017;2509
IE-IGFS 2014 4 IE 45CE GOV FG158 76;2014;2509
IE-IGFS 2005 4 IE 45CE GOV 64 40;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG15 35;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG58 58;2005;2482
IE-IGFS 2005 4 IE 45CE GOV FG40 31;2005;2483
IE-IGFS 2005 4 IE 45CE GOV FG48 28;2005;2483
IE-IGFS 2005 4 IE 45CE GOV FG56 55;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG9 56;2005;2482
IE-IGFS 2005 4 IE 45CE GOV FG33 57;2005;2482
IE-IGFS 2005 4 IE 45CE GOV 110 25;2005;2483
IE-IGFS 2005 4 IE 45CE GOV FG3 87;2005;2482
IE-IGFS 2005 4 IE 45CE GOV FG28 88;2005;2482
IE-IGFS 2005 4 IE 45CE GOV FG18 18;2005;2510
IE-IGFS 2005 4 IE 45CE GOV FG23A 27;2005;2483
