"cell","year"
"1621","1963"
"1621","1964"
"1621","1965"
"1621","1966"
"1621","1967"
"1621","1968"
"1621","1969"
"1621","1970"
"1621","1971"
"1621","1972"
"1621","1973"
"1621","1974"
"1621","1975"
"1621","1976"
"1621","1977"
"1621","1978"
"1621","1979"
"1621","1980"
"1621","1981"
"1621","1982"
"1621","1983"
"1621","1984"
"1621","1985"
"1621","1986"
"1621","1987"
"1621","1988"
"1621","1989"
"1621","1990"
"1621","1991"
"1621","1992"
"1621","1993"
"1621","1994"
"1621","1995"
"1621","1996"
"1621","1997"
"1621","1998"
"1621","1999"
"1621","2000"
"1621","2001"
"1621","2002"
"1621","2003"
"1621","2004"
"1621","2005"
"1621","2006"
"1621","2007"
"1621","2008"
"1621","2009"
"1621","2010"
"1621","2011"
"1621","2012"
"1621","2013"
"1621","2014"
"1621","2015"
"1621","2016"
"1621","2017"
"1621","2018"
"1621","2019"
"1675","1963"
"1675","1964"
"1675","1965"
"1675","1966"
"1675","1968"
"1675","1971"
"1675","1974"
"1675","1986"
"1675","1997"
"1675","2008"
"1675","2017"
"1675","2018"
"1702","1963"
"1702","1964"
"1702","1965"
"1702","1966"
"1702","1968"
"1702","1971"
"1702","1974"
"1702","1986"
"1702","1997"
"1702","2008"
"1702","2017"
"1702","2018"
"1729","1963"
"1729","1964"
"1729","1965"
"1729","1966"
"1729","1968"
"1729","1971"
"1729","1974"
"1729","1986"
"1729","1997"
"1729","2008"
"1729","2017"
"1729","2018"
"1756","1963"
"1756","1964"
"1756","1965"
"1756","1966"
"1756","1968"
"1756","1971"
"1756","1974"
"1756","1986"
"1756","1997"
"1756","2008"
"1756","2017"
"1756","2018"
"1783","1963"
"1783","1964"
"1783","1965"
"1783","1966"
"1783","1968"
"1783","1971"
"1783","1974"
"1783","1986"
"1783","1997"
"1783","2008"
"1783","2017"
"1783","2018"
"1810","1963"
"1810","1964"
"1810","1965"
"1810","1966"
"1810","1967"
"1810","1968"
"1810","1969"
"1810","1970"
"1810","1971"
"1810","1972"
"1810","1973"
"1810","1974"
"1810","1975"
"1810","1976"
"1810","1977"
"1810","1978"
"1810","1979"
"1810","1980"
"1810","1981"
"1810","1982"
"1810","1983"
"1810","1984"
"1810","1985"
"1810","1986"
"1810","1987"
"1810","1988"
"1810","1989"
"1810","1990"
"1810","1991"
"1810","1992"
"1810","1993"
"1810","1994"
"1810","1995"
"1810","1996"
"1810","1997"
"1810","1998"
"1810","1999"
"1810","2000"
"1810","2001"
"1810","2002"
"1810","2003"
"1810","2004"
"1810","2005"
"1810","2006"
"1810","2007"
"1810","2008"
"1810","2009"
"1810","2010"
"1810","2011"
"1810","2012"
"1810","2013"
"1810","2014"
"1810","2015"
"1810","2016"
"1810","2017"
"1810","2018"
"1810","2019"
"1837","1963"
"1837","1964"
"1837","1965"
"1837","1966"
"1837","1968"
"1837","1971"
"1837","1974"
"1837","1986"
"1837","1997"
"1837","2008"
"1837","2017"
"1837","2018"
"1864","1963"
"1864","1964"
"1864","1965"
"1864","1966"
"1864","1968"
"1864","1971"
"1864","1974"
"1864","1986"
"1864","1997"
"1864","2008"
"1864","2017"
"1864","2018"
"1891","1963"
"1891","1964"
"1891","1965"
"1891","1966"
"1891","1967"
"1891","1968"
"1891","1969"
"1891","1970"
"1891","1971"
"1891","1972"
"1891","1973"
"1891","1974"
"1891","1975"
"1891","1976"
"1891","1977"
"1891","1978"
"1891","1979"
"1891","1980"
"1891","1981"
"1891","1982"
"1891","1983"
