"cell","year"
"19","2005"
"19","2004"
"19","2007"
"19","2012"
"19","2008"
"19","2006"
"19","2019"
"19","2020"
"19","2014"
"19","2016"
"19","2013"
"19","2018"
"19","2017"
"19","2015"
"19","2009"
"19","2011"
"19","2010"
"73","2005"
"73","2004"
"73","2007"
"73","2012"
"73","2008"
"73","2006"
"73","2019"
"73","2020"
"73","2014"
"73","2016"
"73","2013"
"73","2018"
"73","2017"
"73","2015"
"73","2009"
"73","2011"
"73","2010"
"9098","2005"
"9098","2004"
"9098","2007"
"9098","2012"
"9098","2008"
"9098","2006"
"9098","2019"
"9098","2020"
"9098","2014"
"9098","2016"
"9098","2013"
"9098","2018"
"9098","2017"
"9098","2015"
"9098","2009"
"9098","2011"
"9098","2010"
"9125","2005"
"9125","2004"
"9125","2007"
"9125","2012"
"9125","2008"
"9125","2006"
"9125","2019"
"9125","2020"
"9125","2014"
"9125","2016"
"9125","2013"
"9125","2018"
"9125","2017"
"9125","2015"
"9125","2009"
"9125","2011"
"9125","2010"
"9154","2005"
"9154","2004"
"9154","2007"
"9154","2012"
"9154","2008"
"9154","2006"
"9154","2019"
"9154","2020"
"9154","2014"
"9154","2016"
"9154","2013"
"9154","2018"
"9154","2017"
"9154","2015"
"9154","2009"
"9154","2011"
"9154","2010"
"9179","2005"
"9179","2004"
"9179","2007"
"9179","2012"
"9179","2008"
"9179","2006"
"9179","2019"
"9179","2020"
"9179","2014"
"9179","2016"
"9179","2013"
"9179","2018"
"9179","2017"
"9179","2015"
"9179","2009"
"9179","2011"
"9179","2010"
"9205","2005"
"9205","2004"
"9205","2007"
"9205","2012"
"9205","2008"
"9205","2006"
"9205","2019"
"9205","2020"
"9205","2014"
"9205","2016"
"9205","2013"
"9205","2018"
"9205","2017"
"9205","2015"
"9205","2009"
"9205","2011"
"9205","2010"
"9232","2005"
"9232","2004"
"9232","2007"
"9232","2012"
"9232","2008"
"9232","2006"
"9232","2019"
"9232","2020"
"9232","2014"
"9232","2016"
"9232","2013"
"9232","2018"
"9232","2017"
"9232","2015"
"9232","2009"
"9232","2011"
"9232","2010"
"9286","2005"
"9286","2004"
"9286","2007"
"9286","2012"
"9286","2008"
"9286","2006"
"9286","2019"
"9286","2020"
"9286","2014"
"9286","2016"
"9286","2013"
"9286","2018"
"9286","2017"
"9286","2015"
"9286","2009"
"9286","2011"
"9286","2010"
"9341","2005"
"9341","2004"
"9341","2007"
"9341","2012"
"9341","2008"
"9341","2006"
"9341","2019"
"9341","2020"
"9341","2014"
"9341","2016"
"9341","2013"
"9341","2018"
"9341","2017"
"9341","2015"
"9341","2009"
"9341","2011"
"9341","2010"
"9367","2005"
"9367","2004"
"9367","2007"
"9367","2012"
"9367","2008"
"9367","2006"
"9367","2019"
"9367","2020"
"9367","2014"
"9367","2016"
"9367","2013"
"9367","2018"
"9367","2017"
"9367","2015"
"9367","2009"
"9367","2011"
"9367","2010"
"9395","2005"
"9395","2004"
"9395","2007"
"9395","2012"
"9395","2008"
"9395","2006"
"9395","2019"
"9395","2020"
"9395","2014"
"9395","2016"
"9395","2013"
"9395","2018"
"9395","2017"
"9395","2015"
"9395","2009"
"9395","2011"
"9395","2010"
"9422","2005"
"9422","2004"
"9422","2007"
"9422","2012"
"9422","2008"
"9422","2006"
"9422","2019"
"9422","2020"
"9422","2014"
"9422","2016"
"9422","2013"
"9422","2018"
"9422","2017"
"9422","2015"
"9422","2009"
"9422","2011"
"9422","2010"
"9424","2005"
"9424","2004"
"9424","2007"
"9424","2012"
"9424","2008"
"9424","2006"
"9424","2019"
"9424","2020"
"9424","2014"
"9424","2016"
"9424","2013"
"9424","2018"
"9424","2017"
"9424","2015"
"9424","2009"
"9424","2011"
"9424","2010"
"9449","2005"
"9449","2004"
"9449","2007"
"9449","2012"
"9449","2008"
"9449","2006"
"9449","2019"
"9449","2020"
"9449","2014"
"9449","2016"
"9449","2013"
"9449","2018"
"9449","2017"
"9449","2015"
"9449","2009"
"9449","2011"
"9449","2010"
"9476","2005"
"9476","2004"
"9476","2007"
"9476","2012"
"9476","2008"
"9476","2006"
"9476","2019"
"9476","2020"
"9476","2014"
"9476","2016"
"9476","2013"
"9476","2018"
"9476","2017"
"9476","2015"
"9476","2009"
"9476","2011"
"9476","2010"
"9477","2005"
"9477","2004"
"9477","2007"
"9477","2012"
"9477","2008"
"9477","2006"
"9477","2019"
"9477","2020"
"9477","2014"
"9477","2016"
"9477","2013"
"9477","2018"
"9477","2017"
"9477","2015"
"9477","2009"
"9477","2011"
"9477","2010"
"9478","2005"
"9478","2004"
"9478","2007"
"9478","2012"
"9478","2008"
"9478","2006"
"9478","2019"
"9478","2020"
"9478","2014"
"9478","2016"
"9478","2013"
"9478","2018"
"9478","2017"
"9478","2015"
"9478","2009"
"9478","2011"
"9478","2010"
"9504","2005"
"9504","2004"
"9504","2007"
"9504","2012"
"9504","2008"
"9504","2006"
"9504","2019"
"9504","2020"
"9504","2014"
"9504","2016"
"9504","2013"
"9504","2018"
"9504","2017"
"9504","2015"
"9504","2009"
"9504","2011"
"9504","2010"
"9505","2005"
"9505","2004"
"9505","2007"
"9505","2012"
"9505","2008"
"9505","2006"
"9505","2019"
"9505","2020"
"9505","2014"
"9505","2016"
"9505","2013"
"9505","2018"
"9505","2017"
"9505","2015"
"9505","2009"
"9505","2011"
"9505","2010"
"9558","2005"
"9558","2004"
"9558","2007"
"9558","2012"
"9558","2008"
"9558","2006"
"9558","2019"
"9558","2020"
"9558","2014"
"9558","2016"
"9558","2013"
"9558","2018"
"9558","2017"
"9558","2015"
"9558","2009"
"9558","2011"
"9558","2010"
