"cell","year"
"1594","2018"
"1621","2018"
"1675","2018"
"2195","2018"
"2196","2018"
"2198","1970"
"2198","1971"
"2198","1972"
"2198","1973"
"2198","1974"
"2198","1975"
"2198","1976"
"2198","1977"
"2198","1978"
"2198","1979"
"2198","1980"
"2198","1981"
"2198","1982"
"2198","1983"
"2198","1984"
"2198","1985"
"2198","1986"
"2198","1987"
"2198","1988"
"2198","1989"
"2198","1990"
"2198","1991"
"2198","1992"
"2198","1993"
"2198","1994"
"2198","1995"
"2198","1996"
"2198","1997"
"2198","1998"
"2198","1999"
"2198","2000"
"2198","2001"
"2198","2002"
"2198","2003"
"2198","2004"
"2198","2005"
"2198","2006"
"2198","2007"
"2198","2008"
"2198","2009"
"2198","2010"
"2198","2011"
"2198","2012"
"2198","2013"
"2198","2014"
"2198","2015"
"2198","2016"
"2198","2017"
"2198","2018"
"2198","2019"
"2198","2020"
"2222","2018"
"2223","2018"
"2224","1970"
"2224","1971"
"2224","1972"
"2224","1973"
"2224","1974"
"2224","1975"
"2224","1976"
"2224","1977"
"2224","1978"
"2224","1979"
"2224","1980"
"2224","1981"
"2224","1982"
"2224","1983"
"2224","1984"
"2224","1985"
"2224","1986"
"2224","1987"
"2224","1988"
"2224","1989"
"2224","1990"
"2224","1991"
"2224","1992"
"2224","1993"
"2224","1994"
"2224","1995"
"2224","1996"
"2224","1997"
"2224","1998"
"2224","1999"
"2224","2000"
"2224","2001"
"2224","2002"
"2224","2003"
"2224","2004"
"2224","2005"
"2224","2006"
"2224","2007"
"2224","2008"
"2224","2009"
"2224","2010"
"2224","2011"
"2224","2012"
"2224","2013"
"2224","2014"
"2224","2015"
"2224","2016"
"2224","2017"
"2224","2018"
"2224","2019"
"2224","2020"
"2225","1970"
"2225","1971"
"2225","1972"
"2225","1973"
"2225","1974"
"2225","1975"
"2225","1976"
"2225","1977"
"2225","1978"
"2225","1979"
"2225","1980"
"2225","1981"
"2225","1982"
"2225","1983"
"2225","1984"
"2225","1985"
"2225","1986"
"2225","1987"
"2225","1988"
"2225","1989"
"2225","1990"
"2225","1991"
"2225","1992"
"2225","1993"
"2225","1994"
"2225","1995"
"2225","1996"
"2225","1997"
"2225","1998"
"2225","1999"
"2225","2000"
"2225","2001"
"2225","2002"
"2225","2003"
"2225","2004"
"2225","2005"
"2225","2006"
"2225","2007"
"2225","2008"
"2225","2009"
"2225","2010"
"2225","2011"
"2225","2012"
"2225","2013"
"2225","2014"
"2225","2015"
"2225","2016"
"2225","2017"
"2225","2018"
"2225","2019"
"2225","2020"
"2249","1970"
"2249","1971"
"2249","1972"
"2249","1973"
"2249","1974"
"2249","1975"
"2249","1976"
"2249","1977"
"2249","1978"
"2249","1979"
"2249","1980"
"2249","1981"
"2249","1982"
"2249","1983"
"2249","1984"
"2249","1985"
"2249","1986"
"2249","1987"
"2249","1988"
"2249","1989"
"2249","1990"
"2249","1991"
"2249","1992"
"2249","1993"
"2249","1994"
"2249","1995"
"2249","1996"
"2249","1997"
"2249","1998"
"2249","1999"
"2249","2000"
"2249","2001"
"2249","2002"
"2249","2003"
"2249","2004"
"2249","2005"
"2249","2006"
"2249","2007"
"2249","2008"
"2249","2009"
"2249","2010"
"2249","2011"
"2249","2012"
"2249","2013"
"2249","2014"
"2249","2015"
"2249","2016"
"2249","2017"
"2249","2018"
"2249","2019"
"2249","2020"
"2250","2018"
"2251","2018"
"2252","2018"
"2278","2018"
"2279","2018"
"2280","1970"
"2280","1971"
"2280","1972"
"2280","1973"
"2280","1974"
"2280","1975"
"2280","1976"
"2280","1977"
"2280","1978"
"2280","1979"
"2280","1980"
"2280","1981"
"2280","1982"
"2280","1983"
"2280","1984"
"2280","1985"
"2280","1986"
"2280","1987"
"2280","1988"
"2280","1989"
"2280","1990"
"2280","1991"
"2280","1992"
"2280","1993"
"2280","1994"
"2280","1995"
"2280","1996"
"2280","1997"
"2280","1998"
"2280","1999"
"2280","2000"
"2280","2001"
"2280","2002"
"2280","2003"
"2280","2004"
"2280","2005"
"2280","2006"
"2280","2007"
"2280","2008"
"2280","2009"
"2280","2010"
"2280","2011"
"2280","2012"
"2280","2013"
"2280","2014"
"2280","2015"
"2280","2016"
"2280","2017"
"2280","2018"
"2280","2019"
"2280","2020"
"2305","2018"
"2306","2018"
"2333","2018"
