haul_id;year;cell
201835521-80.74428.819;2018;11017
201835321-80.77428.865;2018;11017
201835121-80.81228.923;2018;11017
201834923-80.83628.957;2018;11017
201834723-80.87629.022;2018;11017
201834523-80.9429.119;2018;11017
201834323-80.95529.143;2018;11017
201834125-81.02829.284;2018;11017
201835725-81.06229.356;2018;11017
201835925-81.07829.39;2018;11017
201836125-81.10429.445;2018;11017
201836325-81.13429.508;2018;11017
201836527-81.17529.596;2018;11017
201836727-81.19129.632;2018;11017
201836927-81.20929.679;2018;11017
201945329-81.34530.149;2019;10963
201945129-81.37330.247;2019;10963
201944929-81.38330.293;2019;10963
201944729-81.38630.336;2019;10963
201837131-81.39130.444;2018;10963
201944531-81.38830.454;2019;10963
201837331-81.40730.626;2018;10963
201945531-81.40730.627;2019;10963
201837531-81.39630.678;2018;10963
201945731-81.4230.753;2019;10963
201837731-81.31630.777;2018;10963
201945931-81.33730.785;2019;10963
201946133-81.37730.843;2019;10963
201939333-81.31530.882;2019;10963
201946333-81.3230.925;2019;10963
201837933-81.30930.934;2018;10963
201946533-81.31830.991;2019;10963
201841933-81.30731.004;2018;10963
201838133-81.30431.04;2018;10963
201947133-81.32531.041;2019;10963
201841733-81.32531.041;2018;10963
201939535-81.26131.132;2019;10963
201841535-81.24931.14;2018;10963
201947335-81.2831.178;2019;10963
201841335-81.23431.228;2018;10963
201939735-81.20831.25;2019;10963
201833935-81.20131.294;2018;10963
201947535-81.20231.295;2019;10963
201841135-81.19631.341;2018;10963
201939935-81.1631.379;2019;10963
201833735-81.14831.39;2018;10963
201940137-81.09231.457;2019;10963
201947737-81.07631.573;2019;10963
201840937-81.09431.587;2018;10963
201833537-81.06131.591;2018;10963
201947937-81.03531.653;2019;10963
201840737-81.03231.668;2018;10963
201833337-81.0131.695;2018;10963
201941137-8131.71;2019;10963
201940939-80.95731.768;2019;2188
201842139-80.95931.792;2018;2188
201833139-80.89131.852;2018;2188
201940739-80.89131.853;2019;2188
201842339-80.84931.921;2018;2188
201842539-80.80231.95;2018;2188
201940539-80.78231.96;2019;2188
201940339-80.75331.971;2019;2188
201832939-80.75531.971;2018;2188
201842741-80.64732.078;2018;2188
201946941-80.53532.175;2019;2188
201842941-80.53332.227;2018;2188
201946741-80.53332.227;2019;2188
201944341-80.4632.262;2019;2188
201843141-80.47132.278;2018;2188
201944141-80.32832.328;2019;2188
201943943-80.28132.409;2019;2188
201838343-80.09432.554;2018;2188
201939143-80.09932.564;2019;2188
201832543-80.12132.565;2018;2188
201938943-80.00832.572;2019;2188
201838543-80.02932.572;2018;2188
201832345-79.93632.591;2018;2188
201938545-79.93832.591;2019;2188
201938745-79.94432.609;2019;2188
201838745-79.89832.625;2018;2188
201832745-79.91332.627;2018;2188
201938145-79.88632.632;2019;2188
201938345-79.89832.633;2019;2188
201840145-79.76832.707;2018;2188
201840347-79.69732.782;2018;2188
201941347-79.69632.783;2019;2188
201840547-79.66432.793;2018;2161
201948147-79.68132.808;2019;2161
201845547-79.68132.808;2018;2161
201941547-79.65132.843;2019;2161
201845347-79.46132.913;2018;2161
201941747-79.46232.914;2019;2161
201948349-79.39632.948;2019;2161
201941949-79.38232.962;2019;2161
201845149-79.27233.002;2018;2161
201844749-79.10533.053;2018;2161
201951549-79.17333.06;2019;2161
201844949-79.2533.083;2018;2161
201943551-79.12933.305;2019;2161
201844551-79.1333.305;2018;2161
201943351-79.12733.328;2019;2161
201943151-79.12733.348;2019;2161
201844351-79.00133.466;2018;2161
201942951-79.05533.491;2019;2161
201844151-79.05433.492;2018;2161
201843951-78.99833.542;2018;2161
201943757-77.89533.713;2019;2190
201942753-78.76233.715;2019;2161
201843753-78.76233.731;2018;2161
201950357-77.90933.748;2019;2190
201950555-77.97833.783;2019;2190
201839955-77.97833.784;2018;2190
201942353-78.61533.79;2019;2161
201843553-78.68933.794;2018;2161
201942553-78.6933.795;2019;2161
201950157-77.92933.805;2019;2190
201838953-78.63733.811;2018;2161
201942153-78.63733.811;2019;2161
201950755-77.98933.815;2019;2190
201839755-77.99433.827;2018;2190
201843353-78.56633.833;2018;2107
201949957-77.93333.852;2019;2190
201839555-78.06733.855;2018;2190
201839155-78.35233.89;2018;2107
201951355-78.33533.892;2019;2107
201951155-78.29433.893;2019;2107
201839355-78.21733.901;2018;2107
201950955-78.19933.902;2019;2107
201949759-77.90233.982;2019;2190
201949559-77.87834.037;2019;2190
201948559-77.85434.104;2019;2190
201948759-77.74634.253;2019;2190
201948959-77.68834.306;2019;2190
201949161-77.55934.412;2019;2080
201949361-77.48834.453;2019;2080
