"cell","year"
"2781","2017"
"2782","2017"
"2808","2017"
"2809","2017"
"2835","2017"
"2862","1990"
"2862","1991"
"2862","1992"
"2862","1993"
"2862","1994"
"2862","1995"
"2862","1996"
"2862","1998"
"2862","1999"
"2862","2000"
"2862","2001"
"2862","2002"
"2862","2003"
"2862","2004"
"2862","2005"
"2862","2006"
"2862","2007"
"2862","2008"
"2862","2009"
"2862","2010"
"2862","2011"
"2862","2012"
"2862","2013"
"2862","2014"
"2862","2015"
"2862","2016"
"2862","2017"
"2862","2018"
"2862","2019"
"4422","2017"
