"cell","year"
"244","1990"
"244","1991"
"244","1992"
"244","1993"
"244","1994"
"244","1995"
"244","1996"
"244","1997"
"244","1998"
"244","1999"
"244","2000"
"244","2001"
"244","2002"
"244","2003"
"244","2004"
"244","2005"
"244","2006"
"244","2007"
"244","2008"
"244","2009"
"244","2011"
"244","2012"
"244","2013"
"244","2014"
"244","2015"
"244","2016"
"244","2017"
"244","2018"
"244","2019"
"244","2020"
"298","1990"
"298","1991"
"298","1992"
"298","1993"
"298","1994"
"298","1995"
"298","1996"
"298","1997"
"298","1998"
"298","1999"
"298","2000"
"298","2001"
"298","2002"
"298","2003"
"298","2004"
"298","2005"
"298","2006"
"298","2007"
"298","2008"
"298","2009"
"298","2011"
"298","2012"
"298","2013"
"298","2014"
"298","2015"
"298","2016"
"298","2017"
"298","2018"
"298","2019"
"298","2020"
"2212","1990"
"2212","1994"
"2212","1995"
"2212","1996"
"2212","2011"
"2212","2013"
"2212","2016"
"2213","1990"
"2213","1991"
"2213","1992"
"2213","1993"
"2213","1994"
"2213","1995"
"2213","1996"
"2213","1997"
"2213","1998"
"2213","1999"
"2213","2000"
"2213","2001"
"2213","2002"
"2213","2003"
"2213","2004"
"2213","2005"
"2213","2006"
"2213","2007"
"2213","2008"
"2213","2009"
"2213","2011"
"2213","2012"
"2213","2013"
"2213","2014"
"2213","2015"
"2213","2016"
"2213","2017"
"2213","2018"
"2213","2019"
"2213","2020"
"2238","1990"
"2238","1991"
"2238","1992"
"2238","1993"
"2238","1994"
"2238","1995"
"2238","1996"
"2238","1997"
"2238","1998"
"2238","1999"
"2238","2000"
"2238","2001"
"2238","2002"
"2238","2003"
"2238","2004"
"2238","2005"
"2238","2006"
"2238","2007"
"2238","2008"
"2238","2009"
"2238","2011"
"2238","2012"
"2238","2013"
"2238","2014"
"2238","2015"
"2238","2016"
"2238","2017"
"2238","2018"
"2238","2019"
"2238","2020"
"2239","1990"
"2239","1994"
"2239","1995"
"2239","1996"
"2239","2011"
"2239","2013"
"2239","2016"
"2266","1990"
"2266","1994"
"2266","1995"
"2266","1996"
"2266","2011"
"2266","2013"
"2266","2016"
"2293","1990"
"2293","1994"
"2293","1995"
"2293","1996"
"2293","2011"
"2293","2013"
"2293","2016"
"2320","1990"
"2320","1994"
"2320","1995"
"2320","1996"
"2320","2011"
"2320","2013"
"2320","2016"
"2347","1990"
"2347","1994"
"2347","1995"
"2347","1996"
"2347","2011"
"2347","2013"
"2347","2016"
"2348","1990"
"2348","1991"
"2348","1992"
"2348","1993"
"2348","1994"
"2348","1995"
"2348","1996"
"2348","1997"
"2348","1998"
"2348","1999"
"2348","2000"
"2348","2001"
"2348","2002"
"2348","2003"
"2348","2004"
"2348","2005"
"2348","2006"
"2348","2007"
"2348","2008"
"2348","2009"
"2348","2011"
"2348","2012"
"2348","2013"
"2348","2014"
"2348","2015"
"2348","2016"
"2348","2017"
"2348","2018"
"2348","2019"
"2348","2020"
"2374","1990"
"2374","1994"
"2374","1995"
"2374","1996"
"2374","2011"
"2374","2013"
"2374","2016"
"2375","1990"
"2375","1991"
"2375","1992"
"2375","1993"
"2375","1994"
"2375","1995"
"2375","1996"
"2375","1997"
"2375","1998"
"2375","1999"
"2375","2000"
"2375","2001"
"2375","2002"
"2375","2003"
"2375","2004"
"2375","2005"
"2375","2006"
"2375","2007"
"2375","2008"
"2375","2009"
"2375","2011"
"2375","2012"
"2375","2013"
"2375","2014"
"2375","2015"
"2375","2016"
"2375","2017"
"2375","2018"
"2375","2019"
"2375","2020"
"2376","1990"
"2376","1991"
"2376","1992"
"2376","1993"
"2376","1994"
"2376","1995"
"2376","1996"
"2376","1997"
"2376","1998"
"2376","1999"
"2376","2000"
"2376","2001"
"2376","2002"
"2376","2003"
"2376","2004"
"2376","2005"
"2376","2006"
"2376","2007"
"2376","2008"
"2376","2009"
"2376","2011"
"2376","2012"
"2376","2013"
"2376","2014"
"2376","2015"
"2376","2016"
"2376","2017"
"2376","2018"
"2376","2019"
"2376","2020"
"2401","1990"
"2401","1994"
"2401","1995"
"2401","1996"
"2401","2011"
"2401","2013"
"2401","2016"
"2402","1990"
"2402","1991"
"2402","1992"
"2402","1993"
"2402","1994"
"2402","1995"
"2402","1996"
"2402","1997"
"2402","1998"
"2402","1999"
