haul_id;year;cell
SWC-IBTS 1995 4 GB-SCT 749S GOV 409 29;1995;2645
SWC-IBTS 1995 4 GB-SCT 749S GOV 411 31;1995;2619
SWC-IBTS 1990 4 GB-SCT 749S GOV 478 37;1990;2591
SWC-IBTS 1990 4 GB-SCT 749S GOV 476 35;1990;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 410 30;1995;2591
SWC-IBTS 1991 4 GB-SCT 749S GOV 565 30;1991;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 408 28;1995;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 412 32;1995;2619
SWC-IBTS 1990 4 GB-SCT 749S GOV 477 36;1990;2591
SWC-IBTS 1990 4 GB-SCT 749S GOV 475 34;1990;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 407 27;1995;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 415 35;1995;2592
SWC-IBTS 1991 4 GB-SCT 749S GOV 566 31;1991;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 406 26;1995;2591
SWC-IBTS 1993 4 GB-SCT 749S GOV 499 28;1993;2563
SWC-IBTS 1990 4 GB-SCT 749S GOV 474 33;1990;2591
SWC-IBTS 1991 4 GB-SCT 749S GOV 564 29;1991;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 413 33;1995;2564
SWC-IBTS 1995 4 GB-SCT 749S GOV 417 37;1995;2592
SWC-IBTS 1993 4 GB-SCT 749S GOV 500 29;1993;2563
SWC-IBTS 1995 4 GB-SCT 749S GOV 405 25;1995;2563
SWC-IBTS 1994 4 GB-SCT 749S GOV 420 24;1994;2563
SWC-IBTS 1991 4 GB-SCT 749S GOV 563 28;1991;2563
SWC-IBTS 1990 4 GB-SCT 749S GOV 473 32;1990;2563
SWC-IBTS 1993 4 GB-SCT 749S GOV 501 30;1993;2563
SWC-IBTS 1994 4 GB-SCT 749S GOV 419 23;1994;2563
SWC-IBTS 1994 4 GB-SCT 749S GOV 421 25;1994;2591
SWC-IBTS 1995 4 GB-SCT 749S GOV 403 23;1995;2591
SWC-IBTS 1993 4 GB-SCT 749S GOV 498 27;1993;2591
SWC-IBTS 1990 4 GB-SCT 749S GOV 472 31;1990;2563
SWC-IBTS 1995 4 GB-SCT 749S GOV 404 24;1995;2563
SWC-IBTS 1991 4 GB-SCT 749S GOV 562 27;1991;2563
SWC-IBTS 1991 4 GB-SCT 749S GOV 567 32;1991;2537
SWC-IBTS 1995 4 GB-SCT 749S GOV 418 38;1995;2565
SWC-IBTS 1995 4 GB-SCT 749S GOV 419 39;1995;2565
SWC-IBTS 1995 4 GB-SCT 749S GOV 401 21;1995;2537
SWC-IBTS 1993 4 GB-SCT 749S GOV 502 31;1993;2537
SWC-IBTS 1994 4 GB-SCT 749S GOV 418 22;1994;2537
SWC-IBTS 1990 4 GB-SCT 749S GOV 471 30;1990;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 570 35;1991;2538
SWC-IBTS 1994 4 GB-SCT 749S GOV 422 26;1994;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 561 26;1991;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 560 25;1991;2537
SWC-IBTS 1995 4 GB-SCT 749S GOV 422 42;1995;2538
SWC-IBTS 1995 4 GB-SCT 749S GOV 402 22;1995;2537
SWC-IBTS 1995 4 GB-SCT 749S GOV 421 41;1995;2538
SWC-IBTS 1996 4 GB-SCT 749S GOV 467 34;1996;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 558 23;1991;2537
SWC-IBTS 1992 4 GB-SCT 749S GOV 477 21;1992;2537
SWC-IBTS 1995 4 GB-SCT 749S GOV 399 19;1995;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 557 22;1991;2537
SWC-IBTS 1990 4 GB-SCT 749S GOV 470 29;1990;2537
SWC-IBTS 1994 4 GB-SCT 749S GOV 423 27;1994;2537
SWC-IBTS 1993 4 GB-SCT 749S GOV 496 25;1993;2537
SWC-IBTS 1994 4 GB-SCT 749S GOV 417 21;1994;2537
SWC-IBTS 1993 4 GB-SCT 749S GOV 495 24;1993;2537
SWC-IBTS 1992 4 GB-SCT 749S GOV 476 20;1992;2537
SWC-IBTS 1996 4 GB-SCT 749S GOV 469 36;1996;2537
SWC-IBTS 1995 4 GB-SCT 749S GOV 400 20;1995;2537
SWC-IBTS 1991 4 GB-SCT 749S GOV 559 24;1991;2537
SWC-IBTS 1996 4 GB-SCT 749S GOV 466 33;1996;2537
SWC-IBTS 1993 4 GB-SCT 749S GOV 494 23;1993;2537
SWC-IBTS 1993 4 GB-SCT 749S GOV 503 32;1993;2482
SWC-IBTS 1993 4 GB-SCT 749S GOV 497 26;1993;2510
SWC-IBTS 1993 4 GB-SCT 749S GOV 504 33;1993;2482
SWC-IBTS 1992 4 GB-SCT 749S GOV 475 19;1992;2482
SWC-IBTS 1995 4 GB-SCT 749S GOV 398 18;1995;2482
SWC-IBTS 1996 4 GB-SCT 749S GOV 465 32;1996;2482
SWC-IBTS 1995 4 GB-SCT 749S GOV 397 17;1995;2482
SWC-IBTS 1991 4 GB-SCT 749S GOV 554 19;1991;2482
SWC-IBTS 1991 4 GB-SCT 749S GOV 556 21;1991;2510
SWC-IBTS 1990 4 GB-SCT 749S GOV 469 28;1990;2482
SWC-IBTS 1996 4 GB-SCT 749S GOV 468 35;1996;2482
SWC-IBTS 1991 4 GB-SCT 749S GOV 555 20;1991;2482
SWC-IBTS 1990 4 GB-SCT 749S GOV 468 27;1990;2482
SWC-IBTS 1992 4 GB-SCT 749S GOV 474 18;1992;2482
SWC-IBTS 1991 4 GB-SCT 749S GOV 571 36;1991;2510
SWC-IBTS 1996 4 GB-SCT 749S GOV 457 24;1996;2482
SWC-IBTS 1992 4 GB-SCT 749S GOV 479 23;1992;2482
SWC-IBTS 1994 4 GB-SCT 749S GOV 416 20;1994;2482
SWC-IBTS 1995 4 GB-SCT 749S GOV 424 44;1995;2482
SWC-IBTS 1993 4 GB-SCT 749S GOV 505 34;1993;2482
SWC-IBTS 1995 4 GB-SCT 749S GOV 423 43;1995;2482
SWC-IBTS 1992 4 GB-SCT 749S GOV 478 22;1992;2482
SWC-IBTS 1991 4 GB-SCT 749S GOV 553 18;1991;2482
SWC-IBTS 1993 4 GB-SCT 749S GOV 506 35;1993;2482
