"cell","year"
"1009","1977"
"1009","1998"
"1009","2001"
"1009","1995"
"1009","1989"
"1009","2004"
"1009","1992"
"1009","1983"
"1009","1980"
"1009","1986"
"1037","1977"
"1037","1998"
"1037","2001"
"1037","1995"
"1037","1989"
"1037","2004"
"1037","1992"
"1037","1983"
"1037","1980"
"1037","1986"
"1496","1977"
"1496","1998"
"1496","2001"
"1496","1995"
"1496","1989"
"1496","2004"
"1496","1992"
"1496","1983"
"1496","1980"
"1496","1986"
"1524","1977"
"1524","1998"
"1524","2001"
"1524","1995"
"1524","1989"
"1524","2004"
"1524","1992"
"1524","1983"
"1524","1980"
"1524","1986"
"1551","1977"
"1551","1998"
"1551","2001"
"1551","1995"
"1551","1989"
"1551","2004"
"1551","1992"
"1551","1983"
"1551","1980"
"1551","1986"
"1578","1977"
"1578","1998"
"1578","2001"
"1578","1995"
"1578","1989"
"1578","2004"
"1578","1992"
"1578","1983"
"1578","1980"
"1578","1986"
