haul_id;year;cell
004197701003-119.3834.05;1977;1578
004197701002-119.3334.09;1977;1578
004197701006-119.5434.09;1977;1578
004197701007-119.5934.09;1977;1578
004197701024-120.1234.09;1977;1551
004197701008-119.7234.1;1977;1578
004197701009-119.734.11;1977;1578
004197701018-119.9434.12;1977;1578
004197701022-120.134.12;1977;1551
004197701040-120.2834.12;1977;1551
004197701019-119.9334.13;1977;1578
004197701021-120.134.13;1977;1551
004197701041-120.2534.14;1977;1551
004197701020-119.9134.15;1977;1578
004197701042-120.2834.15;1977;1551
004197701010-119.7134.17;1977;1578
004197701004-119.4834.18;1977;1578
004197701038-120.4134.18;1977;1551
004197701012-119.7134.26;1977;1578
004197701013-119.6634.27;1977;1578
004197701017-119.8734.27;1977;1578
004197701036-120.4434.28;1977;1551
004197701016-119.8534.29;1977;1578
004197701029-120.2434.3;1977;1551
004197701015-119.8434.33;1977;1578
004197701035-120.4334.34;1977;1551
004197701014-119.8234.35;1977;1578
004197701025-120.0434.36;1977;1578
004197701034-120.4234.36;1977;1551
004197701027-120.0134.38;1977;1578
004197701026-120.0234.38;1977;1578
004197701030-120.2334.38;1977;1551
004197701028-120.0134.39;1977;1578
004197701033-120.4534.39;1977;1551
004197701044-120.6534.4;1977;1551
004197701032-120.2534.42;1977;1551
004197701045-120.6334.42;1977;1551
004197701046-120.6534.45;1977;1551
022197701004-120.7234.45;1977;1551
022197701003-120.734.46;1977;1551
022197701002-120.734.47;1977;1551
094199802003-120.834.52;1998;1551
149200101007-120.8434.54;2001;1551
094199501001-120.6934.55;1995;1551
094199802006-120.7134.55;1998;1551
004197701052-120.8434.55;1977;1551
149200101001-120.734.56;2001;1551
149200101003-120.834.56;2001;1551
094199501003-120.834.56;1995;1551
073198901003-120.8134.56;1989;1551
149200101006-120.8734.56;2001;1551
094199802001-120.8734.56;1998;1551
094199501005-120.8834.56;1995;1551
083199201001-120.734.57;1992;1551
057200401029-120.734.57;2004;1551
057200401028-120.7434.57;2004;1551
094199802005-120.7534.57;1998;1551
149200101002-120.7534.57;2001;1551
083199201003-120.834.57;1992;1551
004197701051-120.834.57;1977;1551
004197701048-120.8634.57;1977;1551
149200101005-120.8634.57;2001;1551
057200401030-120.8834.57;2004;1551
094199501002-120.7634.58;1995;1551
094199802002-120.8634.58;1998;1551
073198901001-120.6834.6;1989;1551
073198901002-120.7334.6;1989;1551
073198901004-120.8234.6;1989;1551
