haul_id;year;cell
557198601263-179.0203351.1855;1986;32713
557198601061179.163551.22917;1986;32631
066198601052179.1973351.241;1986;32631
557198601266179.18851.24317;1986;32631
066198601054179.18451.2485;1986;32631
557198601063179.2461751.24883;1986;32631
557198601265179.2198351.249;1986;32631
557198601062179.1786751.24917;1986;32631
557198601262-178.8618351.25817;1986;32713
557198601267179.2516751.27333;1986;32631
557198601060179.0956751.27583;1986;32631
066198601050179.2433351.27667;1986;32631
557198601260-178.551551.38083;1986;32795
557198601261-178.5971751.46667;1986;32795
557198601285178.6518351.485;1986;32631
557198601286178.60451.48917;1986;32631
066198601056178.6236751.49667;1986;32631
066198601057178.6598351.4975;1986;32631
557198601058178.4461751.58333;1986;32631
066198601058178.283551.598;1986;32549
557198601104-178.3263351.62983;1986;32795
557198601105-178.1806751.637;1986;32795
557198601099-178.4893351.63817;1986;32795
557198601038175.7406751.66133;1986;32467
557198601098-178.5638351.66167;1986;32714
557198601057178.2426751.66517;1986;32550
557198601100-178.2746751.67433;1986;32795
066198601059178.27751.68867;1986;32550
557198601037175.5413351.7045;1986;32386
557198601039175.844551.70667;1986;32467
557198601293177.307551.718;1986;32549
557198601289177.90251.71917;1986;32549
557198601053177.270551.74033;1986;32549
557198601294177.1138351.7485;1986;32468
557198601217-175.27251.749;1986;59122
557198601051177.050551.75583;1986;32468
557198601292177.328551.75833;1986;32549
066198601061177.355551.76333;1986;32549
066198601062177.3781751.7745;1986;32549
557198601291177.43851.77817;1986;32549
066198601060177.7013351.796;1986;32550
557198601290177.6586751.80433;1986;32550
066198601026-174.6836751.80617;1986;59204
557198601214-174.4768351.809;1986;59204
557198601052177.116551.81267;1986;32468
557198601215-174.7806751.81633;1986;59204
557198601054177.5581751.8165;1986;32549
066198601025-174.7288351.83033;1986;59204
557198601210-173.8728351.83433;1986;59204
557198601209-173.8951.84383;1986;59204
557198601218-175.0718351.84517;1986;59204
066198601018-173.9486751.84767;1986;59204
557198601219-174.7048351.84867;1986;59204
066198601024-174.675551.8535;1986;59204
557198601036175.2663351.8625;1986;32386
066198601019-174.0538351.86617;1986;59204
066198601020-174.14751.879;1986;59204
557198601337178.0806751.87967;1986;32550
066198601015-173.7383351.88333;1986;59286
066198601091179.7596751.889;1986;32632
066198601092179.7433351.89217;1986;32632
557198601042175.8913351.89217;1986;32386
557198601335178.13651.89433;1986;32550
557198601208-173.7626751.9;1986;59286
557198601207-173.5533351.90117;1986;59286
557198601206-173.3483351.90167;1986;59286
557198601346179.34551.902;1986;32632
557198601338178.1376751.905;1986;32550
066198601016-173.808551.9075;1986;59204
557198601339178.1986751.91017;1986;32550
557198601050176.09651.9105;1986;32468
066198601090178.3723351.9135;1986;32550
066198601014-173.7183351.92333;1986;59286
557198601297176.7028351.93383;1986;32468
557198601336178.0503351.93767;1986;32550
557198601202-172.87951.94117;1986;59286
066198601088178.281551.944;1986;32550
066198601086178.0581751.946;1986;32550
557198601106-176.2963351.94717;1986;59122
066198601023-174.33551.94933;1986;59204
557198601296176.878551.95633;1986;32468
557198601064179.3373351.9565;1986;32632
557198601329177.2131751.9605;1986;32468
066198601093179.8163351.96867;1986;32632
066198601087178.18151.969;1986;32550
066198601017-173.8583351.96933;1986;59204
066198601089178.258551.9695;1986;32550
066198601022-174.3401751.96983;1986;59204
557198601220-172.4088351.97;1986;59287
557198601205-172.33251.97067;1986;59287
066198601097-179.7181751.9755;1986;32632
557198601203-172.6076751.97617;1986;59287
557198601213-174.3286751.97633;1986;59204
066198601027-174.0656751.99667;1986;59204
557198601334177.9603352;1986;32550
557198601298176.51652.00683;1986;32468
557198601212-174.085552.01367;1986;59204
066198601085177.6428352.0165;1986;32550
557198601107-176.4153352.018;1986;59122
557198601295176.97952.02583;1986;32468
066198601083177.7488352.02667;1986;32550
557198601330177.727552.0285;1986;32550
557198601083-179.83552.03467;1986;32632
557198601364179.9343352.03733;1986;32632
557198601363-179.7752.03783;1986;32632
557198601204-172.24852.03817;1986;59287
066198601021-174.1118352.03883;1986;59204
557198601341178.37952.039;1986;32550
557198601065179.3403352.0425;1986;32632
557198601331177.7653352.04633;1986;32550
066198601094179.94152.04767;1986;32632
557198601362-179.7831752.04933;1986;32632
066198601082177.7558352.05267;1986;32550
557198601361-179.867552.05317;1986;32632
066198601095-179.8743352.05417;1986;32632
066198601096-179.7752.05433;1986;32632
557198601340178.26852.0585;1986;32550
066198601080177.3438352.059;1986;32468
066198601079177.2306752.0655;1986;32468
557198601113-175.5136752.067;1986;59122
557198601327177.3683352.07033;1986;32468
557198601304175.09652.07067;1986;32386
557198601084-179.9571752.07117;1986;32632
557198601049176.3566752.07333;1986;32468
557198601342178.24752.07367;1986;32550
557198601328177.25652.074;1986;32468
066198601081177.6958352.07433;1986;32550
557198601332177.8371752.07533;1986;32550
557198601200-171.805552.0855;1986;59287
066198601047-175.27452.08667;1986;59122
557198601071179.6553352.09;1986;32632
066198601046-175.493552.1005;1986;59122
557198601201-171.9891752.10583;1986;59287
557198601360-179.9001752.107;1986;32632
557198601348179.307552.1135;1986;32632
066198601105179.4578352.1235;1986;32632
066198601100-179.9253352.13083;1986;32632
066198601107179.5323352.13417;1986;32632
557198601114-175.3281752.13533;1986;59123
