haul_id;year;cell
BITS 2010 4 PL 67BC TVL 25001 18;2010;19760
BITS 2009 4 PL 67BC TVL 25001 10;2009;19760
BITS 2012 4 PL 67BC TVL 25001 4;2012;19760
BITS 2016 4 PL 67BC TVL 25001 7;2016;19760
BITS 2013 4 PL 67BC TVL 25001 9;2013;19760
BITS 2011 4 PL 67BC TVL 25001 7;2011;19760
BITS 2014 4 PL 67BC TVL 25001 4;2014;19760
BITS 2015 4 PL 67BC TVL 25001 23;2015;19760
BITS 2012 4 PL 67BC TVL 26131 35;2012;19922
BITS 2019 4 PL 67BC TVL 25009 17;2019;19760
BITS 2020 4 PL 67BC TVL 25009 6;2020;19760
BITS 2009 4 DE 06SL TVS 24001 13;2009;13527
BITS 2010 4 DE 06SL TVS 24001 15;2010;13527
BITS 2013 4 DE 06SL TVS 24001 7;2013;13527
BITS 2008 4 DE 06SL TVS 24001 13;2008;13527
BITS 2001 4 DK 26D4 TVL 46 23;2001;19760
BITS 2019 4 PL 67BC TVL 25008 18;2019;19760
BITS 2015 4 PL 67BC TVL 25009 17;2015;19760
BITS 2013 4 PL 67BC TVL 25009 14;2013;19760
BITS 2016 4 PL 67BC TVL 25009 16;2016;19760
BITS 2018 4 PL 67BC TVL 25009 41;2018;19760
BITS 2012 4 PL 67BC TVL 25009 10;2012;19760
BITS 2020 4 PL 67BC TVL 26001 29;2020;19922
BITS 2009 4 PL 67BC TVL 26001 1;2009;19922
BITS 2017 4 DE 06SL TVS 24001 12;2017;13527
BITS 2011 4 DE 06SL TVS 24001 2;2011;13527
BITS 2014 4 DE 06SL TVS 24001 8;2014;13527
BITS 2020 4 DE 06SL TVS 24001 1;2020;13527
BITS 2002 4 DE 06S1 TVS 773 14;2002;13527
BITS 2015 4 PL 67BC TVL 25008 15;2015;19760
BITS 2014 4 PL 67BC TVL 25008 11;2014;19760
BITS 2012 4 PL 67BC TVL 25008 9;2012;19760
BITS 2011 4 PL 67BC TVL 25008 9;2011;19760
BITS 2020 4 PL 67BC TVL 25008 5;2020;19760
BITS 2017 4 PL 67BC TVL 25008 12;2017;19760
BITS 2016 4 PL 67BC TVL 25008 14;2016;19760
BITS 2018 4 PL 67BC TVL 25008 40;2018;19760
BITS 2017 4 PL 67BC TVL 25009 14;2017;19760
BITS 2009 4 PL 67BC TVL 25009 15;2009;19760
BITS 2014 4 PL 67BC TVL 25009 12;2014;19760
BITS 2010 4 PL 67BC TVL 25009 22;2010;19760
BITS 2015 4 PL 67BC TVL 26001 11;2015;19922
BITS 2005 4 DE 06SL TVS 24001 16;2005;13527
BITS 2013 4 PL 67BC TVL 25008 13;2013;19760
BITS 2009 4 PL 67BC TVL 25008 12;2009;19760
BITS 2011 4 PL 67BC TVL 25009 12;2011;19760
BITS 2003 4 DE 06S1 TVS 24001 10;2003;13527
BITS 2010 4 PL 67BC TVL 25008 20;2010;19760
BITS 2012 4 DE 06SL TVS 24001 1;2012;13527
BITS 2019 4 DE 06SL TVS 24001 13;2019;13527
BITS 2014 4 PL 67BC TVL 26263 25;2014;19922
BITS 2009 4 PL 67BC TVL NA 26;2009;19922
BITS 2020 4 PL 67BC TVL 26216 28;2020;19922
BITS 2011 4 PL 67BC TVL 26219 24;2011;19922
BITS 2010 4 PL 67BC TVL 26263 1;2010;19922
BITS 2020 4 PL 67BC TVL 26263 32;2020;19922
BITS 2016 4 PL 67BC TVL 26216 51;2016;19922
BITS 2015 4 PL 67BC TVL 26219 12;2015;19922
BITS 2019 4 PL 67BC TVL 26216 7;2019;19922
BITS 2019 4 PL 67BC TVL 26219 40;2019;19922
BITS 2019 4 PL 67BC TVL 26131 38;2019;19922
BITS 2015 4 PL 67BC TVL 25011 18;2015;19760
BITS 2020 4 PL 67BC TVL 26131 34;2020;19922
BITS 2010 4 PL 67BC TVL 26131 2;2010;19922
BITS 2011 4 PL 67BC TVL 26131 25;2011;19922
BITS 2018 4 PL 67BC TVL 26216 12;2018;19922
BITS 2020 4 PL 67BC TVL 25011 7;2020;19760
BITS 2019 4 PL 67BC TVL 26263 39;2019;19922
BITS 2010 4 PL 67BC TVL 25011 26;2010;19760
BITS 2017 4 PL 67BC TVL 26263 42;2017;19922
BITS 2009 4 PL 67BC TVL 26186 2;2009;19922
BITS 2018 4 PL 67BC TVL 25011 42;2018;19760
BITS 2019 4 PL 67BC TVL 25011 19;2019;19760
BITS 2010 4 PL 67BC TVL 26217 29;2010;19922
BITS 2011 4 PL 67BC TVL 26163 27;2011;19922
BITS 2002 4 DK 26D4 TVL 48 23;2002;19760
BITS 2020 4 PL 67BC TVL 26163 27;2020;19922
BITS 2001 4 DK 26D4 TVL 51 26;2001;19760
BITS 2016 4 PL 67BC TVL 26163 40;2016;19922
BITS 2012 4 PL 67BC TVL 25011 12;2012;19760
BITS 2018 4 PL 67BC TVL 26163 11;2018;19922
BITS 2019 4 DE 06SL TVS 24002 14;2019;13527
BITS 2009 4 DE 06SL TVS 24002 14;2009;13527
BITS 2020 4 DE 06SL TVS 24002 2;2020;13527
BITS 2012 4 DE 06SL TVS 24002 2;2012;13527
BITS 2020 4 PL 67BC TVL 26264 23;2020;19922
BITS 2020 4 PL 67BC TVL 26220 31;2020;19922
BITS 2019 4 PL 67BC TVL 26163 6;2019;19922
BITS 2016 4 DE 06SL TVS 24002 16;2016;13527
BITS 2008 4 DE 06SL TVS 24002 14;2008;13527
