"cell","year"
"2","1982"
"2","1992"
"3","1982"
"3","1992"
"4","1982"
"4","1992"
"5","1982"
"5","1992"
"83","1982"
"83","1992"
"84","1982"
"84","1992"
"85","1982"
"85","1992"
"86","1982"
"86","1983"
"86","1984"
"86","1985"
"86","1986"
"86","1987"
"86","1988"
"86","1989"
"86","1990"
"86","1991"
"86","1992"
"86","1993"
"86","1994"
"86","1995"
"86","1996"
"86","1997"
"86","1998"
"86","1999"
"86","2000"
"86","2001"
"86","2002"
"86","2003"
"86","2004"
"86","2005"
"86","2006"
"86","2007"
"86","2008"
"86","2009"
"86","2010"
"86","2011"
"86","2012"
"86","2013"
"86","2014"
"86","2015"
"86","2016"
"86","2017"
"86","2018"
"86","2019"
"164","1982"
"164","1992"
"165","1982"
"165","1992"
"166","1982"
"166","1992"
"167","1982"
"167","1992"
"245","1982"
"245","1992"
"246","1982"
"246","1992"
"247","1982"
"247","1992"
"248","1982"
"248","1992"
"249","1982"
"249","1983"
"249","1984"
"249","1985"
"249","1986"
"249","1987"
"249","1988"
"249","1989"
"249","1990"
"249","1991"
"249","1992"
"249","1993"
"249","1994"
"249","1995"
"249","1996"
"249","1997"
"249","1998"
"249","1999"
"249","2000"
"249","2001"
"249","2002"
"249","2003"
"249","2004"
"249","2005"
"249","2006"
"249","2007"
"249","2008"
"249","2009"
"249","2010"
"249","2011"
"249","2012"
"249","2013"
"249","2014"
"249","2015"
"249","2016"
"249","2017"
"249","2018"
"249","2019"
"326","1982"
"326","1992"
"327","1982"
"327","1992"
"328","1982"
"328","1992"
"329","1982"
"329","1992"
"330","1982"
"330","1992"
"407","1982"
"407","1992"
"408","1982"
"408","1992"
"409","1982"
"409","1992"
"410","1982"
"410","1992"
"411","1982"
"411","1992"
"489","1982"
"489","1992"
"490","1982"
"490","1992"
"491","1982"
"491","1992"
"492","1982"
"492","1992"
"493","1982"
"493","1992"
"572","1982"
"572","1992"
"573","1982"
"573","1992"
"574","1982"
"574","1992"
"575","1982"
"575","1992"
"655","1982"
"655","1992"
"656","1982"
"656","1992"
"32234","1982"
"32234","1983"
"32234","1984"
"32234","1985"
"32234","1986"
"32234","1987"
"32234","1988"
"32234","1989"
"32234","1990"
"32234","1991"
"32234","1992"
"32234","1993"
"32234","1994"
"32234","1995"
"32234","1996"
"32234","1997"
"32234","1998"
"32234","1999"
"32234","2000"
"32234","2001"
"32234","2002"
"32234","2003"
"32234","2004"
"32234","2005"
"32234","2006"
"32234","2007"
"32234","2008"
"32234","2009"
"32234","2010"
"32234","2011"
"32234","2012"
"32234","2013"
"32234","2014"
"32234","2015"
"32234","2016"
"32234","2017"
"32234","2018"
"32234","2019"
"32235","1982"
"32235","1983"
"32235","1984"
"32235","1985"
"32235","1986"
"32235","1987"
"32235","1988"
"32235","1989"
"32235","1990"
"32235","1991"
"32235","1992"
"32235","1993"
"32235","1994"
"32235","1995"
"32235","1996"
"32235","1997"
"32235","1998"
"32235","1999"
