"cell","year"
"7446","1997"
"7446","2017"
"7447","1997"
"7447","2017"
"7525","1997"
"7525","2017"
"7526","1997"
"7526","2017"
"7527","1997"
"7527","1998"
"7527","1999"
"7527","2000"
"7527","2001"
"7527","2002"
"7527","2003"
"7527","2004"
"7527","2005"
"7527","2006"
"7527","2007"
"7527","2008"
"7527","2009"
"7527","2010"
"7527","2011"
"7527","2012"
"7527","2013"
"7527","2014"
"7527","2015"
"7527","2016"
"7527","2017"
"7527","2018"
"7527","2019"
"7527","2020"
"7528","1997"
"7528","2017"
"7529","1997"
"7529","1998"
"7529","1999"
"7529","2000"
"7529","2001"
"7529","2002"
"7529","2003"
"7529","2004"
"7529","2005"
"7529","2006"
"7529","2007"
"7529","2008"
"7529","2009"
"7529","2010"
"7529","2011"
"7529","2012"
"7529","2013"
"7529","2014"
"7529","2015"
"7529","2016"
"7529","2017"
"7529","2018"
"7529","2019"
"7529","2020"
"7606","1997"
"7606","2017"
"7607","1997"
"7607","2017"
"7608","1997"
"7608","2017"
"7609","1997"
"7609","1998"
"7609","1999"
"7609","2000"
"7609","2001"
"7609","2002"
"7609","2003"
"7609","2004"
"7609","2005"
"7609","2006"
"7609","2007"
"7609","2008"
"7609","2009"
"7609","2010"
"7609","2011"
"7609","2012"
"7609","2013"
"7609","2014"
"7609","2015"
"7609","2016"
"7609","2017"
"7609","2018"
"7609","2019"
"7609","2020"
"7610","1997"
"7610","1998"
"7610","1999"
"7610","2000"
"7610","2001"
"7610","2002"
"7610","2003"
"7610","2004"
"7610","2005"
"7610","2006"
"7610","2007"
"7610","2008"
"7610","2009"
"7610","2010"
"7610","2011"
"7610","2012"
"7610","2013"
"7610","2014"
"7610","2015"
"7610","2016"
"7610","2017"
"7610","2018"
"7610","2019"
"7610","2020"
"7687","1997"
"7687","2017"
"7688","1997"
"7688","2017"
"7689","1997"
"7689","2017"
"7690","1997"
"7690","2017"
"7769","1997"
"7769","2017"
"7770","1997"
"7770","2017"
"7771","1997"
"7771","2017"
"7772","1997"
"7772","1998"
"7772","1999"
"7772","2000"
"7772","2001"
"7772","2002"
"7772","2003"
"7772","2004"
"7772","2005"
"7772","2006"
"7772","2007"
"7772","2008"
"7772","2009"
"7772","2010"
"7772","2011"
"7772","2012"
"7772","2013"
"7772","2014"
"7772","2015"
"7772","2016"
"7772","2017"
"7772","2018"
"7772","2019"
"7772","2020"
"7851","1997"
"7851","2017"
"7852","1997"
"7852","2017"
"7853","1997"
"7853","2017"
"7854","1997"
"7854","1998"
"7854","1999"
"7854","2000"
"7854","2001"
"7854","2002"
"7854","2003"
"7854","2004"
"7854","2005"
"7854","2006"
"7854","2007"
"7854","2008"
"7854","2009"
"7854","2010"
"7854","2011"
"7854","2012"
"7854","2013"
"7854","2014"
"7854","2015"
"7854","2016"
"7854","2017"
"7854","2018"
"7854","2019"
"7854","2020"
"7934","1997"
"7934","2017"
"7935","1997"
"7935","2017"
"7936","1997"
"7936","2017"
"7937","1997"
"7937","1998"
"7937","1999"
"7937","2000"
"7937","2001"
"7937","2002"
"7937","2003"
"7937","2004"
"7937","2005"
"7937","2006"
"7937","2007"
"7937","2008"
"7937","2009"
"7937","2010"
"7937","2011"
"7937","2012"
"7937","2013"
"7937","2014"
"7937","2015"
"7937","2016"
"7937","2017"
"7937","2018"
"7937","2019"
"7937","2020"
"8016","1997"
"8016","1998"
"8016","1999"
"8016","2000"
"8016","2001"
"8016","2002"
"8016","2003"
"8016","2004"
"8016","2005"
"8016","2006"
"8016","2007"
"8016","2008"
"8016","2009"
"8016","2010"
"8016","2011"
"8016","2012"
"8016","2013"
"8016","2014"
"8016","2015"
"8016","2016"
"8016","2017"
"8016","2018"
"8016","2019"
"8016","2020"
"8017","1997"
"8017","2017"
"8018","1997"
"8018","2017"
"8019","1997"
"8019","2017"
"8099","1997"
"8099","2017"
"8100","1997"
"8100","2017"
"8101","1997"
"8101","2017"
"8181","1997"
"8181","2017"
"8182","1997"
"8182","2017"
"8263","1997"
"8263","2017"
"13183","1997"
"13183","2017"
"13184","1997"
"13184","2017"
"13185","1997"
"13185","2017"
"13186","1997"
"13186","1998"
"13186","1999"
"13186","2000"
"13186","2001"
"13186","2002"
"13186","2003"
"13186","2004"
"13186","2005"
"13186","2006"
"13186","2007"
"13186","2008"
"13186","2009"
"13186","2010"
"13186","2011"
"13186","2012"
"13186","2013"
"13186","2014"
"13186","2015"
"13186","2016"
"13186","2017"
"13186","2018"
"13186","2019"
"13186","2020"
"13265","1997"
"13265","1998"
"13265","1999"
"13265","2000"
"13265","2001"
"13265","2002"
"13265","2003"
"13265","2004"
"13265","2005"
"13265","2006"
"13265","2007"
"13265","2008"
"13265","2009"
"13265","2010"
"13265","2011"
"13265","2012"
"13265","2013"
"13265","2014"
"13265","2015"
"13265","2016"
"13265","2017"
"13265","2018"
"13265","2019"
"13265","2020"
"13266","1997"
"13266","1998"
"13266","1999"
"13266","2000"
"13266","2001"
"13266","2002"
"13266","2003"
"13266","2004"
"13266","2005"
"13266","2006"
"13266","2007"
"13266","2008"
"13266","2009"
"13266","2010"
"13266","2011"
"13266","2012"
"13266","2013"
"13266","2014"
"13266","2015"
"13266","2016"
"13266","2017"
"13266","2018"
"13266","2019"
"13266","2020"
