haul_id;year;cell
FR-CGFS 2003 4 FR 35GD GOV C03060 60;2003;7777
FR-CGFS 2020 4 FR 35HT GOV Y0238 40;2020;7777
FR-CGFS 2003 4 FR 35GD GOV C03077 77;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03076 76;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03059 59;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03083 83;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03078 78;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03082 82;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03069 69;2003;7776
FR-CGFS 2020 4 FR 35HT GOV Y0232 34;2020;7776
FR-CGFS 2020 4 FR 35HT GOV Y0233 35;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03075 75;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03070 70;2003;7776
FR-CGFS 2020 4 FR 35HT GOV Y0239 41;2020;7777
FR-CGFS 2003 4 FR 35GD GOV C03071 71;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03067 67;2003;7776
FR-CGFS 2020 4 FR 35HT GOV Y0231 33;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03068 68;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03058 58;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03080 80;2003;7777
FR-CGFS 2003 4 FR 35GD GOV C03081 81;2003;7776
FR-CGFS 2020 4 FR 35HT GOV Y0237 39;2020;7777
FR-CGFS 2020 4 FR 35HT GOV Y0229 32;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03079 79;2003;7777
FR-CGFS 2020 4 FR 35HT GOV Y0236 42;2020;7777
FR-CGFS 2003 4 FR 35GD GOV C03084 84;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03066 66;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03087 87;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03074 74;2003;7777
FR-CGFS 2020 4 FR 35HT GOV Y0234 36;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03085 85;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03065 65;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03073 73;2003;7695
FR-CGFS 2020 4 FR 35HT GOV Y0240 43;2020;7695
FR-CGFS 2003 4 FR 35GD GOV C03088 88;2003;7776
FR-CGFS 2003 4 FR 35GD GOV C03086 86;2003;7776
FR-CGFS 2020 4 FR 35HT GOV Y0228 31;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03056 56;2003;7777
FR-CGFS 2020 4 FR 35HT GOV Y0235 37;2020;7776
FR-CGFS 2003 4 FR 35GD GOV C03057 57;2003;7777
FR-CGFS 2020 4 FR 35HT GOV Y0241 44;2020;7777
FR-CGFS 2003 4 FR 35GD GOV C03072 72;2003;7695
FR-CGFS 2020 4 FR 35HT GOV Y0242 45;2020;7695
FR-CGFS 2003 4 FR 35GD GOV C03064 64;2003;7695
FR-CGFS 2020 4 FR 35HT GOV Y0244 46;2020;7695
FR-CGFS 2012 4 FR 35GD GOV C12089 89;2012;7694
FR-CGFS 2001 4 FR 35GD GOV C01085 85;2001;7694
FR-CGFS 2000 4 FR 35GD GOV C00085 85;2000;7694
FR-CGFS 2011 4 FR 35GD GOV C11090 90;2011;7694
FR-CGFS 2014 4 FR 35GD GOV C14099 99;2014;7694
FR-CGFS 2008 4 FR 35GD GOV C08099 99;2008;7694
FR-CGFS 2009 4 FR 35GD GOV C09094 94;2009;7694
FR-CGFS 2020 4 FR 35HT GOV Y0243 47;2020;7695
FR-CGFS 2003 4 FR 35GD GOV C03089 89;2003;7695
FR-CGFS 2020 4 FR 35HT GOV Y0227 30;2020;7695
FR-CGFS 2020 4 FR 35HT GOV Y0252 55;2020;7695
FR-CGFS 2003 4 FR 35GD GOV C03063 63;2003;7695
FR-CGFS 2020 4 FR 35HT GOV Y0257 60;2020;7695
FR-CGFS 2003 4 FR 35GD GOV C03055 55;2003;7696
FR-CGFS 2020 4 FR 35HT GOV Y0258 61;2020;7696
FR-CGFS 2003 4 FR 35GD GOV C03054 54;2003;7696
FR-CGFS 2003 4 FR 35GD GOV C03053 53;2003;7696
FR-CGFS 2003 4 FR 35GD GOV C03061 61;2003;7695
