haul_id;year;cell
143201501003-169.6025452.4063;2015;59451
178201501002-169.659352.41715;2015;59451
057198401148-169.533552.426;1984;59451
555198401038-169.554552.43067;1984;59451
176201501006-169.5223952.44557;2015;59451
148201901006-169.9110852.44677;2019;59370
148201701007-169.8791252.44842;2017;59370
083199001010-169.9116752.4485;1990;59370
555198401037-169.6276752.4495;1984;59370
143200901002-169.5765152.45967;2009;59370
143201101003-169.5708252.4613;2011;59370
143201101004-169.819252.46475;2011;59370
147200501005-169.72652.48169;2005;59370
057198401147-169.602552.48533;1984;59370
148201701006-169.7121352.49735;2017;59370
560198701452-169.6806752.50333;1987;59370
560198701001-169.95652.50467;1987;59370
555198401036-169.7231752.50983;1984;59370
148201701008-169.6062752.51158;2017;59370
057199901001-169.671752.51219;1999;59370
057198401145-169.6513352.51767;1984;59370
178201501001-169.9913552.52542;2015;59370
555198401035-169.7378352.527;1984;59370
134200301007-169.528952.53645;2003;59370
057198401143-169.698552.5365;1984;59370
148201101003-169.5259752.5378;2011;59370
143201501005-169.6573452.53984;2015;59370
134200301002-169.656552.5408;2003;59370
057198401144-169.6473352.54183;1984;59370
555198401034-169.7328352.54233;1984;59370
143200901003-169.6078952.54257;2009;59370
560198701453-169.6678352.54433;1987;59370
143201501004-169.607552.54671;2015;59370
143201101002-169.605752.54725;2011;59370
083199001011-169.7076752.548;1990;59370
143201501006-169.6374752.55035;2015;59370
143200501001-169.782952.55793;2005;59370
143201301001-169.8191652.55796;2013;59370
147200701002-169.754952.56464;2007;59370
147200701001-169.932152.57166;2007;59370
143200701002-169.5446952.57219;2007;59370
560198701002-169.5478352.57233;1987;59370
148201101005-169.9453752.5902;2011;59370
057200101001-169.360552.59868;2001;59452
143201501002-169.8734552.61101;2015;59370
560198701454-169.7593352.62633;1987;59370
019199001010-169.7348352.629;1990;59370
094200101003-169.782752.63683;2001;59370
143200501002-169.7814952.6384;2005;59370
176201501001-169.9235852.63903;2015;59370
057198401095-169.7356752.64917;1984;59370
094199901001-169.91352.65261;1999;59370
143201901002-169.9247252.6589;2019;59370
143201501001-169.9206952.66743;2015;59370
143200901001-169.917352.66746;2009;59370
143200701001-169.9058152.66856;2007;59370
094200101005-169.117252.67788;2001;59452
176201501002-169.8737552.68478;2015;59370
148201701001-169.5251552.69008;2017;59370
094199601001-169.846552.69206;1996;59370
143201701002-169.8515452.69427;2017;59370
148201901007-169.8572352.69497;2019;59370
094200901003-169.854252.6953;2009;59370
176201501003-169.5323352.69691;2015;59370
100199601001-169.815352.7156;1996;59370
143201901001-169.8518152.73147;2019;59370
148201101007-169.7618252.762;2011;59370
148201101006-169.9689752.76483;2011;59370
094199601002-169.849452.77198;1996;59370
176201301002-169.6669952.77247;2013;59370
143201101001-169.8681852.77412;2011;59370
094200101002-169.000552.7747;2001;59452
134200301008-169.6640952.78093;2003;59370
083199001009-169.8821752.78267;1990;59370
094199901002-169.664252.78292;1999;59370
057200101002-168.990452.82795;2001;59452
057200101004-168.29752.89531;2001;59452
057200101003-168.6071952.97649;2001;59452
094200101009-167.306952.99747;2001;59534
057200101006-167.6961153.01062;2001;59534
057200101005-168.002453.04145;2001;59453
094200101001-168.3701953.04702;2001;59453
057200101008-166.970653.10574;2001;59534
057200101009-167.069653.14964;2001;59534
057200101007-167.3632153.15859;2001;59534
094200101008-167.061453.16145;2001;59534
094200101007-167.1293953.17138;2001;59534
094200101006-167.838753.2293;2001;59453
057200101010-167.3612153.25333;2001;59453
057200101011-167.291553.2903;2001;59453
555198401047-165.9783353.317;1984;59616
057200101013-166.16253.36049;2001;59535
057199901011-165.967353.3612;1999;59616
555198401046-165.8563353.397;1984;59616
148201901018-165.8556653.4014;2019;59616
560198701013-165.8473353.40283;1987;59616
143200301010-165.782253.42517;2003;59616
176201301011-165.79753.42574;2013;59616
094200901016-165.77153.43183;2009;59616
094200101010-166.546853.46796;2001;59535
057200101012-166.3970953.49403;2001;59535
094200101013-165.475453.59893;2001;59617
057200101014-165.3822953.63464;2001;59617
094200101014-165.432553.64814;2001;59617
