"cell","year"
"3761","1980"
"3761","1981"
"3761","1983"
"3761","1984"
"3761","1985"
"3761","1986"
"3761","1987"
"3761","1988"
"3761","1989"
"3761","1990"
"3761","1991"
"3761","1992"
"3761","1993"
"3761","1994"
"3761","1995"
"3761","1996"
"3761","1997"
"3761","1998"
"3761","1999"
"3761","2000"
"3761","2001"
"3761","2002"
"3761","2003"
"3761","2004"
"3761","2005"
"3761","2006"
"3761","2007"
"3761","2008"
"3761","2009"
"3761","2010"
"3761","2011"
"3761","2012"
"3761","2013"
"3761","2014"
"3761","2015"
"3761","2016"
"3761","2017"
"3761","2018"
"3761","2019"
"3841","1980"
"3841","1981"
"3841","1983"
"3841","1984"
"3841","1985"
"3841","1986"
"3841","1987"
"3841","1988"
"3841","1989"
"3841","1990"
"3841","1991"
"3841","1992"
"3841","1993"
"3841","1994"
"3841","1995"
"3841","1996"
"3841","1997"
"3841","1998"
"3841","1999"
"3841","2000"
"3841","2001"
"3841","2002"
"3841","2003"
"3841","2004"
"3841","2005"
"3841","2006"
"3841","2007"
"3841","2008"
"3841","2009"
"3841","2010"
"3841","2011"
"3841","2012"
"3841","2013"
"3841","2014"
"3841","2015"
"3841","2016"
"3841","2017"
"3841","2018"
"3841","2019"
"3921","1980"
"3921","1981"
"3921","1983"
"3921","1984"
"3921","1985"
"3921","1986"
"3921","1987"
"3921","1988"
"3921","1989"
"3921","1990"
"3921","1991"
"3921","1992"
"3921","1993"
"3921","1994"
"3921","1995"
"3921","1996"
"3921","1997"
"3921","1998"
"3921","1999"
"3921","2000"
"3921","2001"
"3921","2002"
"3921","2003"
"3921","2004"
"3921","2005"
"3921","2006"
"3921","2007"
"3921","2008"
"3921","2009"
"3921","2010"
"3921","2011"
"3921","2012"
"3921","2013"
"3921","2014"
"3921","2015"
"3921","2016"
"3921","2017"
"3921","2018"
"3921","2019"
"4001","1980"
"4001","1981"
"4001","1983"
"4001","1984"
"4080","1980"
"4080","1981"
"4080","1983"
"4080","1984"
"4080","1985"
"4080","1986"
"4080","1987"
"4080","1988"
"4080","1989"
"4080","1990"
"4080","1991"
"4080","1992"
"4080","1993"
"4080","1994"
"4080","1995"
"4080","1996"
"4080","1997"
"4080","1998"
"4080","1999"
"4080","2000"
"4080","2001"
"4080","2002"
"4080","2003"
"4080","2004"
"4080","2005"
"4080","2006"
"4080","2007"
"4080","2008"
"4080","2009"
"4080","2010"
"4080","2011"
"4080","2012"
"4080","2013"
"4080","2014"
"4080","2015"
"4080","2016"
"4080","2017"
"4080","2018"
"4080","2019"
"4081","1980"
"4081","1981"
"4081","1983"
"4081","1984"
"4158","1980"
"4158","1981"
"4158","1983"
"4158","1984"
"4158","1985"
"4158","1986"
"4158","1987"
"4158","1988"
