"cell","year"
"4319","1970"
"4319","1971"
"4319","1972"
"4319","1973"
"4319","1974"
"4319","1975"
"4319","1976"
"4319","1977"
"4319","1978"
"4319","1979"
"4319","1980"
"4319","1981"
"4319","1982"
"4319","1983"
"4319","1984"
"4319","1985"
"4319","1986"
"4319","1987"
"4319","1988"
"4319","1989"
"4319","1990"
"4319","1991"
"4319","1992"
"4319","1993"
"4319","1994"
"4319","1995"
"4319","1996"
"4319","1997"
"4319","1998"
"4319","1999"
"4319","2000"
"4319","2001"
"4319","2002"
"4319","2004"
"4319","2005"
"4319","2006"
"4319","2007"
"4319","2008"
"4319","2009"
"4319","2010"
"4319","2011"
"4319","2012"
"4319","2013"
"4319","2014"
"4319","2015"
"4319","2016"
"4319","2017"
"4319","2018"
"4319","2019"
"4320","1970"
"4321","1970"
"4400","1970"
"4401","1970"
"4403","1970"
"4479","1970"
"4479","1971"
"4479","1972"
"4479","1973"
"4479","1974"
"4479","1975"
"4479","1976"
"4479","1977"
"4479","1978"
"4479","1979"
"4479","1980"
"4479","1981"
"4479","1982"
"4479","1983"
"4479","1984"
"4479","1985"
"4479","1986"
"4479","1987"
"4479","1988"
"4479","1989"
"4479","1990"
"4479","1991"
"4479","1992"
"4479","1993"
"4479","1994"
"4479","1995"
"4479","1996"
"4479","1997"
"4479","1998"
"4479","1999"
"4479","2000"
"4479","2001"
"4479","2002"
"4479","2004"
"4479","2005"
"4479","2006"
"4479","2007"
"4479","2008"
"4479","2009"
"4479","2010"
"4479","2011"
"4479","2012"
"4479","2013"
"4479","2014"
"4479","2015"
"4479","2016"
"4479","2017"
"4479","2018"
"4479","2019"
"4480","1970"
"4481","1970"
"4483","1970"
"4561","1970"
"4563","1970"
"4643","1970"
"4643","1971"
"4643","1972"
"4643","1973"
"4643","1974"
"4643","1975"
"4643","1976"
"4643","1977"
"4643","1978"
"4643","1979"
"4643","1980"
"4643","1981"
"4643","1982"
"4643","1983"
"4643","1984"
"4643","1985"
"4643","1986"
"4643","1987"
"4643","1988"
"4643","1989"
"4643","1990"
"4643","1991"
"4643","1992"
"4643","1993"
"4643","1994"
"4643","1995"
"4643","1996"
"4643","1997"
"4643","1998"
"4643","1999"
"4643","2000"
"4643","2001"
"4643","2002"
"4643","2004"
"4643","2005"
"4643","2006"
"4643","2007"
"4643","2008"
"4643","2009"
"4643","2010"
"4643","2011"
"4643","2012"
"4643","2013"
"4643","2014"
"4643","2015"
"4643","2016"
"4643","2017"
"4643","2018"
"4643","2019"
"6587","1970"
"6588","1970"
"6589","1970"
"6590","1970"
"6668","1970"
"6669","1970"
"6670","1970"
"6670","1971"
"6670","1972"
"6670","1973"
"6670","1974"
"6670","1975"
"6670","1976"
"6670","1977"
"6670","1978"
"6670","1979"
"6670","1980"
"6670","1981"
"6670","1982"
"6670","1983"
"6670","1984"
"6670","1985"
"6670","1986"
"6670","1987"
"6670","1988"
"6670","1989"
"6670","1990"
"6670","1991"
"6670","1992"
"6670","1993"
"6670","1994"
"6670","1995"
"6670","1996"
"6670","1997"
"6670","1998"
"6670","1999"
"6670","2000"
"6670","2001"
"6670","2002"
"6670","2004"
"6670","2005"
"6670","2006"
"6670","2007"
"6670","2008"
"6670","2009"
"6670","2010"
"6670","2011"
"6670","2012"
"6670","2013"
"6670","2014"
"6670","2015"
"6670","2016"
"6670","2017"
"6670","2018"
"6670","2019"
