"cell","year"
"4861","1968"
"4861","1969"
"4861","1970"
"4861","1971"
"4861","1972"
"4861","1973"
"4861","1974"
"4861","1975"
"4861","1976"
"4861","1977"
"4861","1978"
"4861","1979"
"4861","1980"
"4861","1981"
"4861","1982"
"4861","1983"
"4861","1984"
"4861","1985"
"4861","1986"
"4861","1987"
"4861","1988"
"4861","1989"
"4861","1990"
"4861","1991"
"4861","1992"
"4861","1993"
"4861","1994"
"4861","1995"
"4861","1996"
"4861","1997"
"4861","1998"
"4861","1999"
"4861","2000"
"4861","2001"
"4861","2002"
"4861","2003"
"4861","2004"
"4861","2005"
"4861","2006"
"4861","2007"
"4861","2008"
"4861","2009"
"4861","2010"
"4861","2011"
"4861","2012"
"4861","2013"
"4861","2014"
"4861","2015"
"4861","2016"
"4861","2017"
"4861","2018"
"4861","2019"
"4861","2020"
"4941","1968"
"4941","1969"
"4941","1970"
"4941","1971"
"4941","1972"
"4941","1973"
"4941","1974"
"4941","1975"
"4941","1976"
"4941","1977"
"4941","1978"
"4941","1979"
"4941","1980"
"4941","1981"
"4941","1982"
"4941","1983"
"4941","1984"
"4941","1985"
"4941","1986"
"4941","1987"
"4941","1988"
"4941","1989"
"4941","1990"
"4941","1991"
"4941","1992"
"4941","1993"
"4941","1994"
"4941","1995"
"4941","1996"
"4941","1997"
"4941","1998"
"4941","1999"
"4941","2000"
"4941","2001"
"4941","2002"
"4941","2003"
"4941","2004"
"4941","2005"
"4941","2006"
"4941","2007"
"4941","2008"
"4941","2009"
"4941","2010"
"4941","2011"
"4941","2012"
"4941","2013"
"4941","2014"
"4941","2015"
"4941","2016"
"4941","2017"
"4941","2018"
"4941","2019"
"4941","2020"
"4942","1968"
"4942","1969"
"4942","1970"
"4942","1971"
"4942","1972"
"4942","1973"
"4942","1974"
"4942","1975"
"4942","1976"
"4942","1977"
"4942","1978"
"4942","1979"
"4942","1980"
"4942","1981"
"4942","1982"
"4942","1983"
"4942","1984"
"4942","1985"
"4942","1986"
"4942","1987"
"4942","1988"
"4942","1989"
"4942","1990"
"4942","1991"
"4942","1992"
"4942","1993"
"4942","1994"
"4942","1995"
"4942","1996"
"4942","1997"
"4942","1998"
"4942","1999"
"4942","2000"
"4942","2001"
"4942","2002"
"4942","2003"
"4942","2004"
"4942","2005"
"4942","2006"
"4942","2007"
"4942","2008"
"4942","2009"
"4942","2010"
"4942","2011"
"4942","2012"
"4942","2013"
"4942","2014"
"4942","2015"
"4942","2016"
"4942","2017"
"4942","2018"
"4942","2019"
"4942","2020"
"5022","1968"
"5022","1969"
"5022","1975"
"5022","1988"
"5022","2014"
"5022","2018"
"5022","2020"
"5023","1968"
"5023","1969"
"5023","1975"
"5023","1988"
"5023","2014"
"5023","2018"
"5023","2020"
"5102","1968"
"5102","1969"
"5102","1970"
"5102","1971"
"5102","1972"
"5102","1973"
"5102","1974"
"5102","1975"
"5102","1976"
"5102","1977"
"5102","1978"
"5102","1979"
"5102","1980"
"5102","1981"
"5102","1982"
"5102","1983"
"5102","1984"
"5102","1985"
"5102","1986"
"5102","1987"
"5102","1988"
"5102","1989"
"5102","1990"
"5102","1991"
"5102","1992"
"5102","1993"
"5102","1994"
"5102","1995"
"5102","1996"
"5102","1997"
"5102","1998"
"5102","1999"
"5102","2000"
"5102","2001"
"5102","2002"
"5102","2003"
"5102","2004"
"5102","2005"
"5102","2006"
"5102","2007"
"5102","2008"
"5102","2009"
"5102","2010"
"5102","2011"
"5102","2012"
"5102","2013"
"5102","2014"
"5102","2015"
"5102","2016"
"5102","2017"
"5102","2018"
"5102","2019"
"5102","2020"
"5103","1968"
"5103","1969"
"5103","1975"
"5103","1988"
"5103","2014"
"5103","2018"
"5103","2020"
"5104","1968"
"5104","1969"
"5104","1975"
"5104","1988"
"5104","2014"
"5104","2018"
"5104","2020"
"5184","1968"
"5184","1969"
"5184","1975"
"5184","1988"
"5184","2014"
"5184","2018"
"5184","2020"
"5185","1968"
"5185","1969"
"5185","1975"
"5185","1988"
"5185","2014"
"5185","2018"
"5185","2020"
"5265","1968"
"5265","1969"
"5265","1975"
"5265","1988"
"5265","2014"
"5265","2018"
"5265","2020"
"5266","1968"
"5266","1969"
"5266","1975"
"5266","1988"
"5266","2014"
"5266","2018"
