haul_id;year;cell
NIGFS 2008 1 GB-NIR 74RY ROT 113 53;2008;7366
NIGFS 2008 1 GB-NIR 74RY ROT 112 54;2008;7366
NIGFS 2008 1 GB-NIR 74RY ROT 114 52;2008;7366
NIGFS 2008 1 GB-NIR 74RY ROT 111 51;2008;7366
NIGFS 2008 1 GB-NIR 74RY ROT 120 50;2008;7366
NIGFS 2008 1 GB-NIR 74RY ROT 118 18;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 107 49;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 94 19;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 246 37;2008;7286
NIGFS 2008 1 GB-NIR 74RY ROT 56 17;2008;7285
NIGFS 2007 4 GB-NIR 74RY ROT 245 1;2007;7286
NIGFS 2008 1 GB-NIR 74RY ROT 245 36;2008;7286
NIGFS 2008 1 GB-NIR 74RY ROT 93 20;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 103 22;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 92 15;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 247 38;2008;7286
NIGFS 2008 1 GB-NIR 74RY ROT 75 8;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 90 21;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 79 7;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 105 25;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 50 24;2008;7285
NIGFS 2008 1 GB-NIR 74RY ROT 102 33;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 249 48;2008;7286
NIGFS 2008 1 GB-NIR 74RY ROT 77 32;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 243 35;2008;7286
NIGFS 2008 1 GB-NIR 74RY ROT 208 10;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 96 26;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 73 6;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 71 9;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 51 31;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 216 27;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 88 11;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 342 39;2008;7205
NIGFS 2008 1 GB-NIR 74RY ROT 70 12;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 76 34;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 48 23;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 250 47;2008;7205
NIGFS 2008 1 GB-NIR 74RY ROT 17 13;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 99 28;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 242 46;2008;7205
NIGFS 2008 1 GB-NIR 74RY ROT 101 5;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 46 29;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 100 14;2008;7203
NIGFS 2008 1 GB-NIR 74RY ROT 81 4;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 97 30;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 259 45;2008;7205
NIGFS 2008 1 GB-NIR 74RY ROT 258 44;2008;7205
NIGFS 2008 1 GB-NIR 74RY ROT 83 3;2008;7204
NIGFS 2008 1 GB-NIR 74RY ROT 257 43;2008;7205
NIGFS 2007 1 GB-NIR 74RY ROT 86 1;2007;7122
NIGFS 2008 1 GB-NIR 74RY ROT 64 42;2008;7123
NIGFS 2008 1 GB-NIR 74RY ROT 86 2;2008;7122
NIGFS 2008 1 GB-NIR 74RY ROT 256 41;2008;7123
NIGFS 2008 1 GB-NIR 74RY ROT 63 40;2008;7123
NIGFS 2006 1 GB-NIR 74RY ROT 35 1;2006;7122
NIGFS 2005 1 GB-NIR 74RY ROT 35 1;2005;7122
NIGFS 2008 1 GB-NIR 74RY ROT 35 1;2008;7122
NIGFS 2006 4 GB-NIR 74RY ROT 35 1;2006;7122
