"cell","year"
"1","1967"
"1","1968"
"1","1970"
"1","1971"
"1","1972"
"1","1973"
"1","1974"
"1","1975"
"1","1976"
"1","1977"
"1","1978"
"1","1979"
"1","1981"
"1","1982"
"1","1992"
"82","1967"
"82","1968"
"82","1970"
"82","1971"
"82","1972"
"82","1973"
"82","1974"
"82","1975"
"82","1976"
"82","1977"
"82","1978"
"82","1979"
"82","1980"
"82","1981"
"82","1982"
"82","1983"
"82","1984"
"82","1985"
"82","1986"
"82","1987"
"82","1988"
"82","1989"
"82","1990"
"82","1991"
"82","1992"
"82","1993"
"82","1994"
"82","1995"
"82","1996"
"82","1997"
"82","1998"
"82","1999"
"82","2000"
"82","2001"
"82","2002"
"82","2003"
"82","2004"
"82","2005"
"82","2006"
"82","2007"
"82","2008"
"82","2009"
"82","2010"
"82","2011"
"82","2012"
"82","2013"
"82","2014"
"82","2015"
"82","2016"
"82","2017"
"82","2018"
"82","2019"
"82","2020"
"486","1967"
"486","1968"
"486","1970"
"486","1971"
"486","1972"
"486","1973"
"486","1974"
"486","1975"
"486","1976"
"486","1977"
"486","1978"
"486","1979"
"486","1980"
"486","1981"
"486","1982"
"486","1983"
"486","1984"
"486","1985"
"486","1986"
"486","1987"
"486","1988"
"486","1989"
"486","1990"
"486","1991"
"486","1992"
"486","1993"
"486","1994"
"486","1995"
"486","1996"
"486","1997"
"486","1998"
"486","1999"
"486","2000"
"486","2001"
"486","2002"
"486","2003"
"486","2004"
"486","2005"
"486","2006"
"486","2007"
"486","2008"
"486","2009"
"486","2010"
"486","2011"
"486","2012"
"486","2013"
"486","2014"
"486","2015"
"486","2016"
"486","2017"
"486","2018"
"486","2019"
"486","2020"
"487","1967"
"487","1968"
"487","1970"
"487","1971"
"487","1972"
"487","1973"
"487","1974"
"487","1975"
"487","1976"
"487","1977"
"487","1978"
"487","1979"
"487","1980"
"487","1981"
"487","1982"
"487","1983"
"487","1984"
"487","1985"
"487","1986"
"487","1987"
"487","1988"
"487","1989"
"487","1990"
"487","1991"
"487","1992"
"487","1993"
"487","1994"
"487","1995"
"487","1996"
"487","1997"
"487","1998"
"487","1999"
"487","2000"
"487","2001"
"487","2002"
"487","2003"
"487","2004"
"487","2005"
"487","2006"
"487","2007"
"487","2008"
"487","2009"
"487","2010"
"487","2011"
"487","2012"
"487","2013"
"487","2014"
"487","2015"
"487","2016"
"487","2017"
"487","2018"
"487","2019"
"487","2020"
"566","1967"
"566","1968"
"566","1970"
"566","1971"
"566","1972"
"566","1973"
"566","1974"
"566","1975"
"566","1976"
"566","1977"
"566","1978"
"566","1979"
"566","1980"
"566","1981"
"566","1982"
"566","1983"
"566","1984"
"566","1985"
"566","1986"
"566","1987"
"566","1988"
"566","1989"
"566","1990"
"566","1991"
"566","1992"
"566","1993"
"566","1994"
"566","1995"
"566","1996"
"566","1997"
"566","1998"
"566","1999"
"566","2000"
"566","2001"
"566","2002"
"566","2003"
"566","2004"
"566","2005"
"566","2006"
"566","2007"
"566","2008"
"566","2009"
"566","2010"
"566","2011"
"566","2012"
"566","2013"
"566","2014"
"566","2015"
"566","2016"
"566","2017"
"566","2018"
"566","2019"
"566","2020"
"567","1967"
"567","1968"
"567","1970"
"567","1971"
