haul_id;year;cell
2005111/4/2005/4174/11-238-2651;2005;27445
2004210/4/2004/1019/10-412-2303;2004;27444
2007210/4/2007/1019/10-374-2301;2007;27444
2012111/4/2012/4174/11-342-2761;2012;27444
2008106/4/2008/4174/6-190-2712;2008;27359
2006211/4/2006/1019/11-535-2441;2006;27359
2005111/4/2005/4174/11-329-2742;2005;27359
2005111/4/2005/4174/11-241-2654;2005;27444
2019113/4/2019/4174/13-287-2592;2019;27359
2020111/4/2020/4174/11-186-2518;2020;27444
2019113/4/2019/4174/13-204-2509;2019;27444
2014212/4/2014/1019/12-417-2301;2014;27444
2016209/4/2016/1019/9-722-2396;2016;27444
2007210/4/2007/1019/10-376-2303;2007;27444
2013111/4/2013/4174/11-356-2780;2013;27444
2008703/4/2008/1173/3-402-2158;2008;27444
2018209/4/2018/1019/9-483-2208;2018;27444
2017209/4/2017/1019/9-263-2204;2017;27444
2006211/4/2006/1019/11-395-2301;2006;27444
2012111/4/2012/4174/11-344-2763;2012;27444
2015114/4/2015/4174/14-207-2601;2015;27444
2009109/4/2009/4174/9-135-2651;2009;27444
2005111/4/2005/4174/11-243-2656;2005;27444
2006211/4/2006/1019/11-534-2440;2006;27359
2013111/4/2013/4174/11-358-2782;2013;27443
2019113/4/2019/4174/13-202-2507;2019;27443
2020111/4/2020/4174/11-183-2515;2020;27443
2016209/4/2016/1019/9-724-2398;2016;27443
2018209/4/2018/1019/9-481-2206;2018;27443
2017209/4/2017/1019/9-261-2202;2017;27443
2008208/4/2008/1019/8-422-2400;2008;27443
2004210/4/2004/1019/10-606-2497;2004;27358
2009208/4/2009/1019/8-506-2528;2009;27438
2004210/4/2004/1019/10-609-2500;2004;27438
2004210/4/2004/1019/10-610-2501;2004;27438
2009208/4/2009/1019/8-504-2526;2009;27438
2009208/4/2009/1019/8-502-2524;2009;27438
2010111/4/2010/4174/11-134-2617;2010;27438
2005111/4/2005/4174/11-363-2776;2005;27438
2008106/4/2008/4174/6-183-2705;2008;27438
2007110/4/2007/4174/10-494-2822;2007;27438
2012111/4/2012/4174/11-329-2748;2012;27605
2015114/4/2015/4174/14-211-2605;2015;27604
2006211/4/2006/1019/11-402-2308;2006;27604
2018209/4/2018/1019/9-526-2251;2018;27604
2020111/4/2020/4174/11-229-2561;2020;27604
2011213/4/2011/1019/13-338-2312;2011;27605
2005111/4/2005/4174/11-247-2660;2005;27604
2017209/4/2017/1019/9-307-2248;2017;27604
2007210/4/2007/1019/10-391-2318;2007;27604
2012111/4/2012/4174/11-332-2751;2012;27604
2007210/4/2007/1019/10-392-2319;2007;27604
2018209/4/2018/1019/9-524-2249;2018;27604
2011213/4/2011/1019/13-335-2309;2011;27604
2015114/4/2015/4174/14-214-2608;2015;27604
2009109/4/2009/4174/9-146-2662;2009;27604
2014212/4/2014/1019/12-471-2355;2014;27604
2006211/4/2006/1019/11-403-2309;2006;27604
2016209/4/2016/1019/9-728-2402;2016;27604
2010210/4/2010/1019/10-392-2316;2010;27604
2017209/4/2017/1019/9-305-2246;2017;27604
2020111/4/2020/4174/11-227-2559;2020;27604
2019113/4/2019/4174/13-244-2549;2019;27604
2005111/4/2005/4174/11-272-2685;2005;27604
2004210/4/2004/1019/10-613-2504;2004;27518
2004210/4/2004/1019/10-421-2312;2004;27604
2004210/4/2004/1019/10-614-2505;2004;27518
2015114/4/2015/4174/14-285-2679;2015;27685
2006211/4/2006/1019/11-543-2449;2006;27518
2005111/4/2005/4174/11-361-2774;2005;27518
2009208/4/2009/1019/8-488-2510;2009;27518
2005111/4/2005/4174/11-365-2778;2005;27518
2010111/4/2010/4174/11-135-2618;2010;27518
2009208/4/2009/1019/8-490-2512;2009;27518
2010111/4/2010/4174/11-138-2621;2010;27518
2007110/4/2007/4174/10-444-2772;2007;27518
2011830/5/2011/2704/1-16-2616;2011;27518
2008106/4/2008/4174/6-167-2689;2008;27518
2011213/4/2011/1019/13-340-2314;2011;27685
2006211/4/2006/1019/11-546-2452;2006;27518
2007210/4/2007/1019/10-396-2323;2007;27685
2016209/4/2016/1019/9-717-2391;2016;27685
2008703/4/2008/1173/3-396-2152;2008;27685
2013111/4/2013/4174/11-346-2770;2013;27685
2019113/4/2019/4174/13-250-2555;2019;27685
2018209/4/2018/1019/9-531-2256;2018;27685
2020111/4/2020/4174/11-233-2565;2020;27685
2014212/4/2014/1019/12-425-2309;2014;27685
2017209/4/2017/1019/9-312-2253;2017;27685
2006211/4/2006/1019/11-407-2313;2006;27685
2004210/4/2004/1019/10-617-2508;2004;27598
2004210/4/2004/1019/10-425-2316;2004;27685
2004210/4/2004/1019/10-618-2509;2004;27517
2006211/4/2006/1019/11-551-2457;2006;27597
2008106/4/2008/4174/6-178-2700;2008;27597
2009208/4/2009/1019/8-486-2508;2009;27598
2007110/4/2007/4174/10-495-2823;2007;27598
2006211/4/2006/1019/11-550-2456;2006;27598
2015114/4/2015/4174/14-282-2676;2015;64
2006211/4/2006/1019/11-410-2316;2006;64
2011213/4/2011/1019/13-349-2323;2011;27765
2008703/4/2008/1173/3-394-2150;2008;27765
2014212/4/2014/1019/12-426-2310;2014;27765
2009109/4/2009/4174/9-163-2679;2009;27765
2006211/4/2006/1019/11-411-2317;2006;27765
2018209/4/2018/1019/9-570-2295;2018;27765
2011213/4/2011/1019/13-347-2321;2011;27765
2007210/4/2007/1019/10-403-2330;2007;27765
2020209/4/2020/1019/9-678-2207;2020;27765
2019209/4/2019/1019/9-498-2204;2019;27765
2012111/4/2012/4174/11-322-2741;2012;27765
2017209/4/2017/1019/9-351-2292;2017;27765
2005111/4/2005/4174/11-255-2668;2005;27765
2016209/4/2016/1019/9-714-2388;2016;27765
2004210/4/2004/1019/10-437-2328;2004;27765
2004210/4/2004/1019/10-429-2320;2004;27765
2005111/4/2005/4174/11-357-2770;2005;27598
2004210/4/2004/1019/10-621-2512;2004;27598
2004210/4/2004/1019/10-622-2513;2004;27597
2006211/4/2006/1019/11-523-2429;2006;27680
2006211/4/2006/1019/11-557-2463;2006;27679
2006211/4/2006/1019/11-489-2395;2006;27680
2007110/4/2007/4174/10-428-2756;2007;27680
2005111/4/2005/4174/11-347-2760;2005;27680
2005111/4/2005/4174/11-356-2769;2005;27679
2004210/4/2004/1019/10-522-2413;2004;27598
2005111/4/2005/4174/11-350-2763;2005;27680
2007110/4/2007/4174/10-497-2825;2007;27677
2009208/4/2009/1019/8-465-2487;2009;27677
2012111/4/2012/4174/11-228-2647;2012;27677
2011830/5/2011/2704/1-83-2683;2011;27677
2013111/4/2013/4174/11-204-2628;2013;27677
2006113/4/2006/4174/13-371-2753;2006;27677
2005111/4/2005/4174/11-372-2785;2005;27677
2014212/4/2014/1019/12-549-2433;2014;27677
2010111/4/2010/4174/11-162-2645;2010;27677
2013111/4/2013/4174/11-202-2626;2013;27597
2011830/5/2011/2704/1-81-2681;2011;27597
2005111/4/2005/4174/11-370-2783;2005;27597
2015114/4/2015/4174/14-281-2675;2015;63
2015210/4/2015/1019/10-482-2330;2015;27679
2018209/4/2018/1019/9-552-2277;2018;27679
2006211/4/2006/1019/11-520-2426;2006;27680
2016209/4/2016/1019/9-640-2314;2016;27679
2019113/4/2019/4174/13-270-2575;2019;27679
2017209/4/2017/1019/9-332-2273;2017;27679
2005111/4/2005/4174/11-349-2762;2005;27680
2005111/4/2005/4174/11-313-2726;2005;27680
2012111/4/2012/4174/11-214-2633;2012;27679
2005111/4/2005/4174/11-352-2765;2005;27680
2011213/4/2011/1019/13-351-2325;2011;63
2013111/4/2013/4174/11-239-2663;2013;27680
2014212/4/2014/1019/12-534-2418;2014;27679
2007110/4/2007/4174/10-449-2777;2007;27680
2010111/4/2010/4174/11-168-2651;2010;27679
2020111/4/2020/4174/11-253-2585;2020;27679
2014212/4/2014/1019/12-514-2398;2014;27680
2006211/4/2006/1019/11-487-2393;2006;27680
2009208/4/2009/1019/8-470-2492;2009;27679
2013111/4/2013/4174/11-188-2612;2013;27679
2019113/4/2019/4174/13-274-2579;2019;27680
2017209/4/2017/1019/9-336-2277;2017;27680
2007110/4/2007/4174/10-452-2780;2007;27679
2018209/4/2018/1019/9-554-2279;2018;27680
2019113/4/2019/4174/13-272-2577;2019;27679
2020209/4/2020/1019/9-695-2224;2020;27679
2017209/4/2017/1019/9-334-2275;2017;27679
2012111/4/2012/4174/11-215-2634;2012;27679
2006211/4/2006/1019/11-558-2464;2006;27679
2011830/5/2011/2704/1-50-2650;2011;27680
2016209/4/2016/1019/9-637-2311;2016;27679
2018209/4/2018/1019/9-556-2281;2018;27680
2015210/4/2015/1019/10-484-2332;2015;27679
2008106/4/2008/4174/6-320-2842;2008;27680
2013111/4/2013/4174/11-190-2614;2013;27679
2009208/4/2009/1019/8-472-2494;2009;27680
2020209/4/2020/1019/9-693-2222;2020;27680
2015114/4/2015/4174/14-230-2624;2015;27680
2007110/4/2007/4174/10-426-2754;2007;27680
2006211/4/2006/1019/11-490-2396;2006;27680
2014212/4/2014/1019/12-536-2420;2014;27679
2013111/4/2013/4174/11-338-2762;2013;27765
2007210/4/2007/1019/10-408-2335;2007;27765
2014212/4/2014/1019/12-428-2312;2014;27765
2020209/4/2020/1019/9-714-2243;2020;27765
2005111/4/2005/4174/11-257-2670;2005;27765
2018209/4/2018/1019/9-574-2299;2018;27765
