haul_id;year;cell
PT-IBTS 2017 4 PT 68NA NCT 978 19;2017;9152
PT-IBTS 2018 4 PT 68NA NCT 60 50;2018;9153
PT-IBTS 2016 4 PT 68NA NCT 1018 48;2016;9152
PT-IBTS 2018 4 PT 68NA NCT 930 49;2018;9153
PT-IBTS 2018 4 PT 68NA NCT 62 48;2018;9153
PT-IBTS 2018 4 PT 68NA NCT 66 42;2018;9154
PT-IBTS 2018 4 PT 68NA NCT 64 45;2018;9154
PT-IBTS 2018 4 PT 68NA NCT 925 46;2018;9153
PT-IBTS 2018 4 PT 68NA NCT 65 43;2018;9154
PT-IBTS 2018 4 PT 68NA NCT 61 47;2018;9153
PT-IBTS 2018 4 PT 68NA NCT 59 51;2018;9153
PT-IBTS 2018 4 PT 68NA NCT 63 44;2018;9154
PT-IBTS 2016 4 PT 68NA NCT 939 77;2016;8989
PT-IBTS 2005 4 PT 68NA NCT 939 44;2005;8989
PT-IBTS 2006 4 PT 68NA NCT 939 42;2006;8989
PT-IBTS 2010 4 PT 68NA NCT 939 45;2010;8989
PT-IBTS 2007 4 PT 68NA NCT 939 7;2007;8989
PT-IBTS 2002 4 PT 68NA NCT 49 54;2002;8989
PT-IBTS 2014 4 PT 68NA NCT 939 38;2014;8989
PT-IBTS 2013 4 PT 68NA NCT 939 44;2013;8989
PT-IBTS 2015 4 PT 68NA NCT 939 91;2015;8989
PT-IBTS 2008 4 PT 68NA NCT 939 31;2008;8989
PT-IBTS 2002 4 PT 68NA NCT 48 55;2002;8989
PT-IBTS 2018 4 PT 68NA NCT 1002 40;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 33 39;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 31 41;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 27 38;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 29 37;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 28 4;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 995 34;2018;8745
PT-IBTS 2018 4 PT 68NA NCT 25 36;2018;8827
PT-IBTS 2018 4 PT 68NA NCT 26 35;2018;8745
PT-IBTS 2018 4 PT 68NA NCT 24 3;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 23 2;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 20 32;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 990 30;2018;8745
PT-IBTS 2018 4 PT 68NA NCT 19 33;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 22 31;2018;8745
PT-IBTS 2018 4 PT 68NA NCT 21 25;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 982 29;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 16 28;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 18 26;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 17 27;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 14 23;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 15 22;2018;8664
PT-IBTS 2018 4 PT 68NA NCT 12 24;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 13 20;2018;8746
PT-IBTS 2018 4 PT 68NA NCT 981 19;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 979 21;2018;8664
PT-IBTS 2018 4 PT 68NA NCT 10 17;2018;8664
PT-IBTS 2018 4 PT 68NA NCT 9 16;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 11 18;2018;8664
PT-IBTS 2018 4 PT 68NA NCT 8 15;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 7 12;2018;8664
PT-IBTS 2018 4 PT 68NA NCT 6 13;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 5 14;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 974 11;2018;8665
PT-IBTS 2018 4 PT 68NA NCT 4 9;2018;8583
PT-IBTS 2018 4 PT 68NA NCT 3 8;2018;8583
PT-IBTS 2018 4 PT 68NA NCT 2 7;2018;8583
PT-IBTS 2018 4 PT 68NA NCT 1 5;2018;8583
PT-IBTS 2018 4 PT 68NA NCT 970 6;2018;8583
