"cell","year"
"6790","2002"
"6871","2002"
"6872","2002"
"6951","1999"
"6951","2001"
"6951","2002"
"6951","2003"
"6951","2005"
"6951","2006"
"6951","2007"
"6951","2008"
"6951","2009"
"6951","2011"
"6951","2012"
"6951","2013"
"6951","2014"
"6951","2015"
"6951","2016"
"6951","2017"
"6951","2018"
"6951","2019"
"6951","2020"
"6952","2002"
"6953","2002"
"7033","1999"
"7033","2001"
"7033","2002"
"7033","2003"
"7033","2005"
"7033","2006"
"7033","2007"
"7033","2008"
"7033","2009"
"7033","2011"
"7033","2012"
"7033","2013"
"7033","2014"
"7033","2015"
"7033","2016"
"7033","2017"
"7033","2018"
"7033","2019"
"7033","2020"
"7034","1999"
"7034","2001"
"7034","2002"
"7034","2003"
"7034","2005"
"7034","2006"
"7034","2007"
"7034","2008"
"7034","2009"
"7034","2011"
"7034","2012"
"7034","2013"
"7034","2014"
"7034","2015"
"7034","2016"
"7034","2017"
"7034","2018"
"7034","2019"
"7034","2020"
