haul_id;year;cell
SCOROC 2011 3 GB-SCT 748S GOV 422 26;2011;7033
SCOROC 2016 3 GB-SCT 748S GOV 363 363;2016;7033
SCOROC 2014 3 GB-SCT 748S GOV 328 328;2014;7033
SCOROC 2018 3 GB-SCT 748S GOV 340 340;2018;7033
SCOROC 2012 3 GB-SCT 748S GOV 429 27;2012;7033
SCOROC 2016 3 GB-SCT 748S GOV 362 362;2016;7033
SCOROC 2019 3 GB-SCT 748S GOV 302 302;2019;7033
SCOROC 2013 3 GB-SCT 748S GOV 310 310;2013;7033
SCOROC 2015 3 GB-SCT 748S GOV 343 343;2015;7033
SCOROC 2015 3 GB-SCT 748S GOV 345 345;2015;7034
SCOROC 2017 3 GB-SCT 748S GOV 290 290;2017;7034
SCOROC 2020 3 GB-SCT 748S GOV 289 289;2020;7034
SCOROC 2018 3 GB-SCT 748S GOV 341 341;2018;7033
SCOROC 2015 3 GB-SCT 748S GOV 344 344;2015;7033
SCOROC 2020 3 GB-SCT 748S GOV 290 290;2020;7033
SCOROC 2014 3 GB-SCT 748S GOV 329 329;2014;7033
SCOROC 2016 3 GB-SCT 748S GOV 361 361;2016;7033
SCOROC 2011 3 GB-SCT 748S GOV 421 25;2011;6951
SCOROC 2018 3 GB-SCT 748S GOV 339 339;2018;6951
ROCKALL 2002 3 GB-SCT 748S GOV 438 18;2002;6953
ROCKALL 2002 3 GB-SCT 748S GOV 437 17;2002;6953
ROCKALL 2002 3 GB-SCT 748S GOV 435 15;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 436 16;2002;6953
ROCKALL 2002 3 GB-SCT 748S GOV 434 14;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 439 19;2002;6953
ROCKALL 2002 3 GB-SCT 748S GOV 433 13;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 442 22;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 440 20;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 432 12;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 441 21;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 443 23;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 444 24;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 431 11;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 430 10;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 445 25;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 429 9;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 447 27;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 446 26;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 448 28;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 449 29;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 428 8;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 427 7;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 426 6;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 425 5;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 450 30;2002;6872
ROCKALL 2002 3 GB-SCT 748S GOV 424 4;2002;6871
ROCKALL 2002 3 GB-SCT 748S GOV 422 2;2002;6790
ROCKALL 2002 3 GB-SCT 748S GOV 421 1;2002;6790
