"cell","year"
"4780","1978"
"4780","1979"
"4780","1980"
"4780","1981"
"4780","1982"
"4780","1983"
"4780","1984"
"4780","1986"
"4860","1978"
"4860","1979"
"4860","1980"
"4860","1981"
"4860","1982"
"4860","1983"
"4860","1984"
"4860","1986"
"4861","1978"
"4861","1986"
"4942","1978"
"4942","1986"
"5023","1978"
"5023","1986"
"6581","1978"
"6581","1979"
"6581","1980"
"6581","1981"
"6581","1982"
"6581","1983"
"6581","1984"
"6581","1986"
"6582","1978"
"6582","1986"
"6583","1978"
"6583","1986"
"6663","1978"
"6663","1979"
"6663","1980"
"6663","1981"
"6663","1982"
"6663","1983"
"6663","1984"
"6663","1986"
"6664","1978"
"6664","1986"
"6665","1978"
"6665","1986"
"6666","1978"
"6666","1986"
"6667","1978"
"6667","1979"
"6667","1980"
"6667","1981"
"6667","1982"
"6667","1983"
"6667","1984"
"6667","1986"
"6668","1978"
"6668","1979"
"6668","1980"
"6668","1981"
"6668","1982"
"6668","1983"
"6668","1984"
"6668","1986"
"6671","1978"
"6671","1979"
"6671","1980"
"6671","1981"
"6671","1982"
"6671","1983"
"6671","1984"
"6671","1986"
"6672","1978"
"6672","1979"
"6672","1980"
"6672","1981"
"6672","1982"
"6672","1983"
"6672","1984"
"6672","1986"
"6745","1978"
"6745","1979"
"6745","1980"
"6745","1981"
"6745","1982"
"6745","1983"
"6745","1984"
"6745","1986"
"6746","1978"
"6746","1986"
"6747","1978"
"6747","1986"
"6748","1978"
"6748","1986"
"6749","1978"
"6749","1986"
"6750","1978"
"6750","1979"
"6750","1980"
"6750","1981"
"6750","1982"
"6750","1983"
"6750","1984"
"6750","1986"
"6751","1978"
"6751","1979"
"6751","1980"
"6751","1981"
"6751","1982"
"6751","1983"
"6751","1984"
"6751","1986"
"6752","1978"
"6752","1979"
"6752","1980"
"6752","1981"
"6752","1982"
"6752","1983"
"6752","1984"
"6752","1986"
"6753","1978"
"6753","1986"
"6829","1978"
"6829","1986"
"6830","1978"
"6830","1986"
"6831","1978"
"6831","1986"
"6832","1978"
"6832","1986"
"6833","1978"
"6833","1986"
"6834","1978"
"6834","1986"
"6835","1978"
"6835","1986"
"6912","1978"
"6912","1979"
"6912","1980"
"6912","1981"
"6912","1982"
"6912","1983"
"6912","1984"
"6912","1986"
"6913","1978"
"6913","1986"
"6914","1978"
"6914","1986"
"6915","1978"
"6915","1986"
"6916","1978"
"6916","1986"
"6996","1978"
"6996","1979"
"6996","1980"
"6996","1981"
"6996","1982"
"6996","1983"
"6996","1984"
"6996","1986"
"6997","1978"
"6997","1979"
"6997","1980"
"6997","1981"
"6997","1982"
"6997","1983"
"6997","1984"
"6997","1986"
