"cell","year"
"4780","1979"
"4780","1980"
"4780","1981"
"4780","1982"
"4780","1983"
"4780","1984"
"4780","1985"
"4780","1986"
"4780","1987"
"4780","1988"
"4780","1989"
"4780","1990"
"4780","1991"
"4780","1992"
"4780","1993"
"4780","1994"
"4780","1995"
"4780","1996"
"4780","1997"
"4780","1998"
"4780","1999"
"4780","2000"
"4780","2001"
"4780","2002"
"4780","2003"
"4780","2004"
"4780","2005"
"4780","2006"
"4780","2007"
"4780","2008"
"4780","2009"
"4780","2010"
"4780","2011"
"4780","2012"
"4780","2013"
"4780","2014"
"4780","2015"
"4780","2016"
"4780","2017"
"4780","2018"
"4780","2019"
"4780","2020"
"4860","1979"
"4860","1980"
"4860","1981"
"4860","1982"
"4860","1983"
"4860","1984"
"4860","1985"
"4860","1986"
"4860","1987"
"4860","1988"
"4860","1989"
"4860","1990"
"4860","1991"
"4860","1992"
"4860","1993"
"4860","1994"
"4860","1995"
"4860","1996"
"4860","1997"
"4860","1998"
"4860","1999"
"4860","2000"
"4860","2001"
"4860","2002"
"4860","2003"
"4860","2004"
"4860","2005"
"4860","2006"
"4860","2007"
"4860","2008"
"4860","2009"
"4860","2010"
"4860","2011"
"4860","2012"
"4860","2013"
"4860","2014"
"4860","2015"
"4860","2016"
"4860","2017"
"4860","2018"
"4860","2019"
"4860","2020"
"4861","1979"
"4861","1980"
"4861","1981"
"4861","1982"
"4861","1983"
"4861","1984"
"4861","1985"
"4861","1986"
"4861","1987"
"4861","1988"
"4861","1989"
"4861","1990"
"4861","1991"
"4861","1992"
"4861","1993"
"4861","1994"
"4861","1995"
"4861","1996"
"4861","1997"
"4861","1998"
"4861","1999"
"4861","2000"
"4861","2001"
"4861","2002"
"4861","2003"
"4861","2004"
"4861","2005"
"4861","2006"
"4861","2007"
"4861","2008"
"4861","2009"
"4861","2010"
"4861","2011"
"4861","2012"
"4861","2013"
"4861","2014"
"4861","2015"
"4861","2016"
"4861","2017"
"4861","2018"
"4861","2019"
"4861","2020"
"4942","1979"
"4942","1980"
"4942","1981"
"4942","1982"
"4942","1983"
"4942","1984"
"4942","1985"
"4942","1986"
"4942","1987"
"4942","1988"
"4942","1989"
"4942","1990"
"4942","1991"
"4942","1992"
"4942","1993"
"4942","1994"
"4942","1995"
"4942","1996"
"4942","1997"
"4942","1998"
"4942","1999"
"4942","2000"
"4942","2001"
"4942","2002"
"4942","2003"
"4942","2004"
"4942","2005"
"4942","2006"
"4942","2007"
"4942","2008"
"4942","2009"
"4942","2010"
"4942","2011"
"4942","2012"
"4942","2013"
"4942","2014"
"4942","2015"
"4942","2016"
"4942","2017"
"4942","2018"
"4942","2019"
"4942","2020"
"5023","1979"
"5023","1980"
"5023","1981"
"5023","1982"
"5023","1983"
"5023","1984"
"5023","1985"
"5023","1986"
"5023","1987"
"5023","1988"
"5023","1989"
"5023","1990"
