"cell","year"
"9235","2002"
"9235","2003"
"9235","2004"
"9235","2006"
"9235","2007"
"9235","2008"
"9235","2009"
"9235","2010"
"9235","2011"
"9235","2012"
"9235","2013"
"9235","2014"
"9235","2015"
"9235","2016"
"9235","2017"
"9235","2018"
"9235","2019"
"9235","2020"
"13172","2002"
"13172","2003"
"13172","2004"
"13172","2006"
"13172","2007"
"13172","2008"
"13172","2009"
"13172","2010"
"13172","2011"
"13172","2012"
"13172","2013"
"13172","2014"
"13172","2015"
"13172","2016"
"13172","2017"
"13172","2018"
"13172","2019"
"13172","2020"
