haul_id;year;cell
SP-ARSA 2010 4 ES 29CS BAK 13 37;2010;13172
SP-ARSA 2007 4 ES 29CS BAK 137 18;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 133 19;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 130 20;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 122 21;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 51 17;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 117 41;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 49 25;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 96 10;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 115 40;2007;9235
SP-ARSA 2013 4 ES 29MO BAK 117 20;2013;9235
SP-ARSA 2007 4 ES 29CS BAK 114 9;2007;13173
SP-ARSA 2020 4 ES 29MO BAK 110 13;2020;9235
SP-ARSA 2011 4 ES 29CS BAK 110 29;2011;9235
SP-ARSA 2014 4 ES 29MO BAK 110 28;2014;9235
SP-ARSA 2007 4 ES 29CS BAK 67 22;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 45 24;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 104 39;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 42 23;2007;13173
SP-ARSA 2017 4 ES 29MO BAK 103 25;2017;9235
SP-ARSA 2007 4 ES 29CS BAK 81 11;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 63 12;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 37 16;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 36 15;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 9 1;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 8 2;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 82 13;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 59 14;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 6 3;2007;13173
SP-ARSA 2007 4 ES 29CS BAK 77 36;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 57 37;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 76 35;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 27 7;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 75 30;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 29 5;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 58 6;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 72 29;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 24 8;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 53 34;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 16 33;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 1 4;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 13 27;2007;9154
SP-ARSA 2007 4 ES 29CS BAK 14 26;2007;9154
