haul_id;year;cell
SP-NORTH 2017 4 ES 29MO BAK 2 2;2017;8583
SP-NORTH 2016 4 ES 29MO BAK 2 2;2016;8583
SP-NORTH 2016 4 ES 29MO BAK 3 3;2016;8583
SP-NORTH 2016 4 ES 29MO BAK 1 1;2016;8583
SP-NORTH 2017 4 ES 29MO BAK 1 1;2017;8583
SP-NORTH 2017 4 ES 29MO BAK 8 8;2017;8583
SP-NORTH 2016 4 ES 29MO BAK 12 12;2016;8583
SP-NORTH 2017 4 ES 29MO BAK 31 31;2017;8420
SP-NORTH 2017 4 ES 29MO BAK 117 117;2017;13183
SP-NORTH 2016 4 ES 29MO BAK 131 131;2016;13183
SP-NORTH 2017 4 ES 29MO BAK 118 118;2017;13183
SP-NORTH 2016 4 ES 29MO BAK 112 112;2016;8424
SP-NORTH 2016 4 ES 29MO BAK 107 107;2016;8425
SP-NORTH 2016 4 ES 29MO BAK 115 115;2016;8425
SP-NORTH 2017 4 ES 29MO BAK 136 136;2017;8425
SP-NORTH 2017 4 ES 29MO BAK 132 132;2017;8424
SP-NORTH 2016 4 ES 29MO BAK 126 126;2016;13183
SP-NORTH 2016 4 ES 29MO BAK 94 94;2016;8423
SP-NORTH 2017 4 ES 29MO BAK 95 95;2017;8423
SP-NORTH 2017 4 ES 29MO BAK 88 88;2017;8423
SP-NORTH 2016 4 ES 29MO BAK 105 105;2016;8424
SP-NORTH 2004 4 ES 29CS BAK 86 86;2004;8342
SP-NORTH 1990 4 ES 29CS BAK 83 83;1990;8342
SP-NORTH 1998 4 ES 29CS BAK 84 84;1998;8342
SP-NORTH 1992 4 ES 29CS BAK 96 96;1992;8342
SP-NORTH 2017 4 ES 29MO BAK 90 90;2017;8423
SP-NORTH 1993 4 ES 29CS BAK 73 73;1993;8342
SP-NORTH 1991 4 ES 29CS BAK 78 78;1991;8342
SP-NORTH 1990 4 ES 29CS BAK 78 78;1990;8342
SP-NORTH 2000 4 ES 29CS BAK 86 86;2000;8342
SP-NORTH 1992 4 ES 29CS BAK 97 97;1992;8342
SP-NORTH 1991 4 ES 29CS BAK 38 38;1991;8339
SP-NORTH 2003 4 ES 29CS BAK 88 88;2003;8342
SP-NORTH 2011 4 ES 29CS BAK 94 94;2011;8342
SP-NORTH 1995 4 ES 29CS BAK 82 82;1995;8342
SP-NORTH 2019 4 ES 29MO BAK 89 89;2019;8342
SP-NORTH 2007 4 ES 29CS BAK 86 86;2007;8342
SP-NORTH 1994 4 ES 29CS BAK 86 86;1994;8342
SP-NORTH 2009 4 ES 29CS BAK 118 118;2009;8342
SP-NORTH 2012 4 ES 29CS BAK 89 89;2012;8342
SP-NORTH 1992 4 ES 29CS BAK 92 92;1992;8342
SP-NORTH 2001 4 ES 29CS BAK 91 91;2001;8342
SP-NORTH 2010 3 ES 29CS BAK NA 57;2010;8339
SP-NORTH 2008 3 ES 29CS BAK NA 49;2008;8339
SP-NORTH 2008 4 ES 29CS BAK 49 49;2008;8339
SP-NORTH 2005 3 ES 29CS BAK NA 41;2005;8339
SP-NORTH 1994 4 ES 29CS BAK 85 85;1994;8342
SP-NORTH 1992 4 ES 29CS BAK 98 98;1992;8342
SP-NORTH 1996 4 ES 29CS BAK 37 37;1996;8339
SP-NORTH 1999 4 ES 29CS BAK 90 90;1999;8342
SP-NORTH 1990 4 ES 29CS BAK 77 77;1990;8342
SP-NORTH 2002 4 ES 29CS BAK 32 32;2002;8339
SP-NORTH 1995 4 ES 29CS BAK 74 74;1995;8342
SP-NORTH 1995 4 ES 29CS BAK 42 42;1995;8339
SP-NORTH 2012 4 ES 29CS BAK 86 86;2012;8342
SP-NORTH 2019 4 ES 29MO BAK 87 87;2019;8342
SP-NORTH 2014 4 ES 29MO BAK 91 91;2014;8342
SP-NORTH 2000 4 ES 29CS BAK 83 83;2000;8342
SP-NORTH 2003 4 ES 29CS BAK 87 87;2003;8342
SP-NORTH 1996 4 ES 29CS BAK 82 82;1996;8342
SP-NORTH 2001 4 ES 29CS BAK 81 81;2001;8342
SP-NORTH 2009 4 ES 29CS BAK 103 103;2009;8342
SP-NORTH 2005 4 ES 29CS BAK 87 87;2005;8342
SP-NORTH 1995 4 ES 29CS BAK 81 81;1995;8342
SP-NORTH 1998 4 ES 29CS BAK 83 83;1998;8342
SP-NORTH 2015 4 ES 29MO BAK 43 43;2015;8339
SP-NORTH 2019 4 ES 29MO BAK 47 47;2019;8339
SP-NORTH 1991 4 ES 29CS BAK 39 39;1991;8339
SP-NORTH 1996 4 ES 29CS BAK 38 38;1996;8339
SP-NORTH 2003 4 ES 29CS BAK 36 36;2003;8339
SP-NORTH 2000 4 ES 29CS BAK 29 29;2000;8339
SP-NORTH 2005 3 ES 29CS BAK NA 36;2005;8339
SP-NORTH 2007 4 ES 29CS BAK 39 39;2007;8339
SP-NORTH 2008 4 ES 29CS BAK 61 61;2008;8339
SP-NORTH 2010 3 ES 29CS BAK NA 39;2010;8339
SP-NORTH 2019 4 ES 29MO BAK 45 45;2019;8339
SP-NORTH 2009 4 ES 29CS BAK 43 43;2009;8339
