haul_id;year;cell
SP-PORC 2004 3 ES 29VE PORB 558 1;2004;7523
SP-PORC 2013 3 ES 29VE PORB 556 89;2013;7523
SP-PORC 2013 3 ES 29VE PORB 553 88;2013;7522
SP-PORC 2010 3 ES 29VE PORB 549 2;2010;7523
SP-PORC 2004 3 ES 29VE PORB 549 2;2004;7523
SP-PORC 2010 3 ES 29VE PORB 547 3;2010;7523
SP-PORC 2010 3 ES 29VE PORB 551 1;2010;7523
SP-PORC 2013 3 ES 29VE PORB 307 1;2013;7522
SP-PORC 2004 3 ES 29VE PORB 306 5;2004;7522
SP-PORC 2004 3 ES 29VE PORB 542 3;2004;7523
SP-PORC 2013 3 ES 29VE PORB 543 85;2013;7523
SP-PORC 2004 3 ES 29VE PORB 534 4;2004;7441
SP-PORC 2010 3 ES 29VE PORB 539 88;2010;7523
SP-PORC 2013 3 ES 29VE PORB 535 84;2013;7441
SP-PORC 2004 3 ES 29VE PORB 301 6;2004;7522
SP-PORC 2013 3 ES 29VE PORB 301 2;2013;7522
SP-PORC 2010 3 ES 29VE PORB 527 49;2010;7441
SP-PORC 2010 3 ES 29VE PORB 530 51;2010;7441
SP-PORC 2004 3 ES 29VE PORB 532 9;2004;7523
SP-PORC 2004 3 ES 29VE PORB 530 8;2004;7441
SP-PORC 2010 3 ES 29VE PORB 297 46;2010;7441
SP-PORC 2004 3 ES 29VE PORB 297 62;2004;7441
SP-PORC 2004 3 ES 29VE PORB 522 7;2004;7441
SP-PORC 2013 3 ES 29VE PORB 523 86;2013;7441
SP-PORC 2004 3 ES 29VE PORB 525 10;2004;7523
SP-PORC 2010 3 ES 29VE PORB 526 87;2010;7442
SP-PORC 2013 3 ES 29VE PORB 525 83;2013;7441
SP-PORC 2013 3 ES 29VE PORB 424 87;2013;7441
SP-PORC 2013 3 ES 29VE PORB 294 3;2013;7441
SP-PORC 2010 3 ES 29VE PORB 423 52;2010;7441
SP-PORC 2010 3 ES 29VE PORB 421 47;2010;7441
SP-PORC 2010 3 ES 29VE PORB 296 48;2010;7441
SP-PORC 2004 3 ES 29VE PORB 419 11;2004;7441
SP-PORC 2010 3 ES 29VE PORB 292 45;2010;7441
SP-PORC 2013 3 ES 29VE PORB 416 17;2013;7441
SP-PORC 2004 3 ES 29VE PORB 417 12;2004;7441
SP-PORC 2013 3 ES 29VE PORB 517 82;2013;7442
SP-PORC 2010 3 ES 29VE PORB 414 53;2010;7441
SP-PORC 2004 3 ES 29VE PORB 412 13;2004;7441
SP-PORC 2004 3 ES 29VE PORB 290 60;2004;7441
SP-PORC 2013 3 ES 29VE PORB 412 16;2013;7441
SP-PORC 2004 3 ES 29VE PORB 512 68;2004;7442
SP-PORC 2004 4 ES 29VE PORB 512 68;2004;7442
SP-PORC 2010 3 ES 29VE PORB 513 86;2010;7442
SP-PORC 2013 3 ES 29VE PORB 403 18;2013;7441
SP-PORC 2013 3 ES 29VE PORB 288 4;2013;7441
SP-PORC 2010 3 ES 29VE PORB 405 85;2010;7441
SP-PORC 2010 3 ES 29VE PORB 288 44;2010;7441
SP-PORC 2004 3 ES 29VE PORB 511 69;2004;7442
SP-PORC 2004 4 ES 29VE PORB 510 69;2004;7442
SP-PORC 2013 3 ES 29VE PORB 508 81;2013;7441
SP-PORC 2004 3 ES 29VE PORB 398 58;2004;7441
SP-PORC 2013 3 ES 29VE PORB 398 15;2013;7441
SP-PORC 2004 3 ES 29VE PORB 395 59;2004;7441
SP-PORC 2013 3 ES 29VE PORB 507 80;2013;7442
SP-PORC 2010 3 ES 29VE PORB 501 55;2010;7442
SP-PORC 2010 3 ES 29VE PORB 284 43;2010;7441
SP-PORC 2010 3 ES 29VE PORB 388 84;2010;7441
SP-PORC 2004 4 ES 29VE PORB 502 70;2004;7442
SP-PORC 2004 3 ES 29VE PORB 502 70;2004;7442
SP-PORC 2010 3 ES 29VE PORB 503 59;2010;7443
SP-PORC 2013 3 ES 29VE PORB 393 13;2013;7441
SP-PORC 2013 3 ES 29VE PORB 383 10;2013;7441
SP-PORC 2004 3 ES 29VE PORB 492 67;2004;7442
SP-PORC 2004 3 ES 29VE PORB 383 63;2004;7441
SP-PORC 2004 3 ES 29VE PORB 386 66;2004;7360
SP-PORC 2013 3 ES 29VE PORB 498 68;2013;7443
SP-PORC 2013 3 ES 29VE PORB 494 73;2013;7442
SP-PORC 2004 3 ES 29VE PORB 372 57;2004;7441
SP-PORC 2010 3 ES 29VE PORB 371 83;2010;7441
SP-PORC 2010 3 ES 29VE PORB 487 58;2010;7442
SP-PORC 2010 3 ES 29VE PORB 489 60;2010;7443
SP-PORC 2010 3 ES 29VE PORB 484 56;2010;7442
SP-PORC 2013 3 ES 29VE PORB 483 74;2013;7442
SP-PORC 2010 3 ES 29VE PORB 373 82;2010;7441
SP-PORC 2013 3 ES 29VE PORB 487 72;2013;7442
SP-PORC 2013 3 ES 29VE PORB 365 11;2013;7360
SP-PORC 2004 3 ES 29VE PORB 364 64;2004;7441
SP-PORC 2013 3 ES 29VE PORB 362 5;2013;7441
SP-PORC 2010 3 ES 29VE PORB 365 81;2010;7360
SP-PORC 2004 3 ES 29VE PORB 474 73;2004;7442
SP-PORC 2004 4 ES 29VE PORB 474 73;2004;7442
SP-PORC 2010 3 ES 29VE PORB 368 78;2010;7360
SP-PORC 2004 3 ES 29VE PORB 481 76;2004;7361
SP-PORC 2004 4 ES 29VE PORB 481 76;2004;7361
SP-PORC 2013 3 ES 29VE PORB 367 12;2013;7360
SP-PORC 2013 3 ES 29VE PORB 480 69;2013;7361
SP-PORC 2004 3 ES 29VE PORB 477 74;2004;7361
SP-PORC 2004 4 ES 29VE PORB 477 74;2004;7361
SP-PORC 2010 3 ES 29VE PORB 352 74;2010;7441
SP-PORC 2013 3 ES 29VE PORB 462 75;2013;7360
SP-PORC 2010 3 ES 29VE PORB 462 57;2010;7360
SP-PORC 2004 3 ES 29VE PORB 357 65;2004;7360
SP-PORC 2010 3 ES 29VE PORB 468 61;2010;7361
SP-PORC 2013 3 ES 29VE PORB 279 28;2013;7359
SP-PORC 2010 3 ES 29VE PORB 364 79;2010;7360
SP-PORC 2013 3 ES 29VE PORB 340 6;2013;7359
SP-PORC 2010 3 ES 29VE PORB 339 75;2010;7359
SP-PORC 2013 3 ES 29VE PORB 342 7;2013;7360
SP-PORC 2013 3 ES 29VE PORB 345 19;2013;7360
SP-PORC 2004 3 ES 29VE PORB 340 52;2004;7359
SP-PORC 2013 3 ES 29VE PORB 457 70;2013;7361
SP-PORC 2010 3 ES 29VE PORB 344 80;2010;7360
SP-PORC 2004 3 ES 29VE PORB 344 51;2004;7360
SP-PORC 2013 3 ES 29VE PORB 245 40;2013;7361
SP-PORC 2013 3 ES 29VE PORB 336 20;2013;7360
SP-PORC 2004 4 ES 29VE PORB 451 75;2004;7361
SP-PORC 2004 3 ES 29VE PORB 451 75;2004;7361
SP-PORC 2010 3 ES 29VE PORB 450 62;2010;7361
SP-PORC 2013 3 ES 29VE PORB 445 71;2013;7360
SP-PORC 2004 3 ES 29VE PORB 446 72;2004;7361
SP-PORC 2004 4 ES 29VE PORB 446 72;2004;7361
SP-PORC 2004 3 ES 29VE PORB 335 50;2004;7360
SP-PORC 2013 3 ES 29VE PORB 432 41;2013;7361
SP-PORC 2010 3 ES 29VE PORB 448 69;2010;7361
SP-PORC 2010 3 ES 29VE PORB 452 66;2010;7361
SP-PORC 2010 3 ES 29VE PORB 326 71;2010;7360
SP-PORC 2004 3 ES 29VE PORB 275 54;2004;7359
SP-PORC 2010 3 ES 29VE PORB 274 39;2010;7359
SP-PORC 2010 3 ES 29VE PORB 323 70;2010;7360
SP-PORC 2010 3 ES 29VE PORB 318 76;2010;7359
SP-PORC 2004 3 ES 29VE PORB 325 49;2004;7360
SP-PORC 2013 3 ES 29VE PORB 110 35;2013;7360
SP-PORC 2013 3 ES 29VE PORB 320 8;2013;7360
SP-PORC 2010 3 ES 29VE PORB 110 38;2010;7360
SP-PORC 2004 3 ES 29VE PORB 242 26;2004;7361
SP-PORC 2013 3 ES 29VE PORB 309 29;2013;7359
SP-PORC 2013 3 ES 29VE PORB 109 22;2013;7360
SP-PORC 2013 3 ES 29VE PORB 315 21;2013;7360
SP-PORC 2004 3 ES 29VE PORB 434 71;2004;7361
SP-PORC 2004 4 ES 29VE PORB 434 71;2004;7361
SP-PORC 2013 3 ES 29VE PORB 433 43;2013;7361
SP-PORC 2010 3 ES 29VE PORB 432 72;2010;7361
SP-PORC 2010 3 ES 29VE PORB 312 36;2010;7360
SP-PORC 2010 3 ES 29VE PORB 240 65;2010;7361
SP-PORC 2013 3 ES 29VE PORB 241 67;2013;7361
SP-PORC 2004 3 ES 29VE PORB 312 47;2004;7360
SP-PORC 2010 3 ES 29VE PORB 101 35;2010;7360
SP-PORC 2013 3 ES 29VE PORB 231 36;2013;7360
SP-PORC 2010 3 ES 29VE PORB 230 40;2010;7359
SP-PORC 2004 3 ES 29VE PORB 271 53;2004;7359
SP-PORC 2013 3 ES 29VE PORB 101 33;2013;7360
SP-PORC 2010 3 ES 29VE PORB 430 64;2010;7361
SP-PORC 2004 3 ES 29VE PORB 238 25;2004;7361
SP-PORC 2004 3 ES 29VE PORB 234 27;2004;7360
SP-PORC 2013 3 ES 29VE PORB 426 44;2013;7361
SP-PORC 2013 3 ES 29VE PORB 99 23;2013;7360
SP-PORC 2004 3 ES 29VE PORB 98 28;2004;7360
SP-PORC 2013 3 ES 29VE PORB 226 66;2013;7361
SP-PORC 2004 3 ES 29VE PORB 95 46;2004;7360
SP-PORC 2004 3 ES 29VE PORB 220 48;2004;7359
SP-PORC 2010 3 ES 29VE PORB 227 63;2010;7361
SP-PORC 2010 3 ES 29VE PORB 224 68;2010;7361
SP-PORC 2010 3 ES 29VE PORB 221 34;2010;7360
SP-PORC 2010 3 ES 29VE PORB 100 7;2010;7360
SP-PORC 2004 3 ES 29VE PORB 93 29;2004;7360
SP-PORC 2010 3 ES 29VE PORB 89 4;2010;7360
SP-PORC 2010 3 ES 29VE PORB 268 41;2010;7359
SP-PORC 2004 3 ES 29VE PORB 36 22;2004;7361
SP-PORC 2013 3 ES 29VE PORB 268 38;2013;7359
SP-PORC 2004 3 ES 29VE PORB 217 24;2004;7361
SP-PORC 2013 3 ES 29VE PORB 88 32;2013;7360
SP-PORC 2013 3 ES 29VE PORB 202 26;2013;7361
SP-PORC 2004 3 ES 29VE PORB 201 30;2004;7361
SP-PORC 2004 3 ES 29VE PORB 78 44;2004;7360
SP-PORC 2013 3 ES 29VE PORB 86 24;2013;7279
SP-PORC 2010 3 ES 29VE PORB 204 18;2010;7361
SP-PORC 2013 3 ES 29VE PORB 200 31;2013;7278
SP-PORC 2004 3 ES 29VE PORB 82 45;2004;7360
SP-PORC 2013 3 ES 29VE PORB 206 65;2013;7361
SP-PORC 2013 3 ES 29VE PORB 82 34;2013;7360
SP-PORC 2010 3 ES 29VE PORB 206 15;2010;7361
SP-PORC 2010 3 ES 29VE PORB 33 16;2010;7280
SP-PORC 2013 3 ES 29VE PORB 34 64;2013;7280
SP-PORC 2010 3 ES 29VE PORB 85 67;2010;7279
SP-PORC 2010 3 ES 29VE PORB 74 6;2010;7360
SP-PORC 2004 3 ES 29VE PORB 71 43;2004;7360
SP-PORC 2004 3 ES 29VE PORB 198 21;2004;7361
SP-PORC 2010 3 ES 29VE PORB 265 42;2010;7278
SP-PORC 2013 3 ES 29VE PORB 265 39;2013;7278
SP-PORC 2010 3 ES 29VE PORB 70 5;2010;7278
SP-PORC 2004 3 ES 29VE PORB 191 41;2004;7278
SP-PORC 2010 3 ES 29VE PORB 185 19;2010;7279
SP-PORC 2013 3 ES 29VE PORB 185 25;2013;7279
SP-PORC 2004 3 ES 29VE PORB 64 42;2004;7278
SP-PORC 2013 3 ES 29VE PORB 183 79;2013;7278
SP-PORC 2004 3 ES 29VE PORB 65 32;2004;7279
SP-PORC 2010 3 ES 29VE PORB 187 14;2010;7361
SP-PORC 2013 3 ES 29VE PORB 187 45;2013;7280
SP-PORC 2004 3 ES 29VE PORB 28 20;2004;7280
SP-PORC 2004 3 ES 29VE PORB 180 18;2004;7280
SP-PORC 2010 3 ES 29VE PORB 182 13;2010;7280
SP-PORC 2013 3 ES 29VE PORB 28 54;2013;7280
SP-PORC 2013 3 ES 29VE PORB 182 55;2013;7280
SP-PORC 2013 3 ES 29VE PORB 262 78;2013;7278
SP-PORC 2004 3 ES 29VE PORB 59 33;2004;7279
SP-PORC 2010 3 ES 29VE PORB 169 20;2010;7279
SP-PORC 2010 3 ES 29VE PORB 26 12;2010;7280
SP-PORC 2004 3 ES 29VE PORB 173 19;2004;7280
SP-PORC 2013 3 ES 29VE PORB 25 53;2013;7280
SP-PORC 2013 3 ES 29VE PORB 166 52;2013;7280
SP-PORC 2013 3 ES 29VE PORB 163 51;2013;7279
SP-PORC 2013 3 ES 29VE PORB 54 77;2013;7278
SP-PORC 2010 3 ES 29VE PORB 52 21;2010;7279
SP-PORC 2010 3 ES 29VE PORB 158 8;2010;7280
SP-PORC 2010 3 ES 29VE PORB 156 33;2010;7278
SP-PORC 2004 3 ES 29VE PORB 51 38;2004;7278
SP-PORC 2004 3 ES 29VE PORB 157 34;2004;7280
SP-PORC 2010 3 ES 29VE PORB 54 32;2010;7278
SP-PORC 2010 3 ES 29VE PORB 154 9;2010;7280
SP-PORC 2013 3 ES 29VE PORB 150 76;2013;7278
SP-PORC 2010 3 ES 29VE PORB 22 10;2010;7280
SP-PORC 2004 3 ES 29VE PORB 150 39;2004;7278
