"cell","year"
"3754","2003"
"3754","2004"
"3754","2005"
"3754","2006"
"3754","2007"
"3754","2008"
"3754","2009"
"3754","2010"
"3754","2011"
"3754","2012"
"3754","2013"
"3754","2014"
"3754","2015"
"3754","2016"
"3754","2017"
"3754","2018"
"3835","2003"
"3835","2004"
"3835","2005"
"3835","2006"
"3835","2007"
"3835","2008"
"3835","2009"
"3835","2010"
"3835","2011"
"3835","2012"
"3835","2013"
"3835","2014"
"3835","2015"
"3835","2016"
"3835","2017"
"3835","2018"
"4406","2003"
"4406","2004"
"4406","2005"
"4406","2006"
"4406","2007"
"4406","2008"
"4406","2009"
"4406","2010"
"4406","2011"
"4406","2012"
"4406","2013"
"4406","2014"
"4406","2015"
"4406","2016"
"4406","2017"
"4406","2018"
"4893","2003"
"4893","2004"
"4893","2005"
"4893","2006"
"4893","2007"
"4893","2008"
"4893","2009"
"4893","2010"
"4893","2011"
"4893","2012"
"4893","2013"
"4893","2014"
"4893","2015"
"4893","2016"
"4893","2017"
"4893","2018"
"4975","2003"
"4975","2004"
"4975","2005"
"4975","2006"
"4975","2007"
"4975","2008"
"4975","2009"
"4975","2010"
"4975","2011"
"4975","2012"
"4975","2013"
"4975","2014"
"4975","2015"
"4975","2016"
"4975","2017"
"4975","2018"
"4976","2003"
"4976","2004"
"4976","2005"
"4976","2006"
"4976","2007"
"4976","2008"
"4976","2009"
"4976","2010"
"4976","2011"
"4976","2012"
"4976","2013"
"4976","2014"
"4976","2015"
"4976","2016"
"4976","2017"
"4976","2018"
