haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Forillon -3-13-1995-08-08 -13:23:00
Sextan -4-26-1995-10-19 -09:22:00
Sextan -4-27-1995-10-19 -10:29:00
Rémy-Martin -4-16-1995-10-11 -11:17:00
Rémy-Martin -4-17-1995-10-11 -12:56:00
Rémy-Martin -5-26-1996-07-13 -19:43:00
Sextan -8-39-1997-10-05 -16:23:00
Rémy-Martin -8-5-1997-09-28 -07:24:00
Sextan -9-39-1998-07-14 -07:12:00
Sextan -9-42-1998-07-14 -13:20:00
Rémy-Martin -9-32-1998-07-07 -07:08:00
Rémy-Martin -9-33-1998-07-07 -08:47:00
Sextan -10-25-1998-10-07 -12:50:00
Rémy-Martin -10-18-1998-10-07 -03:48:00
Annie-Annick -11-32-1999-07-12 -22:35:00
Sextan -12-35-1999-10-09 -01:20:00
Rémy-Martin -13-5-2000-07-07 -22:15:00
Sextan -15-41-2001-07-09 -14:37:00
Rémy-Martin -15-9-2001-07-01 -17:41:00
Rémy-Martin -16-3-2001-09-29 -03:27:00
Rémy-Martin -16-4-2001-09-29 -04:30:00
Sextan -20-31-2002-07-04 -09:35:00
Sextan -25-43-2004-07-05 -18:40:00
Rémy-Martin -25-18-2004-07-04 -23:41:00
Rémy-Martin -25-21-2004-07-05 -06:27:00
Sextan -28-34-2005-07-16 -19:10:00
Rémy-Martin -28-30-2005-07-12 -22:46:00
Rémy-Martin -28-31-2005-07-13 -01:14:00
Rémy-Martin -28-32-2005-07-13 -06:29:00
Sextan -32-32-2006-07-16 -09:10:00
Sextan -32-33-2006-07-16 -10:25:00
Rémy-Martin -32-26-2006-07-11 -16:39:00
Rémy-Martin -32-27-2006-07-11 -18:15:00
Sextan -34-38-2007-07-12 -18:50:00
Rémy-Martin -34-20-2007-07-03 -16:15:00
Rémy-Martin -34-26-2007-07-09 -14:28:00
Rémy-Martin -36-16-2008-07-05 -05:41:00
Rémy-Martin -36-17-2008-07-05 -10:59:00
Rémy-Martin -36-18-2008-07-05 -13:31:00
Rémy-Martin -36-19-2008-07-05 -14:30:00
Sextan -38-16-2009-07-07 -05:00:00
Sextan -38-17-2009-07-07 -06:48:00
Rémy-Martin -38-10-2009-07-15 -22:52:00
Rémy-Martin -38-25-2009-07-19 -16:58:00
Sextan -40-27-2010-07-14 -19:15:00
Rémy-Martin -40-1-2010-07-01 -15:37:00
Sciene -42-34-2011-07-17 -07:17:00
Sextan -42-36-2011-07-17 -14:05:00
Rémy-Martin -42-23-2011-07-12 -15:01:00
Rémy-Martin -42-24-2011-07-12 -16:42:00
Rémy-Martin -46-15-2013-07-09 -08:08:00
Sextan -48-32-2014-07-11 -18:36:00
Rémy-Martin -48-24-2014-07-14 -04:13:00
Mérou -50-44-2015-07-11 -14:55:00
Mérou -50-45-2015-07-11 -16:18:00
Sextan -50-27-2015-07-11 -09:27:00
Mérou -52-21-2016-07-04 -10:15:00
Mérou -52-22-2016-07-04 -14:40:00
Mérou -52-23-2016-07-04 -16:08:00
Mérou -52-24-2016-07-04 -18:32:00
Mérou -53-44-2017-07-22 -08:30:00
Mérou -53-45-2017-07-22 -10:08:00
Sextan -53-35-2017-07-13 -14:54:00
Gadus Atlantica -3-2-1980-01-27 -13:05:00
Gadus Atlantica -3-3-1980-01-27 -16:15:00
Gadus Atlantica -3-4-1980-01-27 -18:35:00
Gadus Atlantica -3-5-1980-01-27 -20:47:00
Gadus Atlantica -3-6-1980-01-28 -01:18:00
Gadus Atlantica -3-7-1980-01-28 -05:31:00
Gadus Atlantica -3-8-1980-01-28 -09:06:00
Gadus Atlantica -3-9-1980-01-28 -11:00:00
Gadus Atlantica -3-10-1980-01-28 -13:58:00
Gadus Atlantica -3-11-1980-01-28 -16:45:00
Gadus Atlantica -3-12-1980-01-28 -19:00:00
Gadus Atlantica -3-13-1980-01-29 -00:18:00
Gadus Atlantica -3-14-1980-01-29 -03:53:00
Gadus Atlantica -3-15-1980-01-29 -08:27:00
Gadus Atlantica -3-16-1980-01-29 -11:50:00
Gadus Atlantica -3-17-1980-01-29 -16:03:00
Gadus Atlantica -3-18-1980-01-29 -20:30:00
Gadus Atlantica -3-19-1980-01-29 -23:10:00
Gadus Atlantica -3-21-1980-01-30 -04:11:00
Gadus Atlantica -3-22-1980-01-30 -06:52:00
Gadus Atlantica -3-23-1980-01-30 -10:16:00
Gadus Atlantica -3-24-1980-01-30 -12:22:00
Gadus Atlantica -3-25-1980-01-30 -15:00:00
Gadus Atlantica -3-26-1980-01-30 -18:35:00
Gadus Atlantica -3-27-1980-01-30 -22:55:00
Gadus Atlantica -3-28-1980-01-31 -00:55:00
Gadus Atlantica -3-29-1980-01-31 -02:50:00
Gadus Atlantica -3-30-1980-01-31 -06:15:00
Gadus Atlantica -3-31-1980-01-31 -08:50:00
Gadus Atlantica -3-32-1980-01-31 -11:06:00
Gadus Atlantica -3-34-1980-01-31 -16:57:00
Gadus Atlantica -3-35-1980-01-31 -20:40:00
Gadus Atlantica -3-36-1980-02-01 -23:57:00
Gadus Atlantica -3-37-1980-02-01 -03:55:00
Gadus Atlantica -3-38-1980-02-01 -06:47:00
Gadus Atlantica -3-39-1980-02-01 -08:20:00
Gadus Atlantica -3-41-1980-02-01 -13:38:00
Gadus Atlantica -3-42-1980-02-01 -17:02:00
Gadus Atlantica -3-44-1980-02-01 -22:08:00
Gadus Atlantica -3-45-1980-02-02 -00:42:00
Gadus Atlantica -3-46-1980-02-02 -02:25:00
Gadus Atlantica -3-47-1980-02-02 -04:30:00
Gadus Atlantica -3-48-1980-02-02 -06:43:00
Gadus Atlantica -3-50-1980-02-02 -11:05:00
Gadus Atlantica -3-52-1980-02-02 -15:30:00
Gadus Atlantica -3-58-1980-02-03 -09:20:00
Gadus Atlantica -3-59-1980-02-03 -11:10:00
Gadus Atlantica -3-60-1980-02-03 -14:45:00
Gadus Atlantica -3-62-1980-02-03 -19:47:00
Gadus Atlantica -3-63-1980-02-03 -21:15:00
Gadus Atlantica -3-64-1980-02-04 -23:54:00
Gadus Atlantica -3-65-1980-02-04 -02:27:00
Gadus Atlantica -3-66-1980-02-04 -04:43:00
Gadus Atlantica -3-71-1980-02-04 -15:26:00
Gadus Atlantica -3-72-1980-02-04 -17:55:00
Gadus Atlantica -3-73-1980-02-04 -19:42:00
Gadus Atlantica -3-74-1980-02-04 -21:08:00
