haul_id;year;cell
094199401034-168.4813353.33467;1994;19792
066198601112-168.514553.3435;1986;19792
001198304016-168.5116753.34583;1983;19792
001198304015-168.49553.35333;1983;19792
085199101030-168.4128353.355;1991;19792
001198304018-168.5496753.35667;1983;19792
001198304017-168.4316753.365;1983;19792
557198601249-168.7148353.37233;1986;19792
066198601113-168.5736753.373;1986;19792
001198304020-168.7091753.37667;1983;19792
001198304019-168.6566753.37917;1983;19792
148201201023-168.6005253.37988;2012;19792
094199701025-168.655953.38132;1997;19792
094199401029-168.412553.38133;1994;19792
094199401033-168.685553.38133;1994;19792
085199101029-168.587553.382;1991;19792
085199101031-168.6586753.38217;1991;19792
095199401025-168.59153.38333;1994;19792
147200601017-168.7223153.38465;2006;19792
001198304014-168.4708353.385;1983;19792
094200201196-168.7227953.38548;2002;19792
095199401026-168.7161753.38983;1994;19792
176201401022-168.7178353.38996;2014;19792
143201601018-168.7141353.39086;2016;19792
143201201025-168.7134253.3912;2012;19792
143201601017-168.7143753.39153;2016;19792
148201801018-168.7128653.39225;2018;19792
148201001022-168.4228553.39243;2010;19792
147200601016-168.5915153.39302;2006;19792
148201201024-168.7119553.39305;2012;19792
094199401032-168.5796753.39717;1994;19792
094200001031-168.7015153.39904;2000;19792
094199701024-168.58953.40028;1997;19792
066198601114-168.4793353.4005;1986;19792
176201401023-168.689653.40255;2014;19792
083199101023-168.603553.4085;1991;19792
066198601110-168.6268353.41333;1986;19792
554198301102-168.6833353.41333;1983;19792
557198601189-168.540553.41483;1986;19792
066198601109-168.691553.41633;1986;19792
066198601004-168.5966753.41667;1986;19792
554198301101-168.60553.42167;1983;19792
554198301103-168.6153.42333;1983;19792
143200601023-168.513253.42388;2006;19792
554198301104-168.70553.42833;1983;19792
023200001029-168.506353.42943;2000;19792
057200201019-168.502953.4313;2002;19792
176201601019-168.5486453.43163;2016;19792
557198601188-168.5998353.43317;1986;19792
094199401030-168.5041753.43467;1994;19792
176201401021-168.4948953.43853;2014;19792
094199701023-168.494453.44;1997;19792
095199401024-168.5181753.44167;1994;19792
057200201018-168.5084153.44616;2002;19792
094200001030-168.506953.44642;2000;19792
023199701022-168.507853.44743;1997;19792
143201201024-168.5061553.44788;2012;19792
147200601015-168.504953.44826;2006;19792
083199101021-168.5001753.45367;1991;19792
066198601003-168.4996753.4705;1986;19792
557198601187-168.4868353.51933;1986;19792
085199101028-168.238553.59567;1991;19792
143201401016-168.1799253.59945;2014;19792
094199401028-168.219553.611;1994;19792
143201201004-165.565454.33457;2012;164
143201001004-165.5711354.33688;2010;164
143201001003-165.5495254.34305;2010;164
148201201001-165.5489254.34417;2012;164
143201001007-165.654454.34708;2010;164
176201401005-165.5540454.34741;2014;164
143200601005-165.6215154.34783;2006;164
066198601133-165.6443354.3485;1986;164
143200401004-165.611454.34954;2004;164
023200001007-165.566554.35204;2000;164
094199401009-165.5926754.3525;1994;164
148201801002-165.5989354.35293;2018;164
094200201012-165.579854.35648;2002;164
557198601178-165.6321754.3645;1986;164
094200001007-165.6145954.36745;2000;164
143201801002-165.5477454.37012;2018;164
148201201002-165.5486354.37013;2012;164
176201401002-165.5483554.37188;2014;164
143200401003-165.61254.37329;2004;164
094199701007-165.60854.3773;1997;164
143201601002-165.6486754.38034;2016;164
143201801001-165.6483954.38062;2018;164
143201001006-165.5574854.3829;2010;164
094200001008-165.7743154.38886;2000;19819
066198601001-165.75754.392;1986;19819
143201601003-165.7549754.39576;2016;19819
094200201020-165.757154.39586;2002;19819
143201801007-165.7528254.39665;2018;19819
557198601173-165.8373354.40617;1986;19819
023200001008-165.5104154.41013;2000;164
094200201019-165.5954.41029;2002;164
143201601001-165.5906254.41121;2016;164
023199701002-165.512354.41164;1997;164
094200201013-165.513754.41186;2002;164
148201801003-165.5911254.41212;2018;164
143201401001-165.4795554.41248;2014;164
143200401002-165.48554.41293;2004;164
143200601003-165.521954.413;2006;164
143200601004-165.587354.41355;2006;164
143201001002-165.5877354.41358;2010;164
085199101006-165.5916754.414;1991;164
066198601002-165.5963354.41883;1986;164
176201401003-165.5663854.42203;2014;164
023200001005-165.574654.42719;2000;164
094199401008-165.552554.43067;1994;164
143201201005-165.5939754.47108;2012;164
143201801003-165.593654.47123;2018;164
176201601001-165.5735654.47566;2016;164
147200401002-165.5827954.47981;2004;164
083199101002-165.1416754.48567;1991;164
083199101004-165.592554.48567;1991;164
