"cell","year"
"1","1992"
"1","1993"
"1","1994"
"1","1995"
"1","1996"
"1","1997"
"1","1998"
"1","1999"
"1","2000"
"1","2002"
"1","2009"
"4428","1992"
"4428","1993"
"4428","1994"
"4428","1995"
"4428","1996"
"4428","1997"
"4428","1998"
"4428","1999"
"4428","2000"
"4428","2002"
"4428","2009"
"4429","1992"
"4429","1993"
"4429","1994"
"4429","1995"
"4429","1996"
"4429","1997"
"4429","1998"
"4429","1999"
"4429","2000"
"4429","2002"
"4429","2009"
"4456","1992"
"4456","1993"
"4456","1994"
"4456","1995"
"4456","1996"
"4456","1997"
"4456","1998"
"4456","1999"
"4456","2000"
"4456","2002"
"4456","2009"
"4483","1992"
"4483","1993"
"4483","1994"
"4483","1995"
"4483","1996"
"4483","1997"
"4483","1998"
"4483","1999"
"4483","2000"
"4483","2002"
"4483","2009"
"4510","1992"
"4510","1993"
"4510","1994"
"4510","1995"
"4510","1996"
"4510","1997"
"4510","1998"
"4510","1999"
"4510","2000"
"4510","2002"
"4510","2009"
"4537","1992"
"4537","1993"
"4537","1994"
"4537","1995"
"4537","1996"
"4537","1997"
"4537","1998"
"4537","1999"
"4537","2000"
"4537","2001"
"4537","2002"
"4537","2003"
"4537","2004"
"4537","2005"
"4537","2006"
"4537","2007"
"4537","2008"
"4537","2009"
"4537","2010"
"4537","2011"
"4537","2012"
"4537","2013"
"4537","2014"
"4537","2015"
"4537","2016"
"4537","2017"
"4537","2018"
"4537","2019"
"4537","2020"
"6588","1992"
"6588","1993"
"6588","1994"
"6588","1995"
"6588","1996"
"6588","1997"
"6588","1998"
"6588","1999"
"6588","2000"
"6588","2002"
"6588","2009"
"6589","1992"
"6589","1993"
"6589","1994"
"6589","1995"
"6589","1996"
"6589","1997"
"6589","1998"
"6589","1999"
"6589","2000"
"6589","2002"
"6589","2009"
"6614","1992"
"6614","1993"
"6614","1994"
"6614","1995"
"6614","1996"
"6614","1997"
"6614","1998"
"6614","1999"
"6614","2000"
"6614","2001"
"6614","2002"
"6614","2003"
"6614","2004"
"6614","2005"
"6614","2006"
"6614","2007"
"6614","2008"
"6614","2009"
"6614","2010"
"6614","2011"
"6614","2012"
"6614","2013"
"6614","2014"
"6614","2015"
"6614","2016"
"6614","2017"
"6614","2018"
"6614","2019"
"6614","2020"
"6615","1992"
"6615","1993"
"6615","1994"
"6615","1995"
"6615","1996"
"6615","1997"
"6615","1998"
"6615","1999"
"6615","2000"
"6615","2002"
"6615","2009"
"6642","1992"
"6642","1993"
"6642","1994"
"6642","1995"
"6642","1996"
"6642","1997"
"6642","1998"
"6642","1999"
"6642","2000"
"6642","2002"
"6642","2009"
"6643","1992"
"6643","1993"
"6643","1994"
"6643","1995"
"6643","1996"
"6643","1997"
"6643","1998"
"6643","1999"
"6643","2000"
"6643","2002"
"6643","2009"
"6669","1992"
"6669","1993"
"6669","1994"
"6669","1995"
"6669","1996"
"6669","1997"
"6669","1998"
"6669","1999"
"6669","2000"
"6669","2002"
"6669","2009"
"6670","1992"
"6670","1993"
"6670","1994"
"6670","1995"
"6670","1996"
"6670","1997"
"6670","1998"
"6670","1999"
"6670","2000"
"6670","2002"
"6670","2009"
"6696","1992"
"6696","1993"
"6696","1994"
"6696","1995"
"6696","1996"
"6696","1997"
"6696","1998"
"6696","1999"
"6696","2000"
"6696","2002"
"6696","2009"
"6697","1992"
"6697","1993"
"6697","1994"
"6697","1995"
"6697","1996"
"6697","1997"
"6697","1998"
"6697","1999"
"6697","2000"
"6697","2001"
"6697","2002"
"6697","2003"
"6697","2004"
"6697","2005"
"6697","2006"
"6697","2007"
"6697","2008"
"6697","2009"
"6697","2010"
"6697","2011"
"6697","2012"
"6697","2013"
"6697","2014"
"6697","2015"
"6697","2016"
"6697","2017"
"6697","2018"
"6697","2019"
"6697","2020"
"6724","1992"
"6724","1993"
"6724","1994"
"6724","1995"
"6724","1996"
"6724","1997"
"6724","1998"
"6724","1999"
"6724","2000"
"6724","2002"
"6724","2009"
"6778","1992"
"6778","1993"
"6778","1994"
"6778","1995"
"6778","1996"
"6778","1997"
"6778","1998"
"6778","1999"
"6778","2000"
"6778","2001"
"6778","2002"
"6778","2003"
"6778","2004"
"6778","2005"
"6778","2006"
"6778","2007"
"6778","2008"
"6778","2009"
"6778","2010"
"6778","2011"
"6778","2012"
"6778","2013"
"6778","2014"
"6778","2015"
"6778","2016"
"6778","2017"
"6778","2018"
"6778","2019"
"6778","2020"
