haul_id;year;cell
148201901006-169.9110852.44677;2019;19791
083199001010-169.9116752.4485;1990;19791
560198701001-169.95652.50467;1987;19791
178201501001-169.9913552.52542;2015;19791
057200101001-169.360552.59868;2001;19818
094200101003-169.782752.63683;2001;19818
094200101005-169.117252.67788;2001;19818
094200101002-169.000552.7747;2001;19818
057200101002-168.990452.82795;2001;19818
057200101004-168.29752.89531;2001;19818
057200101003-168.6071952.97649;2001;19818
094200101009-167.306952.99747;2001;19846
057200101006-167.6961153.01062;2001;19818
057200101005-168.002453.04145;2001;19818
094200101001-168.3701953.04702;2001;19818
057200101008-166.970653.10574;2001;19846
057200101009-167.069653.14964;2001;19846
057200101007-167.3632153.15859;2001;19846
094200101008-167.061453.16145;2001;19846
094200101007-167.1293953.17138;2001;19846
094200101006-167.838753.2293;2001;19818
057200101010-167.3612153.25333;2001;19846
057200101011-167.291553.2903;2001;19846
057200101013-166.16253.36049;2001;19846
094200101010-166.546853.46796;2001;19846
057200101012-166.3970953.49403;2001;19846
094200101013-165.475453.59893;2001;19846
057200101014-165.3822953.63464;2001;19846
094200101014-165.432553.64814;2001;19846
094200101012-165.950953.67537;2001;19846
057200101029-164.1614153.72569;2001;19900
094200101015-165.310153.7291;2001;19846
094200101016-164.989253.72991;2001;19900
094200101011-165.973553.79839;2001;19846
094200101023-164.7319953.8033;2001;164
094200101022-164.902153.86455;2001;164
094200101028-164.3193153.8876;2001;164
094200101017-166.1952153.90891;2001;19846
057200101015-165.4651953.91547;2001;19846
094200101018-165.958353.93941;2001;19846
094200101019-165.490653.95432;2001;19846
057200101036-163.733453.9694;2001;164
057200101022-164.632253.97614;2001;164
057200101017-165.1042953.98216;2001;164
057200101054-163.78353.99169;2001;164
057200101018-165.020153.99822;2001;164
057200101055-163.574653.99994;2001;164
057200101019-164.941554.01027;2001;164
094200101021-165.011454.01914;2001;164
057200101016-165.2790154.03007;2001;164
094200101027-164.3892154.03392;2001;164
057200101020-164.907254.04136;2001;164
094200101020-165.3578954.05107;2001;19846
057200101021-164.8150954.08727;2001;164
057200101037-163.4933954.09813;2001;164
057200101056-163.089154.10982;2001;218
057200101033-164.2198954.14152;2001;164
057200101025-164.623454.18954;2001;164
057200101035-163.665854.20086;2001;164
094200101031-164.31554.20779;2001;164
094200101052-161.412854.21163;2001;218
094200101045-162.561154.2289;2001;218
094200101053-161.434654.23077;2001;218
094200101054-160.489754.23811;2001;246
057200101061-161.556754.24719;2001;218
094200101033-163.90354.24824;2001;164
094200101043-163.267554.25012;2001;164
057200101026-164.3993154.25249;2001;164
094200101030-164.92254.25266;2001;164
094200101029-164.8943954.27132;2001;164
094200101056-160.895454.28052;2001;218
094200101034-163.740854.28249;2001;164
057200101034-163.820554.28486;2001;164
094200101044-163.108254.28765;2001;164
094200101026-164.494954.2928;2001;164
094200101055-160.4980954.29818;2001;246
094200101024-164.3406154.30249;2001;164
