haul_id;year;cell
Gadus Atlantica -14-113-1992-01-29 -03:42:00;1992;2252
Gadus Atlantica -14-114-1992-01-29 -05:46:00;1992;2280
Gadus Atlantica -14-112-1992-01-29 -00:33:00;1992;2252
Gadus Atlantica -14-110-1992-01-28 -18:03:00;1992;2252
Gadus Atlantica -16-111-1994-01-26 -10:25:00;1994;2280
Gadus Atlantica -14-109-1992-01-28 -15:39:00;1992;2252
Gadus Atlantica -16-110-1994-01-26 -07:46:00;1994;2280
Gadus Atlantica -14-111-1992-01-28 -20:31:00;1992;2252
Gadus Atlantica -16-112-1994-01-26 -12:23:00;1994;2280
Gadus Atlantica -16-114-1994-01-26 -16:59:00;1994;2252
Gadus Atlantica -16-113-1994-01-26 -14:21:00;1994;2280
Gadus Atlantica -16-117-1994-01-27 -00:09:00;1994;2252
Gadus Atlantica -16-119-1994-01-27 -08:48:00;1994;2252
Gadus Atlantica -16-109-1994-01-26 -01:01:00;1994;2280
Gadus Atlantica -16-106-1994-01-25 -17:59:00;1994;2280
Gadus Atlantica -16-118-1994-01-27 -01:42:00;1994;2252
Gadus Atlantica -16-75-1994-01-22 -02:00:00;1994;2252
Gadus Atlantica -16-108-1994-01-25 -22:09:00;1994;2280
Gadus Atlantica -16-115-1994-01-26 -19:12:00;1994;2252
Gadus Atlantica -16-107-1994-01-25 -20:11:00;1994;2280
Gadus Atlantica -16-116-1994-01-26 -22:14:00;1994;2252
Tracy Marlene -9-26-1998-07-14 -02:00:00;1998;2252
Alfred Needler -13-1-2002-08-03 -02:08:00;2002;2252
Gadus Atlantica -14-108-1992-01-28 -12:30:00;1992;2252
Gadus Atlantica -14-97-1992-01-26 -23:06:00;1992;2252
NFLD Storm -12-5-1999-10-20 -14:12:00;1999;2252
Gadus Atlantica -16-76-1994-01-22 -04:09:00;1994;2252
Gadus Atlantica -7-1-1985-01-05 -13:20:00;1985;2252
Lady Christanna -8-18-1997-10-06 -09:35:00;1997;2252
NFLD Storm -13-23-2000-07-07 -12:56:00;2000;2252
Alfred Needler -4-1-1993-08-18 -02:24:00;1993;2252
Gadus Atlantica -6-1-1984-01-06 -17:57:00;1984;2252
Gadus Atlantica -16-125-1994-01-28 -12:41:00;1994;2252
Teleost -13-121-2016-08-22 -11:19:00;2016;1539
Teleost -9-204-2012-08-29 -11:07:00;2012;1539
Teleost -13-122-2016-08-22 -13:19:00;2016;1539
Alfred Needler -10-175-1999-08-23 -02:17:00;1999;1539
Teleost -5-211-2008-08-21 -08:38:00;2008;1539
Teleost -8-151-2011-08-22 -06:16:00;2011;1539
Teleost -7-133-2010-08-22 -00:59:00;2010;1539
Teleost -8-153-2011-08-22 -11:17:00;2011;1539
Teleost -7-134-2010-08-22 -03:01:00;2010;1539
Teleost -2-149-2005-08-20 -00:27:00;2005;1539
Alfred Needler -9-139-1998-08-19 -23:37:00;1998;1539
Alfred Needler -14-152-2003-08-20 -08:42:00;2003;1539
Alfred Needler -10-174-1999-08-23 -00:12:00;1999;1539
Alfred Needler -2-260-1991-09-16 -17:08:00;1991;1539
Alfred Needler -16-149-2005-08-20 -00:31:00;2005;1539
Alfred Needler -11-175-2000-08-22 -23:27:00;2000;1539
Lady Hammond -5-204-1988-08-15 -05:16:00;1988;1539
Teleost -15-26-2018-08-07 -09:28:00;2018;1539
Alfred Needler -7-168-1996-08-24 -23:15:00;1996;1539
Alfred Needler -10-176-1999-08-23 -04:06:00;1999;1539
Teleost -8-152-2011-08-22 -08:52:00;2011;1539
Teleost -8-150-2011-08-22 -03:18:00;2011;1539
Teleost -3-206-2006-08-26 -12:34:00;2006;1539
Teleost -10-124-2013-08-23 -15:33:00;2013;1539
Alfred Needler -8-146-1997-08-23 -14:53:00;1997;1539
Alfred Needler -6-126-1995-08-28 -01:32:00;1995;1539
Teleost -14-119-2017-08-21 -23:50:00;2017;1539
Alfred Needler -4-241-1993-09-08 -03:12:00;1993;1539
Alfred Needler -10-173-1999-08-22 -22:40:00;1999;1539
Teleost -2-150-2005-08-20 -03:11:00;2005;1539
Teleost -3-207-2006-08-26 -15:23:00;2006;1539
Lady Hammond -4-197-1987-08-25 -08:00:00;1987;1539
Alfred Needler -9-140-1998-08-20 -02:33:00;1998;1539
Alfred Needler -16-150-2005-08-20 -03:11:00;2005;1539
Teleost -1-103-2004-08-27 -07:43:00;2004;1539
Alfred Needler -11-174-2000-08-22 -21:21:00;2000;1539
Alfred Needler -3-246-1992-09-01 -00:37:00;1992;1539
Teleost -15-27-2018-08-07 -12:38:00;2018;1539
Alfred Needler -2-259-1991-09-16 -16:09:00;1991;1539
Alfred Needler -13-150-2002-08-23 -01:02:00;2002;1539
Alfred Needler -6-125-1995-08-27 -23:47:00;1995;1539
Teleost -10-123-2013-08-23 -12:15:00;2013;1539
Alfred Needler -8-145-1997-08-23 -12:11:00;1997;1539
Teleost -3-205-2006-08-26 -09:31:00;2006;1539
Teleost -6-188-2009-08-29 -15:27:00;2009;1539
Alfred Needler -1-202-1990-09-12 -02:28:00;1990;1539
Alfred Needler -7-167-1996-08-24 -21:59:00;1996;1539
Alfred Needler -2-261-1991-09-16 -18:37:00;1991;1539
Alfred Needler -12-176-2001-08-20 -22:37:00;2001;1539
Teleost -5-209-2008-08-21 -04:24:00;2008;1539
Alfred Needler -16-148-2005-08-19 -22:20:00;2005;1539
Teleost -6-189-2009-08-29 -18:20:00;2009;1485
Lady Hammond -4-196-1987-08-25 -10:31:00;1987;1539
Alfred Needler -3-247-1992-09-01 -02:07:00;1992;1485
Alfred Needler -8-147-1997-08-23 -17:18:00;1997;1539
Alfred Needler -11-176-2000-08-23 -01:52:00;2000;1539
Teleost -4-173-2007-08-25 -14:56:00;2007;1485
Lady Hammond -5-203-1988-08-15 -01:41:00;1988;1539
Teleost -11-160-2014-08-23 -19:55:00;2014;1485
Teleost -3-204-2006-08-26 -07:12:00;2006;1485
Alfred Needler -13-149-2002-08-22 -22:18:00;2002;1485
Alfred Needler -1-203-1990-09-12 -03:56:00;1990;1485
Teleost -1-101-2004-08-27 -04:45:00;2004;1485
Teleost -12-154-2015-08-23 -04:35:00;2015;1485
Alfred Needler -11-173-2000-08-22 -19:03:00;2000;1485
Alfred Needler -3-248-1992-09-01 -03:10:00;1992;1485
Teleost -4-174-2007-08-25 -17:20:00;2007;1485
Alfred Needler -7-166-1996-08-24 -20:44:00;1996;1485
Teleost -5-213-2008-08-21 -11:21:00;2008;1485
Teleost -12-156-2015-08-23 -11:06:00;2015;1485
Teleost -14-118-2017-08-21 -19:46:00;2017;1485
Teleost -7-135-2010-08-22 -04:50:00;2010;1485
Teleost -12-155-2015-08-23 -08:00:00;2015;1485
Teleost -1-104-2004-08-27 -10:29:00;2004;1485
Teleost -5-214-2008-08-21 -12:47:00;2008;1485
Alfred Needler -13-152-2002-08-23 -04:41:00;2002;1485
Teleost -15-24-2018-08-07 -01:36:00;2018;1485
