"cell","year"
"1431","1970"
"1431","1971"
"1431","1972"
"1431","1973"
"1431","1974"
"1431","1975"
"1431","1976"
"1431","1977"
"1431","1978"
"1431","1979"
"1431","1980"
"1431","1981"
"1431","1982"
"1431","1983"
"1431","1984"
"1431","1985"
"1431","1986"
"1431","1987"
"1431","1988"
"1431","1989"
"1431","1990"
"1431","1991"
"1431","1992"
"1431","1993"
"1431","1994"
"1431","1995"
"1431","1996"
"1431","1997"
"1431","1998"
"1431","1999"
"1431","2000"
"1431","2001"
"1431","2002"
"1431","2004"
"1431","2005"
"1431","2006"
"1431","2007"
"1431","2008"
"1431","2009"
"1431","2010"
"1431","2011"
"1431","2012"
"1431","2013"
"1431","2014"
"1431","2015"
"1431","2016"
"1431","2017"
"1431","2018"
"1431","2019"
