"cell","year"
"1621","1968"
"1621","1969"
"1621","1970"
"1621","1971"
"1621","1972"
"1621","1973"
"1621","1974"
"1621","1975"
"1621","1976"
"1621","1977"
"1621","1978"
"1621","1979"
"1621","1980"
"1621","1981"
"1621","1982"
"1621","1983"
"1621","1984"
"1621","1985"
"1621","1986"
"1621","1987"
"1621","1988"
"1621","1989"
"1621","1990"
"1621","1991"
"1621","1992"
"1621","1993"
"1621","1994"
"1621","1995"
"1621","1996"
"1621","1997"
"1621","1998"
"1621","1999"
"1621","2000"
"1621","2001"
"1621","2002"
"1621","2003"
"1621","2004"
"1621","2005"
"1621","2006"
"1621","2007"
"1621","2008"
"1621","2009"
"1621","2010"
"1621","2011"
"1621","2012"
"1621","2013"
"1621","2014"
"1621","2015"
"1621","2016"
"1621","2017"
"1621","2018"
"1621","2019"
"1621","2020"
"1675","2020"
"1702","2020"
"1729","2020"
"1756","2020"
"1783","2020"
"1810","2020"
"1837","2020"
"1864","2020"
"1891","2020"
"1918","2020"
"1945","2020"
"1999","2020"
"2080","1968"
"2080","1969"
"2080","1970"
"2080","1971"
"2080","1972"
"2080","1973"
"2080","1974"
"2080","1975"
"2080","1976"
"2080","1977"
"2080","1978"
"2080","1979"
"2080","1980"
"2080","1981"
"2080","1982"
"2080","1983"
"2080","1984"
"2080","1985"
"2080","1986"
"2080","1987"
"2080","1988"
"2080","1989"
"2080","1990"
"2080","1991"
"2080","1992"
"2080","1993"
"2080","1994"
"2080","1995"
"2080","1996"
"2080","1997"
"2080","1998"
"2080","1999"
"2080","2000"
"2080","2001"
"2080","2002"
"2080","2003"
"2080","2004"
"2080","2005"
"2080","2006"
"2080","2007"
"2080","2008"
"2080","2009"
"2080","2010"
"2080","2011"
"2080","2012"
"2080","2013"
"2080","2014"
"2080","2015"
"2080","2016"
"2080","2017"
"2080","2018"
"2080","2019"
"2080","2020"
"2107","1968"
"2107","1969"
"2107","1970"
"2107","1971"
"2107","1972"
"2107","1973"
"2107","1974"
"2107","1975"
"2107","1976"
"2107","1977"
"2107","1978"
"2107","1979"
"2107","1980"
"2107","1981"
"2107","1982"
"2107","1983"
"2107","1984"
"2107","1985"
"2107","1986"
"2107","1987"
"2107","1988"
"2107","1989"
"2107","1990"
"2107","1991"
"2107","1992"
"2107","1993"
"2107","1994"
"2107","1995"
"2107","1996"
"2107","1997"
"2107","1998"
"2107","1999"
"2107","2000"
"2107","2001"
"2107","2002"
"2107","2003"
"2107","2004"
"2107","2005"
"2107","2006"
"2107","2007"
"2107","2008"
"2107","2009"
"2107","2010"
"2107","2011"
"2107","2012"
"2107","2013"
"2107","2014"
"2107","2015"
"2107","2016"
"2107","2017"
"2107","2018"
"2107","2019"
"2107","2020"
"2161","1968"
"2161","1969"
"2161","1970"
"2161","1971"
"2161","1972"
"2161","1973"
"2161","1974"
"2161","1975"
"2161","1976"
"2161","1977"
"2161","1978"
"2161","1979"
"2161","1980"
"2161","1981"
"2161","1982"
"2161","1983"
"2161","1984"
"2161","1985"
"2161","1986"
"2161","1987"
"2161","1988"
"2161","1989"
"2161","1990"
"2161","1991"
"2161","1992"
"2161","1993"
"2161","1994"
"2161","1995"
"2161","1996"
"2161","1997"
"2161","1998"
"2161","1999"
"2161","2000"
"2161","2001"
"2161","2002"
