"cell","year"
"55","1991"
"55","1992"
"55","1993"
"55","1994"
"55","1995"
"55","1996"
"55","1997"
"55","1998"
"55","1999"
"55","2000"
"55","2001"
"55","2002"
"55","2003"
"55","2004"
"55","2005"
"55","2006"
"55","2007"
"55","2008"
"55","2009"
"55","2010"
"55","2011"
"55","2012"
"55","2013"
"55","2014"
"55","2015"
"55","2016"
"55","2017"
"55","2018"
"55","2019"
"55","2020"
"298","1991"
"298","1992"
"298","1993"
"298","1994"
"298","1995"
"298","1996"
"298","1997"
"298","1998"
"298","1999"
"298","2000"
"298","2001"
"298","2002"
"298","2003"
"298","2004"
"298","2005"
"298","2006"
"298","2007"
"298","2008"
"298","2009"
"298","2010"
"298","2011"
"298","2012"
"298","2013"
"298","2014"
"298","2015"
"298","2016"
"298","2017"
"298","2018"
"298","2019"
"298","2020"
"2239","1991"
"2239","1992"
"2239","1993"
"2239","1994"
"2239","1995"
"2239","1996"
"2239","1997"
"2239","1998"
"2239","1999"
"2239","2000"
"2239","2001"
"2239","2002"
"2239","2003"
"2239","2004"
"2239","2005"
"2239","2006"
"2239","2007"
"2239","2008"
"2239","2009"
"2239","2010"
"2239","2011"
"2239","2012"
"2239","2013"
"2239","2014"
"2239","2015"
"2239","2016"
"2239","2017"
"2239","2018"
"2239","2019"
"2239","2020"
"2294","1991"
"2294","1992"
"2294","1993"
"2294","1994"
"2294","1995"
"2294","1996"
"2294","1997"
"2294","1998"
"2294","1999"
"2294","2000"
"2294","2001"
"2294","2002"
"2294","2003"
"2294","2004"
"2294","2005"
"2294","2006"
"2294","2007"
"2294","2008"
"2294","2009"
"2294","2010"
"2294","2011"
"2294","2012"
"2294","2013"
"2294","2014"
"2294","2015"
"2294","2016"
"2294","2017"
"2294","2018"
"2294","2019"
"2294","2020"
"4399","1991"
"4399","1992"
"4399","1993"
"4399","1994"
"4399","1995"
"4399","1996"
"4399","1997"
"4399","1998"
"4399","1999"
"4399","2000"
"4399","2001"
"4399","2002"
"4399","2003"
"4399","2004"
"4399","2005"
"4399","2006"
"4399","2007"
"4399","2008"
"4399","2009"
"4399","2010"
"4399","2011"
"4399","2012"
"4399","2013"
"4399","2014"
"4399","2015"
"4399","2016"
"4399","2017"
"4399","2018"
"4399","2019"
"4399","2020"
"4402","1991"
"4402","1992"
"4402","1993"
"4402","1994"
"4402","1995"
"4402","1996"
"4402","1997"
"4402","1998"
"4402","1999"
"4402","2000"
"4402","2001"
"4402","2002"
"4402","2003"
"4402","2004"
"4402","2005"
"4402","2006"
"4402","2007"
"4402","2008"
"4402","2009"
"4402","2010"
"4402","2011"
"4402","2012"
"4402","2013"
"4402","2014"
"4402","2015"
"4402","2016"
"4402","2017"
"4402","2018"
"4402","2019"
"4402","2020"
"4427","1991"
"4427","1992"
"4427","1993"
"4427","1994"
"4427","1995"
"4427","1996"
"4427","1997"
"4427","1998"
"4427","1999"
"4427","2000"
"4427","2001"
"4427","2002"
"4427","2003"
"4427","2004"
"4427","2005"
"4427","2006"
"4427","2007"
"4427","2008"
"4427","2009"
"4427","2010"
"4427","2011"
"4427","2012"
"4427","2013"
"4427","2014"
"4427","2015"
"4427","2016"
"4427","2017"
"4427","2018"
"4427","2019"
"4427","2020"
"4455","1991"
"4455","1992"
"4455","1993"
"4455","1994"
"4455","1995"
"4455","1996"
"4455","1997"
"4455","1998"
"4455","1999"
"4455","2000"
"4455","2001"
"4455","2002"
"4455","2003"
"4455","2004"
"4455","2005"
"4455","2006"
"4455","2007"
"4455","2008"
"4455","2009"
"4455","2010"
"4455","2011"
"4455","2012"
"4455","2013"
"4455","2014"
"4455","2015"
"4455","2016"
"4455","2017"
"4455","2018"
"4455","2019"
"4455","2020"
