haul_id;year;cell
NOR-BTS 2007 5 3270 2.022 55.032 26 1715;2007;2377
NOR-BTS 2008 5 3270 1.717 55.058 28 1009;2008;2377
NOR-BTS 2008 5 3270 1.242 55.13 64 1437;2008;2377
NOR-BTS 2008 5 3270 3.68 55.157 39 630;2008;2350
NOR-BTS 2008 5 3270 1.44 55.283 41 818;2008;2377
NOR-BTS 2007 4 3270 1.41 55.285 56 602;2007;2377
NOR-BTS 2008 5 3270 4.003 55.295 41 1135;2008;2350
NOR-BTS 2007 5 3270 3.815 55.303 29 1704;2007;2350
NOR-BTS 2006 5 3270 4.115 55.353 42 1441;2006;2350
NOR-BTS 2005 12 3270 6.113 55.367 48 1722;2005;2323
NOR-BTS 2008 5 3270 1.752 55.387 47 747;2008;2377
NOR-BTS 2007 4 3270 2.488 55.44 40 1811;2007;2322
NOR-BTS 2008 5 3270 2.43 55.458 43 1440;2008;2322
NOR-BTS 2008 4 3270 4.888 55.72 37 1733;2008;2350
NOR-BTS 2008 4 3271 4.88 55.728 37 1422;2008;2350
NOR-BTS 1989 11 3236 2.983 55.983 70 2034;1989;2322
NOR-BTS 1989 11 3236 4.3 55.983 50 12;1989;2350
NOR-BTS 2005 11 3270 1.135 55.988 80 1135;2005;2322
NOR-BTS 1998 11 3270 5.702 56 52 1026;1998;2323
NOR-BTS 2008 5 3270 5.227 56.007 40 736;2008;2323
NOR-BTS 1998 11 3270 7.772 56.182 26 2044;1998;4402
NOR-BTS 1989 11 3236 5.45 56.5 48 747;1989;2323
NOR-BTS 2002 7 3270 3.905 56.582 72 706;2002;2296
NOR-BTS 2011 4 3270 4.233 56.595 64 941;2011;2296
NOR-BTS 2017 5 3270 4.09 56.61 67 1102;2017;2296
NOR-BTS 2015 5 3270 4.083 56.642 54 31;2015;2296
NOR-BTS 2012 4 3270 4.098 56.643 48 801;2012;2296
NOR-BTS 2010 5 3270 3.758 56.645 54 1324;2010;2296
NOR-BTS 2011 4 3270 3.995 56.645 57 1349;2011;2296
NOR-BTS 2012 5 3270 4.118 56.647 47 805;2012;2296
NOR-BTS 2011 4 3270 3.988 56.652 55 628;2011;2296
NOR-BTS 2014 5 3270 4.327 56.652 48 1502;2014;2296
NOR-BTS 2016 6 3270 2.048 56.653 89 1404;2016;2322
NOR-BTS 2012 5 3270 4.095 56.662 47 928;2012;2296
NOR-BTS 2016 4 3270 4.225 56.665 48 1133;2016;2296
NOR-BTS 2015 5 3270 4.405 56.667 51 1452;2015;2296
NOR-BTS 2015 5 3270 4.478 56.668 57 1030;2015;2296
NOR-BTS 2010 5 3270 3.878 56.67 55 851;2010;2296
NOR-BTS 2016 4 3270 4.258 56.67 48 2108;2016;2296
NOR-BTS 2011 4 3270 3.775 56.673 53 1923;2011;2296
NOR-BTS 2016 4 3270 4.222 56.673 48 2018;2016;2296
NOR-BTS 2015 5 3270 3.955 56.675 53 1918;2015;2296
NOR-BTS 2016 4 3270 4.135 56.675 49 802;2016;2296
NOR-BTS 2011 4 3270 4.382 56.677 48 653;2011;2296
NOR-BTS 2013 5 3270 3.987 56.678 51 940;2013;2296
NOR-BTS 2014 5 3270 4.027 56.68 51 910;2014;2296
NOR-BTS 2014 5 3270 4.472 56.68 53 1727;2014;2296
NOR-BTS 2015 5 3270 4.282 56.693 49 1206;2015;2296
NOR-BTS 2014 5 3270 4.375 56.695 50 1825;2014;2296
NOR-BTS 2016 4 3270 4.213 56.705 49 1007;2016;2296
NOR-BTS 2016 4 3270 4.275 56.707 49 2141;2016;2296
NOR-BTS 1985 2 3270 5.15 56.717 64 907;1985;2296
NOR-BTS 2016 4 3270 4.375 56.725 50 1504;2016;2296
NOR-BTS 2015 5 3270 4.54 56.735 57 914;2015;2296
NOR-BTS 2015 5 3270 4.527 56.742 56 1738;2015;2296
NOR-BTS 1985 2 3270 4.95 56.75 62 1036;1985;2296
NOR-BTS 2014 5 3270 3.675 56.752 57 1725;2014;2296
NOR-BTS 2014 5 3270 3.753 56.777 56 1315;2014;2296
NOR-BTS 2006 5 3270 3.653 56.785 57 1302;2006;2296
NOR-BTS 2013 5 3270 3.675 56.79 57 1423;2013;2296
NOR-BTS 2017 5 3270 3.705 56.792 57 1319;2017;2296
NOR-BTS 2011 4 3270 3.81 56.795 55 1836;2011;2296
NOR-BTS 2017 5 3270 3.603 56.798 60 1643;2017;2296
NOR-BTS 2017 5 3270 3.785 56.798 55 1243;2017;2296
NOR-BTS 2009 5 3270 3.655 56.803 58 1531;2009;2296
NOR-BTS 2016 5 3270 3.708 56.808 56 1643;2016;2296
NOR-BTS 2017 5 3270 3.7 56.81 57 1930;2017;2296
NOR-BTS 2012 4 3270 3.72 56.81 52 2023;2012;2296
NOR-BTS 2010 5 3270 3.69 56.812 57 756;2010;2296
NOR-BTS 2011 4 3270 3.727 56.815 54 1936;2011;2296
NOR-BTS 1985 2 3270 6.433 56.817 53 1625;1985;2269
NOR-BTS 2014 5 3270 3.862 56.818 55 807;2014;2296
NOR-BTS 2009 5 3270 3.778 56.82 55 1646;2009;2296
NOR-BTS 2017 5 3270 3.705 56.822 60 1128;2017;2296
NOR-BTS 2009 5 3270 3.773 56.822 55 1916;2009;2296
NOR-BTS 2009 5 3270 3.822 56.822 59 1417;2009;2296
NOR-BTS 2009 5 3270 3.823 56.822 59 1041;2009;2296
NOR-BTS 2013 5 3270 3.693 56.823 60 1715;2013;2296
NOR-BTS 2015 5 3270 3.785 56.823 58 1521;2015;2296
NOR-BTS 2009 5 3270 3.842 56.827 59 1944;2009;2296
NOR-BTS 2007 4 3270 3.695 56.828 60 1118;2007;2296
NOR-BTS 2012 4 3270 3.778 56.828 55 1935;2012;2296
NOR-BTS 2015 5 3270 3.673 56.835 60 1132;2015;2296
NOR-BTS 2010 5 3270 3.743 56.835 58 940;2010;2296
NOR-BTS 2011 4 3270 3.857 56.84 55 1535;2011;2296
NOR-BTS 2008 5 3270 3.88 56.845 55 652;2008;2296
NOR-BTS 2016 4 3270 3.76 56.86 59 812;2016;2296
NOR-BTS 2015 5 3270 3.83 56.875 59 1813;2015;2296
NOR-BTS 2012 5 3270 3.825 56.895 54 2025;2012;2296
NOR-BTS 2002 7 3270 1.758 56.902 94 1716;2002;2322
NOR-BTS 2016 5 3270 3.878 56.963 61 626;2016;2296
NOR-BTS 1985 2 3270 7.25 56.967 33 1302;1985;2269
NOR-BTS 2005 7 3270 2.695 56.985 73 1445;2005;2296
NOR-BTS 2001 7 3270 4.473 56.992 64 418;2001;2296
NOR-BTS 2001 7 3270 0.432 56.997 88 2347;2001;2295
NOR-BTS 2003 7 3270 1.08 57 90 1457;2003;2295
NOR-BTS 2000 7 3270 1.767 57 90 835;2000;2268
NOR-BTS 1989 12 3236 12.183 57 31 854;1989;4429
NOR-BTS 1989 11 3236 4.25 57 60 1727;1989;2296
NOR-BTS 2004 7 3270 2.373 57.002 80 658;2004;2268
NOR-BTS 2001 7 3270 2.18 57.003 86 1310;2001;2268
NOR-BTS 2002 6 3270 4.215 57.005 63 1958;2002;2296
NOR-BTS 2013 4 3270 5.012 57.007 56 1831;2013;2296
NOR-BTS 1985 2 3270 4.85 57.017 65 1258;1985;2296
NOR-BTS 1985 2 3270 5.233 57.033 58 545;1985;2269
NOR-BTS 2009 7 3270 2.592 57.05 71 715;2009;2268
NOR-BTS 2009 5 3270 4.948 57.072 63 1351;2009;2296
NOR-BTS 1989 7 3236 3.717 57.083 57 1;1989;2296
NOR-BTS 2010 4 3270 4.978 57.083 62 1918;2010;2296
NOR-BTS 1985 2 3270 6.417 57.1 58 2009;1985;2269
NOR-BTS 2006 5 3270 4.805 57.138 56 913;2006;2296
NOR-BTS 2015 5 3270 4.847 57.143 52 719;2015;2296
NOR-BTS 2016 7 3270 4.183 57.15 61 1608;2016;2296
NOR-BTS 2016 7 3270 3.402 57.153 63 1941;2016;2296
NOR-BTS 2013 5 3270 4.727 57.17 53 800;2013;2296
NOR-BTS 2017 4 3270 4.67 57.172 56 1333;2017;2296
NOR-BTS 2017 5 3270 4.805 57.175 52 718;2017;2296
NOR-BTS 2002 7 3270 -0.78 57.18 69 1713;2002;2295
NOR-BTS 2009 5 3270 4.608 57.18 59 1118;2009;2296
NOR-BTS 2015 5 3270 4.69 57.18 55 1149;2015;2296
NOR-BTS 2010 4 3270 4.752 57.182 53 1059;2010;2296
NOR-BTS 2012 4 3270 4.792 57.187 50 717;2012;2296
NOR-BTS 2010 4 3270 4.592 57.202 62 735;2010;2296
NOR-BTS 2007 5 3270 4.61 57.202 60 1311;2007;2296
NOR-BTS 2010 5 3270 4.648 57.205 56 1027;2010;2296
NOR-BTS 2013 5 3270 4.827 57.207 53 720;2013;2296
NOR-BTS 2014 4 3270 4.682 57.215 55 1316;2014;2296
NOR-BTS 2002 7 3270 2.275 57.217 83 425;2002;2268
NOR-BTS 2009 5 3270 4.748 57.217 53 1520;2009;2296
NOR-BTS 2014 5 3270 4.592 57.22 60 1155;2014;2296
NOR-BTS 2016 5 3270 4.812 57.22 54 851;2016;2296
NOR-BTS 2015 5 3270 4.843 57.227 51 902;2015;2296
NOR-BTS 2014 5 3270 4.668 57.228 56 1017;2014;2296
NOR-BTS 2011 5 3270 4.813 57.232 53 1612;2011;2296
NOR-BTS 2005 7 3270 3.21 57.233 63 924;2005;2296
NOR-BTS 2014 4 3270 4.522 57.237 59 1031;2014;2296
NOR-BTS 2003 7 3270 3.42 57.25 63 1538;2003;2296
NOR-BTS 2013 5 3270 4.547 57.267 58 1151;2013;2296
NOR-BTS 2013 5 3270 4.413 57.268 59 1422;2013;2296
NOR-BTS 2004 7 3270 2.608 57.272 81 1329;2004;2268
NOR-BTS 2006 7 3270 4.557 57.273 60 825;2006;2296
NOR-BTS 2014 5 3270 4.823 57.273 53 822;2014;2296
NOR-BTS 2014 5 3270 4.793 57.275 58 740;2014;2296
NOR-BTS 2004 7 3270 3.432 57.277 62 1710;2004;2296
NOR-BTS 2016 5 3270 4.373 57.277 61 813;2016;2296
NOR-BTS 2015 5 3270 4.595 57.282 61 1434;2015;2296
NOR-BTS 2012 4 3270 4.65 57.282 59 1135;2012;2296
NOR-BTS 2011 5 3270 4.368 57.283 62 757;2011;2296
NOR-BTS 2014 5 3270 4.515 57.29 59 1402;2014;2296
NOR-BTS 2010 5 3270 4.508 57.292 58 1329;2010;2296
NOR-BTS 2015 4 3270 4.572 57.292 59 1220;2015;2296
NOR-BTS 2007 5 3270 4.873 57.298 58 932;2007;2296
NOR-BTS 2016 5 3270 4.533 57.3 59 2319;2016;2296
NOR-BTS 2012 4 3270 4.397 57.307 62 1958;2012;2296
NOR-BTS 2016 5 3270 4.525 57.315 61 1413;2016;2296
NOR-BTS 2017 5 3270 4.268 57.318 64 1533;2017;2296
NOR-BTS 2011 4 3270 4.248 57.33 65 1849;2011;2296
NOR-BTS 2001 7 3270 3.685 57.333 63 717;2001;2296
NOR-BTS 2011 5 3270 4.652 57.337 67 1132;2011;2296
NOR-BTS 2000 7 3270 3.808 57.342 63 909;2000;2296
NOR-BTS 2015 4 3270 4.257 57.345 67 705;2015;2296
NOR-BTS 2001 7 3270 0.387 57.347 84 1250;2001;2295
NOR-BTS 2016 5 3270 4.487 57.357 68 956;2016;2296
NOR-BTS 2014 4 3270 4.513 57.362 68 855;2014;2296
NOR-BTS 2017 4 3270 4.34 57.363 68 752;2017;2296
NOR-BTS 2013 5 3270 4.132 57.367 67 1831;2013;2296
NOR-BTS 2012 5 3270 4.395 57.368 67 1539;2012;2296
NOR-BTS 2016 7 3270 2.428 57.405 78 458;2016;2268
NOR-BTS 2016 7 3270 2.913 57.408 66 742;2016;2268
NOR-BTS 1985 2 3270 7.867 57.417 126 640;1985;2242
NOR-BTS 2002 7 3270 3.005 57.448 65 919;2002;2268
NOR-BTS 2002 7 3270 3.753 57.453 66 525;2002;2296
NOR-BTS 1985 2 3270 8.117 57.467 115 826;1985;2242
NOR-BTS 2011 5 3270 3.117 57.48 60 1926;2011;2268
NOR-BTS 2002 4 3270 -11.075 57.495 606 2349;2002;2319
NOR-BTS 2004 7 3270 3.703 57.498 68 350;2004;2296
NOR-BTS 2016 5 3270 3.208 57.537 64 555;2016;2268
NOR-BTS 2006 5 3270 3.24 57.58 66 1539;2006;2268
NOR-BTS 1989 7 3236 0.117 57.583 105 125;1989;2295
NOR-BTS 2017 5 3270 3.238 57.638 67 820;2017;2268
NOR-BTS 2015 5 3270 3.185 57.685 67 2055;2015;2268
NOR-BTS 2015 5 3270 3.157 57.708 69 906;2015;2268
NOR-BTS 2010 4 3270 2.995 57.712 62 644;2010;2268
NOR-BTS 2007 5 3270 3.463 57.742 67 1525;2007;2268
NOR-BTS 2005 7 3270 2.085 57.752 86 1553;2005;2268
NOR-BTS 2006 5 3270 3.222 57.755 63 227;2006;2268
NOR-BTS 2015 5 3270 3.183 57.757 65 1536;2015;2268
NOR-BTS 2016 5 3270 3.158 57.762 66 1902;2016;2268
NOR-BTS 2010 4 3270 2.955 57.763 63 814;2010;2268
NOR-BTS 2017 5 3270 3.298 57.763 63 1604;2017;2268
NOR-BTS 2012 5 3270 3.263 57.768 59 1500;2012;2268
NOR-BTS 2013 5 3270 3.447 57.772 64 1142;2013;2268
NOR-BTS 2011 5 3270 3.182 57.78 64 1155;2011;2268
NOR-BTS 2015 5 3270 3.313 57.783 61 1223;2015;2268
NOR-BTS 2017 5 3270 3.137 57.795 67 1857;2017;2268
NOR-BTS 2008 5 3270 3.2 57.797 62 1140;2008;2268
NOR-BTS 1989 7 3236 2.567 57.8 66 1720;1989;2268
NOR-BTS 2016 5 3270 3.3 57.8 63 1535;2016;2268
NOR-BTS 2014 5 3270 3.417 57.8 65 1219;2014;2268
NOR-BTS 2010 4 3270 3.213 57.802 61 1926;2010;2268
NOR-BTS 2013 5 3270 3.32 57.808 63 1431;2013;2268
NOR-BTS 2016 5 3270 2.998 57.81 62 1319;2016;2268
NOR-BTS 2012 5 3270 2.95 57.83 60 1323;2012;2268
NOR-BTS 2010 4 3270 2.8 57.838 65 1922;2010;2268
NOR-BTS 2011 5 3270 3.332 57.843 66 931;2011;2268
NOR-BTS 2012 5 3270 2.785 57.852 61 1951;2012;2268
NOR-BTS 2008 5 3270 2.89 57.9 62 849;2008;2268
NOR-BTS 2016 5 3270 2.598 57.905 68 1844;2016;2268
NOR-BTS 2000 7 3270 2.918 57.937 63 928;2000;2268
NOR-BTS 2013 5 3270 2.923 57.953 65 1143;2013;2268
NOR-BTS 2001 7 3270 2.767 57.957 62 1252;2001;2268
NOR-BTS 2009 5 3270 2.748 57.982 62 716;2009;2268
NOR-BTS 2014 5 3270 2.723 57.99 64 1218;2014;2268
NOR-BTS 2005 7 3270 3.13 58.015 86 608;2005;2268
NOR-BTS 1989 7 3236 1.233 58.017 117 1805;1989;2268
NOR-BTS 2007 5 3270 2.758 58.067 66 1234;2007;2268
NOR-BTS 2004 7 3270 2.082 58.075 80 640;2004;2268
NOR-BTS 1991 10 3236 0.733 58.083 150 555;1991;2240
NOR-BTS 1993 10 3236 0.75 58.083 155 530;1993;2240
NOR-BTS 1989 10 3236 0.75 58.083 150 2355;1989;2240
NOR-BTS 1994 11 3236 0.723 58.095 152 200;1994;2240
NOR-BTS 2016 5 3270 2.682 58.11 67 845;2016;2268
NOR-BTS 2012 5 3270 2.677 58.112 64 929;2012;2268
NOR-BTS 1989 10 3236 1.267 58.117 130 2105;1989;2268
NOR-BTS 1994 11 3236 1.293 58.117 127 2326;1994;2268
NOR-BTS 2013 5 3270 2.683 58.13 68 1643;2013;2268
NOR-BTS 1993 10 3236 1.283 58.133 130 755;1993;2268
NOR-BTS 2002 7 3270 3.31 58.152 81 536;2002;2268
NOR-BTS 1993 10 3236 0.233 58.217 144 235;1993;2240
NOR-BTS 1989 10 3236 0.233 58.217 140 412;1989;2240
NOR-BTS 1991 10 3236 0.25 58.217 137 835;1991;2240
NOR-BTS 1994 11 3236 0.267 58.227 142 540;1994;2240
