"cell","year"
"2264","1999"
"2264","2001"
"2264","2002"
"2264","2003"
"2264","2005"
"2264","2006"
"2264","2007"
"2264","2008"
"2264","2009"
"2264","2011"
"2264","2012"
"2264","2013"
"2264","2014"
"2264","2015"
"2264","2016"
"2264","2017"
"2264","2018"
"2264","2019"
"2264","2020"
"2345","1999"
"2345","2001"
"2345","2002"
"2345","2003"
"2345","2005"
"2345","2006"
"2345","2007"
"2345","2008"
"2345","2009"
"2345","2011"
"2345","2012"
"2345","2013"
"2345","2014"
"2345","2015"
"2345","2016"
"2345","2017"
"2345","2018"
"2345","2019"
"2345","2020"
