"cell","year"
"1594","1979"
"1594","1980"
"1594","1981"
"1594","1982"
"1594","1983"
"1594","1984"
"1594","1985"
"1594","1986"
"1594","1987"
"1594","1988"
"1594","1989"
"1594","1990"
"1594","1991"
"1594","1992"
"1594","1993"
"1594","1994"
"1594","1995"
"1594","1996"
"1594","1997"
"1594","1998"
"1594","1999"
"1594","2000"
"1594","2001"
"1594","2002"
"1594","2003"
"1594","2004"
"1594","2005"
"1594","2006"
"1594","2007"
"1594","2008"
"1594","2009"
"1594","2010"
"1594","2011"
"1594","2012"
"1594","2013"
"1594","2014"
"1594","2015"
"1594","2016"
"1594","2017"
"1594","2018"
"1594","2019"
"1594","2020"
"1621","1979"
"1621","1980"
"1621","1981"
"1621","1982"
"1621","1983"
"1621","1984"
"1621","1985"
"1621","1986"
"1621","1987"
"1621","1988"
"1621","1989"
"1621","1990"
"1621","1991"
"1621","1992"
"1621","1993"
"1621","1994"
"1621","1995"
"1621","1996"
"1621","1997"
"1621","1998"
"1621","1999"
"1621","2000"
"1621","2001"
"1621","2002"
"1621","2003"
"1621","2004"
"1621","2005"
"1621","2006"
"1621","2007"
"1621","2008"
"1621","2009"
"1621","2010"
"1621","2011"
"1621","2012"
"1621","2013"
"1621","2014"
"1621","2015"
"1621","2016"
"1621","2017"
"1621","2018"
"1621","2019"
"1621","2020"
"1675","1979"
"1675","1980"
"1675","1981"
"1675","1982"
"1675","1983"
"1675","1984"
"1675","1985"
"1675","1986"
"1675","1987"
"1675","1988"
"1675","1989"
"1675","1990"
"1675","1991"
"1675","1992"
"1675","1993"
"1675","1994"
"1675","1995"
"1675","1996"
"1675","1997"
"1675","1998"
"1675","1999"
"1675","2000"
"1675","2001"
"1675","2002"
"1675","2003"
"1675","2004"
"1675","2005"
"1675","2006"
"1675","2007"
"1675","2008"
"1675","2009"
"1675","2010"
"1675","2011"
"1675","2012"
"1675","2013"
"1675","2014"
"1675","2015"
"1675","2016"
"1675","2017"
"1675","2018"
"1675","2019"
"1675","2020"
"1756","1979"
"1756","1980"
"1756","1981"
"1756","1982"
"1756","1983"
"1756","1984"
"1756","1985"
"1756","1990"
"1756","1993"
"1756","1994"
"1756","2006"
"1756","2012"
"1756","2015"
"1756","2018"
"1756","2020"
"2194","1979"
"2194","1980"
"2194","1981"
"2194","1982"
"2194","1983"
"2194","1984"
"2194","1985"
"2194","1990"
"2194","1993"
"2194","1994"
"2194","2006"
"2194","2012"
"2194","2015"
"2194","2018"
"2194","2020"
"2195","1979"
"2195","1980"
"2195","1981"
"2195","1982"
"2195","1983"
"2195","1984"
"2195","1985"
"2195","1990"
"2195","1993"
"2195","1994"
"2195","2006"
"2195","2012"
"2195","2015"
"2195","2018"
"2195","2020"
"2196","1979"
"2196","1980"
"2196","1981"
"2196","1982"
"2196","1983"
"2196","1984"
"2196","1985"
"2196","1986"
"2196","1987"
"2196","1988"
"2196","1989"
"2196","1990"
"2196","1991"
"2196","1992"
"2196","1993"
"2196","1994"
"2196","1995"
"2196","1996"
"2196","1997"
"2196","1998"
"2196","1999"
"2196","2000"
"2196","2001"
"2196","2002"
"2196","2003"
"2196","2004"
"2196","2005"
"2196","2006"
"2196","2007"
"2196","2008"
"2196","2009"
"2196","2010"
"2196","2011"
"2196","2012"
"2196","2013"
"2196","2014"
"2196","2015"
"2196","2016"
"2196","2017"
"2196","2018"
"2196","2019"
"2196","2020"
"2221","1979"
"2221","1980"
"2221","1981"
"2221","1982"
"2221","1983"
"2221","1984"
"2221","1985"
"2221","1990"
"2221","1993"
"2221","1994"
"2221","2006"
"2221","2012"
"2221","2015"
"2221","2018"
"2221","2020"
"2222","1979"
"2222","1980"
"2222","1981"
"2222","1982"
"2222","1983"
"2222","1984"
"2222","1985"
"2222","1990"
"2222","1993"
"2222","1994"
"2222","2006"
"2222","2012"
"2222","2015"
"2222","2018"
"2222","2020"
"2223","1979"
"2223","1980"
"2223","1981"
"2223","1982"
"2223","1983"
"2223","1984"
"2223","1985"
"2223","1986"
"2223","1987"
"2223","1988"
"2223","1989"
"2223","1990"
"2223","1991"
"2223","1992"
"2223","1993"
"2223","1994"
"2223","1995"
"2223","1996"
"2223","1997"
"2223","1998"
"2223","1999"
"2223","2000"
"2223","2001"
"2223","2002"
"2223","2003"
"2223","2004"
"2223","2005"
"2223","2006"
"2223","2007"
"2223","2008"
"2223","2009"
"2223","2010"
"2223","2011"
"2223","2012"
"2223","2013"
"2223","2014"
"2223","2015"
"2223","2016"
"2223","2017"
"2223","2018"
"2223","2019"
"2223","2020"
"2248","1979"
"2248","1980"
"2248","1981"
"2248","1982"
"2248","1983"
"2248","1984"
"2248","1985"
"2248","1986"
"2248","1987"
"2248","1988"
"2248","1989"
"2248","1990"
"2248","1991"
"2248","1992"
"2248","1993"
"2248","1994"
"2248","1995"
"2248","1996"
"2248","1997"
"2248","1998"
"2248","1999"
"2248","2000"
"2248","2001"
"2248","2002"
"2248","2003"
"2248","2004"
"2248","2005"
"2248","2006"
"2248","2007"
"2248","2008"
"2248","2009"
"2248","2010"
"2248","2011"
"2248","2012"
"2248","2013"
"2248","2014"
"2248","2015"
"2248","2016"
"2248","2017"
"2248","2018"
"2248","2019"
"2248","2020"
"2249","1979"
"2249","1980"
"2249","1981"
"2249","1982"
"2249","1983"
