haul_id;year;cell
201904521-80.73528.806;2019;11017
201313121-80.73628.806;2013;11017
201904721-80.76428.849;2019;11017
201313321-80.76528.851;2013;11017
201904921-80.80128.909;2019;11017
201313521-80.80228.91;2013;11017
201802721-80.80228.91;2018;11017
201313721-80.81328.923;2013;11017
201802321-80.81428.924;2018;11017
201904321-80.82128.934;2019;11017
201905123-80.82828.946;2019;11017
201313923-80.82928.947;2013;11017
201802523-80.83528.957;2018;11017
201314123-80.84728.973;2013;11017
201904123-80.85428.984;2019;11017
201314323-80.8729.009;2013;11017
201802123-80.87629.022;2018;11017
201905323-80.92929.103;2019;11017
201801923-80.9429.119;2018;11017
201903923-80.94729.129;2019;11017
201314523-80.94729.129;2013;11017
201314725-81.01829.268;2013;11017
201905525-81.01929.269;2019;11017
201801725-81.02829.285;2018;11017
201905725-81.06229.356;2019;11017
201314925-81.07829.39;2013;11017
201905925-81.07829.39;2019;11017
201315125-81.10329.443;2013;11017
201906125-81.10429.445;2019;11017
201802925-81.1129.458;2018;11017
201906325-81.13429.508;2019;11017
201803125-81.13429.508;2018;11017
201315325-81.13529.509;2013;11017
201315527-81.15829.556;2013;11017
201803327-81.15829.557;2018;11017
201906527-81.15929.558;2019;11017
201906727-81.17529.597;2019;11017
201315727-81.17629.598;2013;11017
201315927-81.1929.631;2013;11017
201906927-81.1929.632;2019;11017
201803527-81.24229.763;2018;11017
201316127-81.24229.763;2013;11017
201907127-81.24229.763;2019;11017
201803727-81.25629.821;2018;11017
201907327-81.25729.821;2019;11017
201316327-81.25629.822;2013;11017
201907529-81.29729.96;2019;11017
201803929-81.29729.961;2018;11017
201312929-81.30129.972;2013;11017
201907729-81.31130.007;2019;11017
201312729-81.31530.02;2013;11017
201903729-81.34530.15;2019;10963
201312529-81.37330.248;2013;10963
201903529-81.37330.248;2019;10963
201312329-81.38230.292;2013;10963
201804129-81.38330.293;2018;10963
201804329-81.38630.322;2018;10963
201903329-81.38630.323;2019;10963
201804531-81.39230.443;2018;10963
201903131-81.38830.454;2019;10963
201312131-81.38730.455;2013;10963
201804731-81.40730.626;2018;10963
201902931-81.40530.64;2019;10963
201311931-81.40430.641;2013;10963
201311731-81.39330.663;2013;10963
201907931-81.39430.666;2019;10963
201300131-81.43930.753;2013;10963
201908131-81.4430.753;2019;10963
201300331-81.40130.777;2013;10963
201908331-81.33630.784;2019;10963
201804931-81.33730.785;2018;10963
201900733-81.37730.843;2019;10963
201300533-81.37730.844;2013;10963
201908533-81.31530.882;2019;10963
201300733-81.31530.882;2013;10963
201805133-81.34230.888;2018;10963
201801533-81.3230.924;2018;10963
201900933-81.3230.925;2019;10963
201300933-81.30930.932;2013;10963
201908733-81.30930.933;2019;10963
201908933-81.31830.991;2019;10963
201801333-81.30631.005;2018;10963
201301133-81.32831.026;2013;10963
201301333-81.30331.041;2013;10963
201901135-81.26331.131;2019;10963
201301535-81.26131.132;2013;10963
201801135-81.2531.14;2018;10963
201909135-81.23831.215;2019;10963
201301735-81.23931.215;2013;10963
201901335-81.20931.248;2019;10963
201301935-81.20831.249;2013;10963
201901535-81.20131.294;2019;10963
201302135-81.20231.295;2013;10963
201800935-81.20631.308;2018;10963
201901735-81.19631.327;2019;10963
201302335-81.19531.329;2013;10963
201302535-81.16131.378;2013;10963
201800735-81.14831.39;2018;10963
201302737-81.10931.432;2013;10963
201302937-81.08431.467;2013;10963
201909337-81.07631.572;2019;10963
201303137-81.07631.583;2013;10963
201303337-81.06231.621;2013;10963
201909537-81.03531.651;2019;10963
201909737-81.0131.696;2019;10963
201909937-81.03731.726;2019;10963
201303539-80.94331.786;2013;2188
201910139-80.92631.827;2019;2188
201303739-80.92631.827;2013;2188
201303939-80.89931.845;2013;2188
201910339-80.89931.845;2019;2188
201910539-80.86331.888;2019;2188
201304139-80.86331.89;2013;2188
201910739-80.80331.949;2019;2188
201316539-80.75431.971;2013;2188
201910941-80.75132.025;2019;2188
201316741-80.75832.072;2013;2188
201911141-80.75732.073;2019;2188
201311541-80.64832.078;2013;2188
201911341-80.64832.078;2019;2188
201311341-80.53632.19;2013;2188
201911541-80.53432.238;2019;2188
201911741-80.4832.257;2019;2188
201311141-80.44732.279;2013;2188
201805341-80.33732.321;2018;2188
201310941-80.32632.329;2013;2188
201805543-80.31332.402;2018;2188
201805743-80.27332.425;2018;2188
201900543-80.27432.448;2019;2188
201901943-80.16632.499;2019;2188
201310743-80.16632.499;2013;2188
201310543-80.07532.552;2013;2188
201805943-80.02932.572;2018;2188
201900343-80.06132.574;2019;2188
201811745-79.93432.592;2018;2188
201900145-79.95532.598;2019;2188
201304345-79.95532.598;2013;2188
201304545-79.94332.614;2013;2188
201902145-79.94432.614;2019;2188
201304745-79.91232.627;2013;2188
201800545-79.89832.633;2018;2188
201800345-79.81632.689;2018;2188
201902345-79.81732.689;2019;2188
201800145-79.77932.714;2018;2188
201902545-79.7832.714;2019;2188
201304945-79.77932.715;2013;2188
201318147-79.68132.795;2013;2161
201808347-79.6832.796;2018;2161
201902747-79.65232.802;2019;2161
201317947-79.66332.825;2013;2161
201911947-79.59232.831;2019;2161
201317747-79.59432.832;2013;2161
201807947-79.57832.842;2018;2161
201912147-79.57932.842;2019;2161
201808147-79.65232.842;2018;2161
201912347-79.52132.89;2019;2161
201317547-79.51432.904;2013;2161
201811547-79.51232.906;2018;2161
201317349-79.38332.957;2013;2161
201912549-79.39132.974;2019;2161
201807749-79.27233.004;2018;2161
201915549-79.26933.058;2019;2161
201807549-79.26733.06;2018;2161
201316949-79.16233.07;2013;2161
201317149-79.24933.083;2013;2161
201807349-79.15533.138;2018;2161
201915349-79.15533.139;2019;2161
201915151-79.1333.304;2019;2161
201308951-79.12933.305;2013;2161
201806151-79.1333.305;2018;2161
201308751-79.12433.389;2013;2161
201914951-79.12433.39;2019;2161
201914751-78.99933.467;2019;2161
201806351-78.99933.467;2018;2161
201308551-79.05233.469;2013;2161
201806551-79.0733.486;2018;2161
201308351-78.93133.623;2013;2161
201914551-78.93133.624;2019;2161
201305153-78.76233.714;2013;2161
201806753-78.76233.714;2018;2161
201809157-77.90433.723;2018;2190
201916757-77.90433.724;2019;2190
201914353-78.76233.731;2019;2161
201916957-77.90633.735;2019;2190
201310357-77.90933.748;2013;2190
201912755-77.9733.773;2019;2190
201806953-78.68333.782;2018;2161
201306555-77.97933.784;2013;2190
201305553-78.63133.786;2013;2161
201917157-77.92433.79;2019;2190
201913953-78.61533.79;2019;2161
201809357-77.92533.791;2018;2190
201305353-78.6933.795;2013;2161
201807153-78.64633.796;2018;2161
201310157-77.92833.804;2013;2190
201914153-78.62233.808;2019;2161
201808955-77.99433.826;2018;2190
201306355-77.99433.827;2013;2190
201305753-78.56633.833;2013;2107
201913753-78.56633.833;2019;2107
201917357-77.93233.852;2019;2190
201912955-78.06633.855;2019;2190
201808755-78.06733.855;2018;2190
201306155-78.06733.856;2013;2190
201309957-77.92633.868;2013;2190
201305955-78.35133.89;2013;2107
201808555-78.3133.892;2018;2107
201913355-78.29333.893;2019;2107
201913555-78.33433.893;2019;2107
201913155-78.20133.902;2019;2107
201309757-77.9133.915;2013;2190
201811359-77.90533.971;2018;2190
201309559-77.90233.981;2013;2190
201915759-77.90133.983;2019;2190
201309359-77.87834.037;2013;2190
201917559-77.87834.038;2019;2190
201915959-77.85434.103;2019;2190
201811159-77.85434.104;2018;2190
201309159-77.79634.19;2013;2190
201916159-77.79634.19;2019;2190
201308159-77.7334.268;2013;2190
201810959-77.68834.306;2018;2190
201916359-77.68834.307;2019;2190
201307959-77.67634.317;2013;2190
201307761-77.55834.412;2013;2080
201809561-77.55834.412;2018;2080
201916561-77.55734.413;2019;2080
201307561-77.48934.452;2013;2080
201307361-77.39534.497;2013;2080
201809761-77.39334.498;2018;2080
201809961-77.15434.617;2018;2080
201307161-77.13434.622;2013;2080
201810163-77.03534.655;2018;2080
201306963-77.03534.655;2013;2080
201810363-77.0234.658;2018;2080
201306763-77.00234.662;2013;2080
201810763-76.63134.667;2018;2080
201810563-76.80934.688;2018;2080
