haul_id;year;cell
BITS 2004 4 DE 06SL TVS 22043 5;2004;13445
BITS 2018 4 DE 06SL TVS 22043 3;2018;13445
BITS 2001 4 DE 06S1 TVS 651 5;2001;13445
BITS 2002 4 DE 06S1 TVS 745 6;2002;13445
BITS 2001 4 DE 06S1 TVS 751 4;2001;13445
BITS 2002 4 DE 06S1 TVS 2315 1;2002;13445
BITS 2013 4 DE 06SL TVS 24335 12;2013;13609
BITS 2018 4 DE 06SL TVS 24335 33;2018;13609
BITS 2009 4 DE 06SL TVS 22002 1;2009;13445
BITS 1999 4 DK 26HI TVS 37837 22;1999;13445
BITS 2000 4 DK 26HI TVS 18148 11;2000;13445
BITS 2018 4 DE 06SL TVS 22143 7;2018;13445
BITS 1999 4 DK 26HI TVS 37836 21;1999;13445
BITS 2001 4 DE 06S1 TVS 464 1;2001;13445
BITS 2018 4 DE 06SL TVS 22115 12;2018;13445
BITS 2004 4 DE 06SL TVS 22050 6;2004;13445
BITS 2013 4 DE 06SL TVS 22143 2;2013;13445
BITS 2013 4 DE 06SL TVS 22115 3;2013;13445
BITS 2002 4 DE 06S1 TVS 2310 5;2002;13445
BITS 2000 4 DK 26HI TVS 18147 10;2000;13445
BITS 2001 4 DE 06S1 TVS 451 2;2001;13445
BITS 2009 4 DE 06SL TVS 22132 11;2009;13445
BITS 2018 4 DE 06SL TVS 22141 5;2018;13445
BITS 2009 4 DE 06SL TVS 22115 10;2009;13445
BITS 2009 4 DE 06SL TVS 22051 2;2009;13445
BITS 2002 4 DE 06S1 TVS 654 4;2002;13445
BITS 2001 4 DE 06S1 TVS 227 52;2001;13445
BITS 2018 4 DE 06SL TVS 22132 6;2018;13445
BITS 2001 4 DE 06S1 TVS 853 3;2001;13445
BITS 2002 4 DE 06S1 TVS 2308 3;2002;13445
BITS 2018 4 DE 06SL TVS 22142 1;2018;13445
BITS 2001 4 DE 06S1 TVS 453 53;2001;13445
BITS 2018 4 DE 06SL TVS 22145 14;2018;13445
BITS 2018 4 DE 06SL TVS 22146 13;2018;13445
BITS 2013 4 DE 06SL TVS 22053 1;2013;13445
BITS 2018 4 DE 06SL TVS 22144 2;2018;13445
BITS 2004 4 DE 06SL TVS 22008 9;2004;13445
BITS 2001 4 DE 06S1 TVS 851 11;2001;13445
BITS 1999 4 DK 26HI TVS 37838 23;1999;13445
BITS 2000 4 DK 26HI TVS 18149 12;2000;13445
BITS 2010 4 PL 67BC TVL 25001 18;2010;19760
BITS 2009 4 PL 67BC TVL 25001 10;2009;19760
BITS 2012 4 PL 67BC TVL 25001 4;2012;19760
BITS 2016 4 PL 67BC TVL 25001 7;2016;19760
BITS 2013 4 PL 67BC TVL 25001 9;2013;19760
BITS 2011 4 PL 67BC TVL 25001 7;2011;19760
BITS 2014 4 PL 67BC TVL 25001 4;2014;19760
BITS 2015 4 PL 67BC TVL 25001 23;2015;19760
BITS 2001 4 DE 06S1 TVS 283 54;2001;13445
BITS 2004 4 DE 06SL TVS 22057 7;2004;13445
BITS 2013 4 DE 06SL TVS 24332 13;2013;13609
BITS 2009 4 DE 06SL TVS 22060 12;2009;13445
BITS 2019 4 PL 67BC TVL 25009 17;2019;19760
BITS 2020 4 PL 67BC TVL 25009 6;2020;19760
BITS 2009 4 DE 06SL TVS 24001 13;2009;13527
BITS 2013 4 DE 06SL TVS 24001 7;2013;13527
BITS 2001 4 DK 26D4 TVL 46 23;2001;19760
BITS 2019 4 PL 67BC TVL 25008 18;2019;19760
BITS 2015 4 PL 67BC TVL 25009 17;2015;19760
BITS 2013 4 PL 67BC TVL 25009 14;2013;19760
BITS 2018 4 PL 67BC TVL 25009 41;2018;19760
BITS 2016 4 PL 67BC TVL 25009 16;2016;19760
BITS 2012 4 PL 67BC TVL 25009 10;2012;19760
BITS 2009 4 PL 67BC TVL 26001 1;2009;19922
BITS 2002 4 DE 06S1 TVS 773 14;2002;13527
BITS 2015 4 PL 67BC TVL 25008 15;2015;19760
BITS 2012 4 PL 67BC TVL 25008 9;2012;19760
BITS 2011 4 PL 67BC TVL 25008 9;2011;19760
BITS 2014 4 PL 67BC TVL 25008 11;2014;19760
BITS 2020 4 PL 67BC TVL 25008 5;2020;19760
BITS 2017 4 PL 67BC TVL 25008 12;2017;19760
BITS 2016 4 PL 67BC TVL 25008 14;2016;19760
BITS 2018 4 PL 67BC TVL 25008 40;2018;19760
BITS 2017 4 PL 67BC TVL 25009 14;2017;19760
BITS 2009 4 PL 67BC TVL 25009 15;2009;19760
BITS 2014 4 PL 67BC TVL 25009 12;2014;19760
BITS 2010 4 PL 67BC TVL 25009 22;2010;19760
