haul_id;year;cell
69547-013;2010;3188
69547-099;2010;3188
69547-014;2010;3188
69547-015;2010;3188
69547-057;2010;3188
69547-140;2010;3188
69547-056;2010;3188
69547-011;2010;3188
69547-054;2010;3188
69547-058;2010;3188
69547-007;2010;3188
69547-053;2010;3188
69547-006;2010;3188
69547-005;2010;3188
69547-141;2010;3189
69547-139;2010;3188
69547-010;2010;3188
69547-004;2010;3188
69547-003;2010;3189
69547-002;2010;3189
69547-009;2010;3188
69547-107;2010;3107
69547-008;2010;3188
69547-108;2010;3189
69547-001;2010;3189
69547-106;2010;3107
69547-016;2010;3107
69547-143;2010;3189
69547-144;2010;3189
69547-049;2010;3107
69547-142;2010;3189
69547-101;2010;3107
69547-017;2010;3107
69547-048;2010;3107
69547-029;2010;3107
69547-047;2010;3107
69547-030;2010;3107
69547-044;2010;3107
69547-046;2010;3107
69547-050;2010;3107
69547-045;2010;3107
69547-110;2010;3189
69547-109;2010;3189
69547-105;2010;3107
69547-102;2010;3107
69547-019;2010;3107
69547-043;2010;3107
69547-051;2010;3107
69547-042;2010;3107
69547-027;2010;3107
69547-111;2010;3189
69547-020;2010;3107
69547-021;2010;3107
69547-052;2010;3107
69547-026;2010;3107
69547-022;2010;3107
69547-025;2010;3107
69547-103;2010;3107
69547-136;2010;3107
69547-024;2010;3107
69547-031;2010;3025
69547-104;2010;3107
69547-032;2010;3025
69547-033;2010;3025
69547-064;2010;3025
69547-059;2010;3107
69547-134;2010;3025
69547-034;2010;3025
69547-137;2010;3107
69547-060;2010;3107
69547-063;2010;3107
69547-035;2010;3025
69547-036;2010;3025
69547-065;2010;3025
69547-062;2010;3107
69547-135;2010;3025
69547-132;2010;3025
69547-061;2010;3107
69547-138;2010;3107
69547-133;2010;3025
69547-131;2010;3025
69547-041;2010;3025
69547-040;2010;3025
69547-066;2010;3025
69547-068;2010;3025
69547-130;2010;3025
69547-129;2010;3025
69547-067;2010;3025
69547-121;2010;3025
69547-120;2010;3025
69547-069;2010;3025
69547-039;2010;3025
69547-128;2010;3025
69547-127;2010;3025
69547-118;2010;3025
69547-126;2010;3025
69547-119;2010;3025
69547-117;2010;3025
69547-038;2010;3025
69547-116;2010;3025
69547-124;2010;3025
69547-125;2010;3025
69547-122;2010;3025
69547-123;2010;3025
69547-115;2010;3025
69547-037;2010;3025
69547-073;2010;3025
69547-074;2010;3025
69547-070;2010;3025
69547-072;2010;3025
69547-071;2010;3025
69547-075;2010;3025
69547-076;2010;3025
69547-077;2010;3025
69547-114;2010;3025
69547-113;2010;3025
69547-112;2010;3025
69547-078;2010;3025
69547-098;2010;3025
69547-079;2010;3025
69547-097;2010;2944
69547-094;2010;2944
69547-093;2010;2944
69547-096;2010;2944
69547-095;2010;2944
69547-091;2010;2944
69547-092;2010;2944
69547-090;2010;2944
69547-089;2010;2862
69547-087;2010;2862
69547-086;2010;2862
69547-084;2010;2862
69547-085;2010;2862
69547-083;2010;2862
69547-082;2010;2862
69547-081;2010;2862
