"cell","year"
"32318","1982"
"32318","1983"
"32318","1984"
"32318","1985"
"32318","1986"
"32318","1987"
"32318","1988"
"32318","1989"
"32318","1990"
"32318","1991"
"32318","1992"
"32318","1993"
"32318","1994"
"32318","1995"
"32318","1996"
"32318","1997"
"32318","1998"
"32318","1999"
"32318","2000"
"32318","2001"
"32318","2002"
"32318","2003"
"32318","2004"
"32318","2005"
"32318","2006"
"32318","2007"
"32318","2008"
"32318","2009"
"32318","2010"
"32318","2011"
"32318","2012"
"32318","2013"
"32318","2014"
"32318","2015"
"32318","2016"
"32318","2017"
"32318","2018"
"32318","2019"
