haul_id;year;cell
087199201038-165.1293354.68367;1992;59536
087199201037-165.5156754.77967;1992;59536
087199201039-165.150554.9955;1992;407
037199201079-166.9193354.99567;1992;59455
087199201040-165.7596754.9975;1992;59455
001198203067-166.9455.00333;1982;59455
001198203038-164.5766755.00833;1982;407
001198203066-165.7455.00833;1982;59455
019198201059-166.3463355.01017;1982;59455
019198201058-165.15955.0105;1982;407
037199201078-166.3321755.018;1992;59455
019198201060-166.3468355.31267;1982;59455
001198203039-164.5955.32667;1982;407
037199201081-167.55155.32883;1992;59374
037199201080-166.9601755.329;1992;59374
001198203068-166.9716755.33;1982;59374
087199201042-165.1686755.33167;1992;407
087199201041-164.5863355.332;1992;407
087199201023-163.4161755.33383;1992;489
019198201030-163.9808355.33983;1982;489
087199201051-165.7836755.34;1992;59455
001198203065-165.78555.34667;1982;59455
019198201057-165.165555.34833;1982;407
037199201054-164.0068355.3485;1992;489
037199201077-166.35555.3485;1992;59455
001198203037-163.4166755.35;1982;489
019198201031-164.007555.646;1982;408
019198201061-166.3788355.64783;1982;326
037199201083-168.1848355.65;1992;59292
037199201082-167.5843355.65783;1992;59374
037199201020-162.8341755.658;1992;490
001198203040-164.5855.66;1982;408
087199201043-165.1633355.663;1992;326
001198203069-166.9683355.66333;1982;59374
037199201076-166.3823355.67367;1992;326
001198203100-168.19655.67867;1982;59292
087199201050-165.798555.67883;1992;326
037199201053-164.0046755.6805;1992;408
001198203064-165.8016755.68167;1982;326
037199201052-164.5953355.68233;1992;408
001198203036-163.455.68333;1982;408
019198201056-165.1511755.686;1982;326
087199201024-163.4038355.68667;1992;408
087199201069-166.9676755.68817;1992;59374
019198201029-162.8246755.70167;1982;490
019198201088-167.547555.72;1982;59374
037199201085-167.6221755.9835;1992;59293
019198201062-166.402555.98383;1982;245
001198203041-164.5916755.985;1982;408
037199201084-168.217555.986;1992;59293
037199201021-162.8168355.99117;1992;490
087199201070-167.018555.9925;1992;59374
087199201025-163.4018355.993;1992;408
087199201044-165.1843355.993;1992;326
019198201033-164.0081756.00133;1982;408
001198203018-162.2316756.00167;1982;490
001198203035-163.3956.005;1982;408
001198203063-165.7916756.00667;1982;326
001198203070-167.02556.00667;1982;59374
037199201075-166.4006756.009;1992;245
087199201049-165.7848356.0095;1992;326
037199201050-164.003556.01117;1992;408
001198203099-168.23556.01167;1982;59293
019198201087-167.6163356.01283;1982;59293
037199201051-164.5871756.0135;1992;408
037199201019-162.2323356.01533;1992;490
019198201055-165.1776756.0155;1982;326
019198201028-162.805556.02083;1982;490
019198201034-163.99856.3145;1982;408
