"cell","year"
"7534","1998"
"7534","1999"
"7534","2000"
"7534","2001"
"7534","2002"
"7534","2003"
"7534","2004"
"7534","2005"
"7534","2006"
"7534","2007"
"7534","2008"
"7534","2009"
"7534","2010"
"7534","2011"
"7534","2012"
"7534","2013"
"7534","2014"
"7534","2015"
"7534","2016"
"7534","2017"
"7534","2018"
"7534","2019"
"7534","2020"
"7613","2003"
"7613","2020"
"7614","2003"
"7614","2020"
"7615","2003"
"7615","2020"
"7694","1998"
"7694","1999"
"7694","2000"
"7694","2001"
"7694","2002"
"7694","2003"
"7694","2004"
"7694","2005"
"7694","2006"
"7694","2007"
"7694","2008"
"7694","2009"
"7694","2010"
"7694","2011"
"7694","2012"
"7694","2013"
"7694","2014"
"7694","2015"
"7694","2016"
"7694","2017"
"7694","2018"
"7694","2019"
"7694","2020"
"7695","2003"
"7695","2020"
"7696","2003"
"7696","2020"
"7776","2003"
"7776","2020"
"7777","2003"
"7777","2020"
