"cell","year"
"488","2001"
"489","1984"
"489","1987"
"489","1990"
"489","1993"
"489","1996"
"489","1999"
"489","2001"
"489","2003"
"489","2005"
"489","2007"
"489","2009"
"489","2011"
"489","2013"
"489","2015"
"489","2017"
"489","2019"
"569","2001"
"570","2001"
"571","2001"
"651","2001"
"652","2001"
"653","2001"
"654","2001"
"733","1984"
"733","1987"
"733","1990"
"733","1993"
"733","1996"
"733","1999"
"733","2001"
"733","2003"
"733","2005"
"733","2007"
"733","2009"
"733","2011"
"733","2013"
"733","2015"
"733","2017"
"733","2019"
"734","2001"
"735","2001"
"736","2001"
"737","1984"
"737","1987"
"737","1990"
"737","1993"
"737","1996"
"737","1999"
"737","2001"
"737","2003"
"737","2005"
"737","2007"
"737","2009"
"737","2011"
"737","2013"
"737","2015"
"737","2017"
"737","2019"
"815","1984"
"815","1987"
"815","1990"
"815","1993"
"815","1996"
"815","1999"
"815","2001"
"815","2003"
"815","2005"
"815","2007"
"815","2009"
"815","2011"
"815","2013"
"815","2015"
"815","2017"
"815","2019"
"816","2001"
"817","2001"
"818","2001"
"819","2001"
"820","1984"
"820","1987"
"820","1990"
"820","1993"
"820","1996"
"820","1999"
"820","2001"
"820","2003"
"820","2005"
"820","2007"
"820","2009"
"820","2011"
"820","2013"
"820","2015"
"820","2017"
"820","2019"
"898","1984"
"898","1987"
"898","1990"
"898","1993"
"898","1996"
"898","1999"
"898","2001"
"898","2003"
"898","2005"
"898","2007"
"898","2009"
"898","2011"
"898","2013"
"898","2015"
"898","2017"
"898","2019"
"899","2001"
"900","2001"
"901","2001"
"902","2001"
"903","2001"
"904","1984"
"904","1987"
"904","1990"
"904","1993"
"904","1996"
"904","1999"
"904","2001"
"904","2003"
"904","2005"
"904","2007"
"904","2009"
"904","2011"
"904","2013"
"904","2015"
"904","2017"
"904","2019"
"981","2001"
"982","2001"
"983","2001"
"984","2001"
"985","2001"
"986","1984"
"986","1987"
"986","1990"
"986","1993"
"986","1996"
"986","1999"
"986","2001"
"986","2003"
"986","2005"
"986","2007"
"986","2009"
"986","2011"
"986","2013"
"986","2015"
"986","2017"
"986","2019"
"1063","1984"
"1063","1987"
"1063","1990"
"1063","1993"
"1063","1996"
"1063","1999"
"1063","2001"
"1063","2003"
"1063","2005"
"1063","2007"
"1063","2009"
"1063","2011"
"1063","2013"
"1063","2015"
"1063","2017"
"1063","2019"
