"cell","year"
"3807","1980"
"3807","1981"
"3807","1983"
"3807","1984"
"3807","1985"
"3807","1986"
"3807","1987"
"3807","1988"
"3807","1989"
"3807","1990"
"3807","1991"
"3807","1992"
"3807","1993"
"3807","1994"
"3807","1995"
"3807","1996"
"3807","1997"
"3807","1998"
"3807","1999"
"3807","2000"
"3807","2001"
"3807","2002"
"3807","2003"
"3807","2004"
"3807","2005"
"3807","2006"
"3807","2007"
"3807","2008"
"3807","2009"
"3807","2010"
"3807","2011"
"3807","2012"
"3807","2013"
"3807","2014"
"3807","2015"
"3807","2016"
"3807","2017"
"3807","2018"
"3807","2019"
"3888","1980"
"3888","1981"
"3888","1983"
"3888","1984"
"3888","1985"
"3888","1986"
"3888","1987"
"3888","1988"
"3888","1989"
"3888","1990"
"3888","1991"
"3888","1992"
"3888","1993"
"3888","1994"
"3888","1995"
"3888","1996"
"3888","1997"
"3888","1998"
"3888","1999"
"3888","2000"
"3888","2001"
"3888","2002"
"3888","2003"
"3888","2004"
"3888","2005"
"3888","2006"
"3888","2007"
"3888","2008"
"3888","2009"
"3888","2010"
"3888","2011"
"3888","2012"
"3888","2013"
"3888","2014"
"3888","2015"
"3888","2016"
"3888","2017"
"3888","2018"
"3888","2019"
"3889","1980"
"3889","1981"
"3889","1983"
"3889","1984"
"3889","1985"
"3889","1986"
"3889","1987"
"3889","1988"
"3889","1989"
"3889","1990"
"3889","1991"
"3889","1992"
"3889","1993"
"3889","1994"
"3889","1995"
"3889","1996"
"3889","1997"
"3889","1998"
"3889","1999"
"3889","2000"
"3889","2001"
"3889","2002"
"3889","2003"
"3889","2004"
"3889","2005"
"3889","2006"
"3889","2007"
"3889","2008"
"3889","2009"
"3889","2010"
"3889","2011"
"3889","2012"
"3889","2013"
"3889","2014"
"3889","2015"
"3889","2016"
"3889","2017"
"3889","2018"
"3889","2019"
"3969","1980"
"3969","1981"
"3969","1983"
"3969","1984"
"3969","1985"
"3969","1986"
"3969","1987"
"3969","1988"
"3969","1989"
"3969","1990"
"3969","1991"
"3969","1992"
"3969","1993"
"3969","1994"
"3969","1995"
"3969","1996"
"3969","1997"
"3969","1998"
"3969","1999"
"3969","2000"
"3969","2001"
"3969","2002"
"3969","2003"
"3969","2004"
"3969","2005"
"3969","2006"
"3969","2007"
"3969","2008"
"3969","2009"
"3969","2010"
"3969","2011"
"3969","2012"
"3969","2013"
"3969","2014"
"3969","2015"
"3969","2016"
"3969","2017"
"3969","2018"
"3969","2019"
"3970","1980"
"3970","1981"
"3970","1983"
"3970","1984"
"3970","1985"
"3970","1986"
"3970","1987"
"3970","1988"
"3970","1989"
"3970","1990"
"3970","1991"
"3970","1992"
"3970","1993"
"3970","1994"
"3970","1995"
"3970","1996"
"3970","1997"
"3970","1998"
"3970","1999"
"3970","2000"
"3970","2001"
"3970","2002"
"3970","2003"
"3970","2004"
"3970","2005"
"3970","2006"
"3970","2007"
"3970","2008"
"3970","2009"
"3970","2010"
"3970","2011"
"3970","2012"
"3970","2013"
"3970","2014"
"3970","2015"
"3970","2016"
"3970","2017"
"3970","2018"
"3970","2019"
"4050","1980"
"4050","1981"
"4050","1983"
"4050","1984"
"4051","1980"
"4051","1981"
"4051","1983"
"4051","1984"
"4130","1980"
"4130","1981"
"4130","1983"
"4130","1984"
"4130","1985"
"4130","1986"
"4130","1987"
"4130","1988"
"4130","1989"
"4130","1990"
"4130","1991"
"4130","1992"
"4130","1993"
"4130","1994"
"4130","1995"
"4130","1996"
"4130","1997"
"4130","1998"
"4130","1999"
"4130","2000"
"4130","2001"
"4130","2002"
"4130","2003"
"4130","2004"
"4130","2005"
"4130","2006"
"4130","2007"
"4130","2008"
"4130","2009"
"4130","2010"
"4130","2011"
"4130","2012"
"4130","2013"
"4130","2014"
"4130","2015"
"4130","2016"
"4130","2017"
"4130","2018"
"4130","2019"
"4131","1980"
"4131","1981"
"4131","1983"
"4131","1984"
"4132","1980"
"4132","1981"
"4132","1983"
"4132","1984"
"4209","1980"
"4209","1981"
"4209","1983"
"4209","1984"
"4209","1985"
"4209","1986"
"4209","1987"
"4209","1988"
"4209","1989"
"4209","1990"
"4209","1991"
"4209","1992"
"4209","1993"
"4209","1994"
"4209","1995"
"4209","1996"
"4209","1997"
"4209","1998"
"4209","1999"
"4209","2000"
"4209","2001"
"4209","2002"
"4209","2003"
"4209","2004"
"4209","2005"
"4209","2006"
"4209","2007"
"4209","2008"
"4209","2009"
"4209","2010"
"4209","2011"
"4209","2012"
"4209","2013"
"4209","2014"
"4209","2015"
"4209","2016"
"4209","2017"
"4209","2018"
"4209","2019"
"4210","1980"
"4210","1981"
"4210","1983"
"4210","1984"
"4211","1980"
"4211","1981"
"4211","1983"
"4211","1984"
"4212","1980"
"4212","1981"
"4212","1983"
"4212","1984"
"4213","1980"
"4213","1981"
"4213","1983"
"4213","1984"
"4289","1980"
"4289","1981"
"4289","1983"
"4289","1984"
"4290","1980"
"4290","1981"
"4290","1983"
"4290","1984"
"4291","1980"
"4291","1981"
"4291","1983"
"4291","1984"
"4292","1980"
"4292","1981"
"4292","1983"
"4292","1984"
"4293","1980"
"4293","1981"
"4293","1983"
"4293","1984"
"4294","1980"
"4294","1981"
"4294","1983"
"4294","1984"
"4370","1980"
"4370","1981"
"4370","1983"
"4370","1984"
"4370","1985"
"4370","1986"
"4370","1987"
"4370","1988"
"4370","1989"
"4370","1990"
"4370","1991"
"4370","1992"
"4370","1993"
"4370","1994"
"4370","1995"
"4370","1996"
"4370","1997"
"4370","1998"
"4370","1999"
"4370","2000"
"4370","2001"
"4370","2002"
"4370","2003"
"4370","2004"
"4370","2005"
"4370","2006"
"4370","2007"
"4370","2008"
"4370","2009"
"4370","2010"
"4370","2011"
"4370","2012"
"4370","2013"
"4370","2014"
"4370","2015"
"4370","2016"
"4370","2017"
"4370","2018"
"4370","2019"
"4371","1980"
"4371","1981"
"4371","1983"
"4371","1984"
"4372","1980"
"4372","1981"
"4372","1983"
"4372","1984"
"4373","1980"
"4373","1981"
"4373","1983"
"4373","1984"
"4374","1980"
"4374","1981"
"4374","1983"
"4374","1984"
"4375","1980"
"4375","1981"
"4375","1983"
"4375","1984"
"4451","1980"
"4451","1981"
"4451","1983"
"4451","1984"
"4451","1985"
"4451","1986"
"4451","1987"
"4451","1988"
"4451","1989"
"4451","1990"
"4451","1991"
"4451","1992"
"4451","1993"
"4451","1994"
"4451","1995"
"4451","1996"
"4451","1997"
"4451","1998"
"4451","1999"
"4451","2000"
"4451","2001"
"4451","2002"
"4451","2003"
"4451","2004"
"4451","2005"
"4451","2006"
"4451","2007"
"4451","2008"
"4451","2009"
"4451","2010"
"4451","2011"
"4451","2012"
"4451","2013"
"4451","2014"
"4451","2015"
"4451","2016"
"4451","2017"
"4451","2018"
"4451","2019"
"4452","1980"
"4452","1981"
"4452","1983"
"4452","1984"
"4452","1985"
"4452","1986"
"4452","1987"
"4452","1988"
"4452","1989"
"4452","1990"
"4452","1991"
"4452","1992"
"4452","1993"
"4452","1994"
"4452","1995"
"4452","1996"
"4452","1997"
"4452","1998"
"4452","1999"
"4452","2000"
"4452","2001"
"4452","2002"
"4452","2003"
"4452","2004"
"4452","2005"
"4452","2006"
"4452","2007"
"4452","2008"
"4452","2009"
"4452","2010"
"4452","2011"
"4452","2012"
"4452","2013"
"4452","2014"
"4452","2015"
"4452","2016"
"4452","2017"
"4452","2018"
"4452","2019"
"4455","1980"
"4455","1981"
"4455","1983"
"4455","1984"
"4455","1985"
"4455","1986"
"4455","1987"
"4455","1988"
"4455","1989"
"4455","1990"
"4455","1991"
"4455","1992"
"4455","1993"
"4455","1994"
"4455","1995"
"4455","1996"
"4455","1997"
"4455","1998"
"4455","1999"
"4455","2000"
"4455","2001"
"4455","2002"
"4455","2003"
"4455","2004"
"4455","2005"
"4455","2006"
"4455","2007"
"4455","2008"
"4455","2009"
"4455","2010"
"4455","2011"
"4455","2012"
"4455","2013"
"4455","2014"
"4455","2015"
"4455","2016"
"4455","2017"
"4455","2018"
"4455","2019"
"4532","1980"
"4532","1981"
"4532","1983"
"4532","1984"
"4532","1985"
"4532","1986"
"4532","1987"
"4532","1988"
"4532","1989"
"4532","1990"
"4532","1991"
"4532","1992"
"4532","1993"
"4532","1994"
"4532","1995"
"4532","1996"
"4532","1997"
"4532","1998"
"4532","1999"
"4532","2000"
"4532","2001"
"4532","2002"
"4532","2003"
"4532","2004"
"4532","2005"
"4532","2006"
"4532","2007"
"4532","2008"
"4532","2009"
"4532","2010"
"4532","2011"
"4532","2012"
"4532","2013"
"4532","2014"
"4532","2015"
"4532","2016"
"4532","2017"
"4532","2018"
"4532","2019"
"6590","1980"
"6590","1981"
"6590","1983"
"6590","1984"
"6591","1980"
"6591","1981"
"6591","1983"
"6591","1984"
"6592","1980"
"6592","1981"
"6592","1983"
"6592","1984"
"6593","1980"
"6593","1981"
"6593","1983"
"6593","1984"
"6593","1985"
"6593","1986"
"6593","1987"
"6593","1988"
"6593","1989"
"6593","1990"
"6593","1991"
"6593","1992"
"6593","1993"
"6593","1994"
"6593","1995"
"6593","1996"
"6593","1997"
"6593","1998"
"6593","1999"
"6593","2000"
"6593","2001"
"6593","2002"
"6593","2003"
"6593","2004"
"6593","2005"
"6593","2006"
"6593","2007"
"6593","2008"
"6593","2009"
"6593","2010"
"6593","2011"
"6593","2012"
"6593","2013"
"6593","2014"
"6593","2015"
"6593","2016"
"6593","2017"
"6593","2018"
"6593","2019"
"6672","1980"
"6672","1981"
"6672","1983"
"6672","1984"
"6673","1980"
"6673","1981"
"6673","1983"
"6673","1984"
"6753","1980"
"6753","1981"
"6753","1983"
"6753","1984"
"6753","1985"
"6753","1986"
"6753","1987"
"6753","1988"
"6753","1989"
"6753","1990"
"6753","1991"
"6753","1992"
"6753","1993"
"6753","1994"
"6753","1995"
"6753","1996"
"6753","1997"
"6753","1998"
"6753","1999"
"6753","2000"
"6753","2001"
"6753","2002"
"6753","2003"
"6753","2004"
"6753","2005"
"6753","2006"
"6753","2007"
"6753","2008"
"6753","2009"
"6753","2010"
"6753","2011"
"6753","2012"
"6753","2013"
"6753","2014"
"6753","2015"
"6753","2016"
"6753","2017"
"6753","2018"
"6753","2019"
"6754","1980"
"6754","1981"
"6754","1983"
"6754","1984"
"6754","1985"
"6754","1986"
"6754","1987"
"6754","1988"
"6754","1989"
"6754","1990"
"6754","1991"
"6754","1992"
"6754","1993"
"6754","1994"
"6754","1995"
"6754","1996"
"6754","1997"
"6754","1998"
"6754","1999"
"6754","2000"
"6754","2001"
"6754","2002"
"6754","2003"
"6754","2004"
"6754","2005"
"6754","2006"
"6754","2007"
"6754","2008"
"6754","2009"
"6754","2010"
"6754","2011"
"6754","2012"
"6754","2013"
"6754","2014"
"6754","2015"
"6754","2016"
"6754","2017"
"6754","2018"
"6754","2019"
"6755","1980"
"6755","1981"
"6755","1983"
"6755","1984"
"6755","1985"
"6755","1986"
"6755","1987"
"6755","1988"
"6755","1989"
"6755","1990"
"6755","1991"
"6755","1992"
"6755","1993"
"6755","1994"
"6755","1995"
"6755","1996"
"6755","1997"
"6755","1998"
"6755","1999"
"6755","2000"
"6755","2001"
"6755","2002"
"6755","2003"
"6755","2004"
"6755","2005"
"6755","2006"
"6755","2007"
"6755","2008"
"6755","2009"
"6755","2010"
"6755","2011"
"6755","2012"
"6755","2013"
"6755","2014"
"6755","2015"
"6755","2016"
"6755","2017"
"6755","2018"
"6755","2019"
"6835","1980"
"6835","1981"
"6835","1983"
"6835","1984"
"6835","1985"
"6835","1986"
"6835","1987"
"6835","1988"
"6835","1989"
"6835","1990"
"6835","1991"
"6835","1992"
"6835","1993"
"6835","1994"
"6835","1995"
"6835","1996"
"6835","1997"
"6835","1998"
"6835","1999"
"6835","2000"
"6835","2001"
"6835","2002"
"6835","2003"
"6835","2004"
"6835","2005"
"6835","2006"
"6835","2007"
"6835","2008"
"6835","2009"
"6835","2010"
"6835","2011"
"6835","2012"
"6835","2013"
"6835","2014"
"6835","2015"
"6835","2016"
"6835","2017"
"6835","2018"
"6835","2019"
